Max Distance:	4294967296	Refresh Period:	2147483648	RPeriod Mask:	7fffffff

0	1807968	863136
1	629408	414800
2	161696	134560
3	140368	53824
4	168112	119200
5	218208	207760
6	106880	77696
7	87520	67424
8	280752	187536
9	45728	35712
10	14448	14448
11	101456	91296
12	224144	222032
13	90224	70016
14	347200	234528
15	86304	45936
16	47376	39344
17	41440	31456
18	34384	30976
19	19936	19552
20	22736	21088
21	29840	10240
22	14096	11792
23	2320	2128
24	2480	368
25	35392	30144
26	10064	0
27	32816	20048
28	40880	19936
29	288	272
30	2016	2000
31	9856	9488
32	2752	1376
33	13024	432
34	21648	11744
35	672	464
36	15376	11520
37	2672	2640
38	21216	10784
39	2048	1968
40	14080	3728
41	1152	1104
42	22928	0
43	33856	32928
44	1744	1728
45	2320	1040
46	10752	800
47	2624	2320
48	80	0
49	21776	9792
50	12560	1248
51	2640	1488
52	624	608
53	13104	13072
54	1616	624
55	1424	1392
56	2736	1072
57	10064	9856
58	10016	9936
59	672	560
60	3552	2528
61	896	832
62	10688	10256
63	368	48
64	44928	22512
66	21520	10960
68	12000	11280
70	21200	21152
72	1280	912
74	6176	3376
76	1264	1008
78	10736	336
80	10944	32
82	2400	1200
84	3344	3264
86	11248	10896
88	432	256
90	2240	2032
92	3600	2688
94	2176	2176
96	1088	880
98	1072	896
100	640	240
102	11744	11744
104	3248	2752
106	352	272
108	10752	10720
110	2064	1264
112	13456	13456
114	432	320
116	816	656
118	2896	2064
120	1792	1536
122	1632	1328
124	608	352
126	2272	1968
128	6176	3808
132	1920	1088
136	8624	6064
140	3152	3072
144	9248	6592
148	3312	2864
152	16400	16384
156	6048	4816
160	8576	8320
164	26768	25824
168	3648	1968
172	10144	9536
176	4624	2592
180	16464	16096
184	4016	1216
188	6112	6096
192	1472	1072
196	5136	3792
200	1552	1232
204	1536	576
208	4000	3760
212	1280	848
216	5152	4944
220	864	512
224	5728	5648
228	2144	2048
232	6528	5664
236	2656	2592
240	14464	12400
244	5376	4896
248	4688	2416
252	12752	12688
256	20800	18064
264	11472	10176
272	7840	6896
280	2224	1744
288	3664	3568
296	3744	3200
304	2640	2336
312	2016	1664
320	1616	1376
328	912	784
336	752	560
344	640	512
352	672	608
360	784	592
368	720	656
376	880	624
384	704	608
392	544	448
400	720	592
408	480	384
416	464	416
424	320	272
432	336	256
440	416	416
448	176	176
456	336	304
464	352	256
472	320	288
480	416	256
488	384	256
496	304	224
504	320	240
512	592	320
528	480	256
544	336	256
560	480	336
576	448	384
592	736	560
608	704	576
624	448	224
640	416	160
656	400	240
672	496	224
688	960	528
704	560	384
720	624	400
736	640	544
752	288	208
768	192	128
784	256	192
800	368	368
816	448	368
832	624	384
848	656	656
864	880	784
880	496	448
896	768	768
912	832	784
928	656	624
944	640	592
