reuse distance,histogram value,read histogram value
0,69067792,23774720
1,53215056,24991504
2,51665824,23016832
3,40142464,19292448
4,28286176,13613952
5,16534224,9327648
6,12466896,7198592
7,10243904,7010272
8,8355888,5233696
9,6977136,3821360
10,5681648,2856768
11,5456016,2858704
12,5124736,2923728
13,4781152,3411744
14,4008032,2832784
15,4120816,3139952
16,4035552,2993472
17,3813024,3022864
18,2918160,2261536
19,2920640,2273312
20,3260096,2341248
21,2807552,1968080
22,2617456,1925408
23,2446624,1870752
24,2189536,1723968
25,2169904,1680016
26,2269952,1800736
27,2143232,1671536
28,2035024,1558320
29,2050336,1638224
30,1908640,1531904
31,2017440,1587104
32,2101280,1638944
33,1957072,1522256
34,1850512,1467344
35,1819520,1432736
36,1745296,1347232
37,1663712,1275888
38,1751392,1378992
39,1592768,1249840
40,1574512,1249248
41,1638544,1280048
42,1543312,1200352
43,1461696,1156416
44,1461040,1164640
45,1376240,1096144
46,1333824,1035104
47,1373152,1077152
48,1302480,1015696
49,1227216,966256
50,1259104,1008560
51,1165936,921872
52,1125584,882976
53,1159968,923200
54,1049856,835152
55,1012960,812576
56,1032992,840096
57,953808,766416
58,930640,746592
59,951616,773968
60,874256,701744
61,851104,688400
62,871472,715648
63,803344,650960
64,1590816,1298880
66,1455520,1185584
68,1430416,1176592
70,1348912,1112992
72,1256736,1035232
74,1241440,1030640
76,1195552,990288
78,1122416,911648
80,1134096,913568
82,1093056,863504
84,1010624,791120
86,1000208,794416
88,924768,750928
90,830048,689504
92,783744,674256
94,717456,635392
96,638112,574992
98,623984,573312
100,568064,530704
102,497648,466000
104,487728,461008
106,455280,430288
108,401088,378720
110,397248,377168
112,376544,359440
114,328400,312320
116,340736,328256
118,319328,308080
120,268032,258784
122,276336,268704
124,271376,265472
126,228944,222896
128,483680,474160
132,423088,415200
136,386272,379472
140,381664,373888
144,332464,323088
148,300896,295792
152,299680,296304
156,270224,267232
160,253456,250736
164,251808,249392
168,228144,225696
172,210304,208224
176,207696,205904
180,198448,196912
184,198848,197440
188,183280,181552
192,166048,164816
196,157552,156224
200,160976,159664
204,151824,150592
208,140880,139984
212,142224,141056
216,134496,133328
220,131184,130144
224,125120,124096
228,116928,116016
232,112848,111952
236,113024,111968
240,105200,104432
244,99776,98960
248,98240,97456
252,93568,92640
256,186400,183072
264,165920,164320
272,163520,162128
280,158000,156624
288,147120,145808
296,140384,138928
304,137616,136544
312,124672,123584
320,118912,117888
328,120112,119216
336,112992,111968
344,107632,106720
352,102000,101280
360,101776,100768
368,98576,97792
376,97488,96736
384,93680,93136
392,93984,93168
400,92640,91824
408,84528,83792
416,86880,86144
424,81856,81024
432,79456,78800
440,77648,76832
448,79008,78432
456,72816,72192
464,74352,73680
472,74496,73968
480,73616,72928
488,71248,70640
496,71488,70928
504,67600,67040
512,132624,131568
528,119200,118112
544,119264,117824
560,121568,120352
576,114544,113312
592,98640,97552
608,92608,91760
624,88832,87520
640,89824,88768
656,83504,82656
672,81392,80464
688,79920,79248
704,73392,72800
720,83536,77680
736,78048,77296
752,76240,74240
768,68768,66640
784,66784,66080
800,65936,65072
816,69504,68736
832,63632,63056
848,61744,61152
864,60432,59968
880,59648,59296
896,63520,63056
912,62960,61632
928,55824,53744
944,52896,52544
960,51936,51344
976,50240,49696
992,46320,45808
1008,46272,45776
1024,87808,86816
1056,84464,83600
1088,93024,89920
1120,88528,87280
1152,88992,88272
1184,92608,91680
1216,95584,95056
1248,88384,87664
1280,82272,78160
1312,75760,74192
1344,70608,69168
1376,69056,68112
1408,64080,63392
1440,65760,64624
1472,64032,61264
1504,62288,61760
1536,59760,58768
1568,64400,63712
1600,64608,64048
1632,69952,67824
1664,67760,66272
1696,60672,60176
1728,60688,59904
1760,58192,57664
1792,55632,55120
1824,60688,58048
1856,57296,56784
1888,55008,54544
1920,55296,54752
1952,54848,54384
1984,59088,58432
2016,56016,53408
2048,98144,97392
2112,89088,87888
2176,89616,86432
2240,85136,84208
2304,80016,79008
2368,81584,78512
2432,68112,67024
2496,64256,63424
2560,62256,59248
2624,55568,54608
2688,54912,53360
2752,53776,51328
2816,53392,52448
2880,50656,48416
2944,46304,45088
3008,45216,44304
3072,47280,44400
3136,42416,41408
3200,43824,42736
3264,45408,42528
3328,40928,40048
3392,41456,40448
3456,43616,40608
3520,38480,37712
3584,39840,38544
3648,38144,35424
3712,36928,36064
3776,38448,37232
3840,38688,36112
3904,36928,36000
3968,37248,35376
4032,36256,34592
4096,72768,69648
4224,66880,65168
4352,66944,63920
4480,64704,61328
4608,63984,61728
4736,59200,55904
4864,58256,54800
4992,56384,53696
5120,53056,50352
5248,54816,51568
5376,54384,50736
5504,52832,50704
5632,50608,47232
5760,50048,46720
5888,49888,47408
6016,46928,44256
6144,49808,45984
6272,45632,42480
6400,44368,42480
6528,45440,42224
6656,45200,41488
6784,45488,43600
6912,41344,38528
7040,43008,39488
7168,41424,38496
7296,38592,36304
7424,40832,37456
7552,38944,35712
7680,36320,34688
7808,37328,34112
7936,37760,34032
8064,35552,33424
8192,70992,64960
8448,66192,61808
8704,68944,61760
8960,63824,58592
9216,64688,58624
9472,61376,55488
9728,59008,54000
9984,59408,52304
10240,57952,52496
10496,59056,53392
10752,57936,52384
11008,53408,48288
11264,57264,50336
11520,53424,47920
11776,58144,51984
12032,56352,50000
12288,55696,49824
12544,57072,51024
12800,50592,45440
13056,49696,43648
13312,47936,42192
13568,47696,42240
13824,47424,42128
14080,46800,40720
14336,45632,40160
14592,47920,42784
14848,64224,52240
15104,37152,36368
15360,35168,35088
15616,40544,40464
15872,30880,30832
16128,29744,29648
16384,61312,61088
16896,60272,60048
17408,55728,55536
17920,54416,54288
18432,56256,56112
18944,53760,53648
19456,51056,51008
19968,51024,50912
20480,49904,49824
20992,48848,48736
21504,47728,47616
22016,45184,44976
22528,47008,46880
23040,41952,41760
23552,47024,46928
24064,41104,40992
24576,44528,44496
25088,42688,42608
25600,40288,40208
26112,39824,39696
26624,40960,40864
27136,37904,37824
27648,36880,36688
28160,36464,36352
28672,38160,38032
29184,38144,38096
29696,36160,35968
30208,35568,35456
30720,38064,37984
31232,37344,37312
31744,33232,33104
32256,32016,31984
32768,70240,69984
33792,67216,66976
34816,59792,59552
35840,60448,60208
36864,59808,59680
37888,58656,58528
38912,55728,55520
39936,54864,54704
40960,55680,55424
41984,54848,54720
43008,52496,52432
44032,52736,52528
45056,50768,50592
46080,49216,49008
47104,49120,48896
48128,46976,46864
49152,45888,45664
50176,46736,46576
51200,44784,44512
52224,43184,42880
53248,46432,46272
54272,45808,45584
55296,44528,44352
56320,41216,41024
57344,41680,41472
58368,40512,40352
