reuse distance,histogram value,read histogram value
0,65491632,10831024
1,73854256,35384448
2,79443168,52660736
3,28705408,15690768
4,17141488,12561728
5,4484656,3987856
6,3046416,2959552
7,3699120,3640208
8,3732256,3699072
9,2969248,2933088
10,3204352,3190352
11,3176336,3130736
12,2230960,2214784
13,2124960,2103296
14,1342576,1339536
15,1318064,1312928
16,1216464,1210560
17,1044000,1041536
18,946656,917728
19,858208,846272
20,1403920,1393904
21,1183600,1170864
22,1525616,1517040
23,1043216,1029040
24,1323824,1318752
25,1164688,1154016
26,918816,910944
27,1034320,1025728
28,1147200,1132896
29,1213872,1196480
30,1299344,1294176
31,1521312,1499376
32,1096160,1092192
33,1336464,1332672
34,1071120,1065856
35,1163440,1156720
36,1054032,1042720
37,1036400,990144
38,1096192,1037776
39,1229568,1224784
40,1431504,1413776
41,1049200,1032080
42,759856,742656
43,735552,715280
44,585248,555808
45,514112,510480
46,431968,418432
47,364992,346864
48,301008,287968
49,375568,312880
50,276576,257120
51,272848,253296
52,294880,268768
53,282960,269472
54,289856,274000
55,267968,258848
56,246224,240464
57,232608,216144
58,181136,163184
59,249360,226304
60,238816,230032
61,189216,174688
62,218096,210720
63,195456,184512
64,458896,426864
66,482976,423600
68,457584,424432
70,333120,316480
72,276512,256352
74,283744,269376
76,291696,246928
78,252368,225760
80,204768,192832
82,185136,161680
84,165200,143776
86,151488,145184
88,112528,104800
90,83152,75600
92,68176,63264
94,51600,44688
96,38096,30720
98,28624,20448
100,61952,56000
102,35888,33024
104,29632,28480
106,14656,11072
108,13200,10720
110,32512,29264
112,21024,18144
114,22208,20384
116,29024,25344
118,30560,20336
120,34320,25504
122,47760,31344
124,39328,33760
126,28528,25184
128,58304,31984
132,49216,33056
136,65024,49120
140,49504,44320
144,96240,84800
148,33616,30784
152,132656,123360
156,74432,57696
160,117120,102384
164,42560,36384
168,42816,24832
172,59536,47728
176,34544,27248
180,25344,13568
184,28448,14160
188,27456,20960
192,29968,26032
196,36000,33280
200,17056,13232
204,52976,11408
208,35296,18640
212,24304,12992
216,32416,14272
220,20592,12112
224,16576,9792
228,23200,18272
232,20032,16528
236,23344,17760
240,26048,18000
244,35984,23936
248,29680,16336
252,20976,6752
256,35728,14736
264,43168,28112
272,30256,23664
280,37520,33280
288,11712,7680
296,27168,16640
304,27744,13232
312,26416,22576
320,8624,6544
328,6224,3168
336,23920,1936
344,39248,3552
352,28560,7184
360,11120,4160
368,79264,68208
376,51376,40912
384,22752,19712
392,23856,19072
400,11728,9264
408,38624,3968
416,14176,8800
424,24960,8256
432,32864,19744
440,25376,9808
448,11600,1216
456,18512,6816
464,21264,16896
472,17136,14640
480,11840,8496
488,15936,12880
496,12896,11472
504,11824,10480
512,50096,47328
528,43056,30976
544,16672,12688
560,15568,7552
576,19872,16368
592,10096,7408
608,11584,7104
624,31072,80
640,85888,5216
656,69072,61024
672,61792,36352
688,78656,14816
704,74048,12720
720,21024,3632
736,9840,1216
752,8416,112
768,23600,1200
784,23984,8384
800,40816,9136
816,24592,12400
832,66544,35008
848,39808,27920
