reuse distance,histogram value,read histogram value
0,205942768,6405632
1,36537184,7607008
2,29970832,10381104
3,34615168,16980400
4,42922064,23977552
5,31484352,13565488
6,19038176,9694224
7,22473712,12932784
8,16658256,10413424
9,10798208,7335648
10,8168336,6739328
11,6387552,5385312
12,6677856,6053504
13,5541776,5100720
14,4766384,4556800
15,3696624,3513024
16,3432016,3246240
17,2767408,2656464
18,2752944,2530880
19,2094144,1688528
20,4503616,3862096
21,2009824,1640320
22,1362736,1112944
23,1729968,1337456
24,1825456,1370048
25,2511328,1998464
26,1079664,836176
27,942320,634544
28,890816,601728
29,1064160,724432
30,769632,570768
31,707488,441360
32,755312,310800
33,567408,249424
34,858192,255040
35,717632,245808
36,559344,216288
37,649952,195904
38,675120,150720
39,606752,150432
40,506304,134432
41,447680,82016
42,456496,61008
43,438400,47184
44,495936,53552
45,481216,61328
46,720320,52176
47,496976,40368
48,418752,37744
49,568304,27952
50,557152,41024
51,452912,35552
52,358816,40720
53,401296,46704
54,434432,51632
55,552096,67296
56,484016,57744
57,663712,42928
58,456448,38832
59,380208,41168
60,479584,39712
61,467600,47888
62,374528,38240
63,292096,42592
64,588048,54640
66,744000,60672
68,1071760,50224
70,1538624,50176
72,1298864,49808
74,1262192,66224
76,1303104,82896
78,1408544,59792
80,1377728,71872
82,1751680,71008
84,2314720,50384
86,1626320,44592
88,1315472,61072
90,1288736,98320
92,1518976,69200
94,1651072,58656
96,1647728,65056
98,1977072,60992
100,2588496,65376
102,1548224,88192
104,1506032,54704
106,1310768,23328
108,1237056,11936
110,1468128,9104
112,973424,8720
114,952720,8704
116,1020800,9376
118,1493152,9200
120,1407024,9680
122,1244608,11552
124,1721408,12080
126,1999376,12880
128,4126480,35520
132,4096896,48144
136,2991552,67904
140,2563280,74944
144,1784320,111856
148,695456,148176
152,205088,171568
156,177008,176368
160,282448,282048
164,347776,347488
168,370544,370240
172,456768,456208
176,676528,676032
180,761664,761264
184,798160,797792
188,1059472,1059104
192,1343536,1343104
196,1442272,1441936
200,1613776,1613600
204,2030544,2030336
208,2453360,2453152
212,2521952,2521744
216,2891520,2891200
220,3335120,3334752
224,3343200,3342640
228,3507248,3507056
232,3730656,3730352
236,3613360,3612848
240,3470544,3469344
244,3557904,3557120
248,3167264,3166208
252,2783712,2780560
256,5135296,5131632
264,3977472,3970928
272,2966256,2954752
280,2774848,2748992
288,2642736,2625600
296,3086976,3029536
304,3033616,2993024
312,2744384,2599968
320,3129120,2949696
328,2508448,2335856
336,3311344,3092880
344,2691520,2491840
352,3419040,3144512
360,2797200,2708208
368,2117728,2027104
376,1500592,1446272
384,1150848,1072672
392,1085632,996896
400,899632,873856
408,568688,561744
416,371952,368160
424,289632,287264
432,220976,219152
440,139536,137440
448,83040,81248
456,62928,61248
464,51648,50448
472,45152,44224
480,43088,42208
488,37680,36960
496,36192,35248
504,36480,35776
512,72320,70736
528,65200,63792
544,59376,57920
560,54800,52800
576,52384,51040
592,51712,50640
608,55424,54720
624,54912,54432
640,60912,60496
656,57776,57440
672,55072,54464
688,54528,54048
704,48128,47648
720,34544,33984
736,26320,26000
752,25824,25568
768,25088,24640
784,22832,22400
800,20000,19136
816,15936,15136
832,16048,15696
848,15328,15152
864,15248,14912
880,12048,11888
896,12304,11712
912,15440,15120
928,19120,18928
944,23296,23248
960,31856,31600
976,35696,35248
992,31456,31120
1008,35200,35136
1024,66688,66400
1056,62304,61696
1088,57376,56688
1120,29536,28784
1152,17856,17664
1184,19424,19344
1216,22608,22512
1248,25712,25168
1280,24864,24640
1312,47520,47296
1344,48896,48288
1376,45712,45168
1408,31456,31200
1440,25200,24800
1472,22576,22336
1504,19712,19488
1536,16880,16592
1568,13760,13600
1600,18784,18672
1632,22432,22256
1664,29424,29280
1696,31744,31488
1728,34208,33792
1760,36240,36096
1792,26352,26144
1824,15664,15152
1856,11072,10864
1888,12304,12288
1920,11920,11648
1952,13376,13056
1984,17360,17088
2016,19568,18752
2048,47904,47120
2112,50416,50016
2176,49168,48416
2240,50864,50064
2304,70000,69216
2368,32976,32096
2432,32128,32016
2496,26576,26016
2560,22480,22000
2624,11360,11344
2688,16064,15888
2752,37248,37136
2816,31488,31024
2880,18432,18272
2944,11840,11824
3008,15552,15536
3072,17888,17472
3136,16000,15952
3200,18032,18032
3264,15712,15712
3328,26480,26320
3392,14576,14176
3456,10448,10448
3520,13168,13168
3584,12672,12656
3648,13872,13712
3712,11728,11632
3776,9168,9168
3840,8880,8688
3904,9680,9680
3968,10960,10928
4032,8368,8368
4096,23680,23472
4224,15088,15088
4352,13648,13648
4480,11456,11456
4608,14288,14288
4736,12256,12256
4864,11552,11552
4992,12816,12816
5120,10608,10608
5248,9696,9696
5376,12224,12224
5504,10368,10144
5632,11168,11168
5760,22160,21968
5888,11776,11584
6016,11168,11136
6144,15008,15008
6272,12800,12624
6400,9328,9280
6528,9984,9984
6656,9056,8976
6784,8160,8016
6912,13408,13392
7040,14016,13712
7168,7280,7248
7296,5856,5856
7424,6768,6048
7552,7376,7136
7680,26880,26736
7808,25440,24912
7936,6000,5952
8064,5200,5136
8192,12240,12016
8448,18832,18640
8704,11488,11408
8960,8848,8832
9216,7712,7712
9472,7648,7648
9728,7632,7536
9984,9840,9808
10240,10176,9968
10496,21696,21376
10752,8896,8432
11008,19520,19488
11264,17136,16640
11520,7584,7584
11776,7872,7808
12032,9776,9760
12288,10288,10176
12544,5808,5808
12800,5552,5552
13056,5280,5280
13312,4656,4656
13568,5328,5328
13824,4208,4208
14080,4304,4304
14336,4064,4064
14592,3856,3856
14848,4768,4768
15104,3840,3840
15360,3760,3760
15616,3280,3280
15872,4000,3968
16128,3920,3904
16384,6976,6976
16896,5568,5568
17408,6672,6656
17920,4784,4784
18432,6208,6176
18944,5808,5792
19456,7120,7040
19968,4640,4640
20480,5568,5568
20992,5936,5680
21504,18960,18592
22016,6672,6560
22528,22400,21680
23040,8720,8624
23552,5392,5392
24064,4736,4720
24576,5920,5856
25088,4544,4496
25600,9264,9120
26112,6784,6784
26624,2800,2800
27136,3152,3120
27648,3584,3568
28160,3904,3888
28672,4112,4064
29184,3904,3888
29696,3936,3856
30208,2864,2816
30720,2528,2512
31232,2368,2368
31744,2464,2464
32256,2368,2368
32768,4624,4624
33792,4304,4304
34816,3568,3568
35840,3936,3936
36864,3824,3824
37888,3360,3360
38912,3280,3280
39936,3264,3248
40960,8896,8672
41984,4032,4032
43008,5808,5728
44032,3968,3968
45056,3360,3360
46080,3056,3056
47104,3296,3280
48128,3664,3648
49152,3872,3776
50176,4608,4544
51200,2960,2896
52224,7632,7408
53248,3296,3216
54272,4512,4432
55296,5344,5296
56320,4912,4816
57344,2672,2608
58368,1808,1792
59392,1824,1824
60416,1600,1600
61440,1312,1312
62464,1536,1536
63488,1712,1712
64512,1472,1472
65536,2976,2976
67584,3344,3296
69632,4096,3968
71680,2192,2192
73728,4080,3888
75776,4912,4816
77824,3536,3472
79872,2208,2208
81920,2448,2448
83968,2864,2832
86016,2672,2624
88064,4080,4016
90112,6240,6000
92160,4880,4816
94208,6128,5872
96256,2992,2960
98304,1584,1584
100352,1952,1952
102400,1664,1648
104448,3456,3312
106496,1664,1664
108544,1344,1344
110592,1584,1552
112640,2304,2272
114688,863088,863056
116736,4215216,4215184
118784,266368,266368
120832,245904,245904
122880,1417824,1417824
124928,4731184,4731184
126976,6820656,6820656
129024,2455040,2455040
131072,2110144,2110144
135168,1869520,1869520
139264,1953664,1953664
143360,1516224,1516224
147456,1917712,1917712
151552,7894736,7894736
155648,15381008,15381008
159744,10991136,10991136
163840,774784,774784
167936,1302032,1302032
172032,1021728,1021728
176128,294976,294976
180224,82320,82320
184320,63216,63216
188416,54064,54064
192512,50624,50624
196608,49904,49904
200704,55280,55280
204800,51312,51312
208896,48768,48768
212992,45392,45392
217088,39600,39600
221184,37280,37280
225280,39056,39056
229376,39312,39312
233472,38112,38112
237568,41616,41616
241664,44432,44432
245760,45824,45824
249856,48576,48576
253952,59856,59856
