reuse distance,histogram value,read histogram value
0,5314368,3565552
1,13884304,10866096
2,21394384,16052944
3,20855696,16783920
4,18551184,15649312
5,21282432,16777472
6,17323008,13153440
7,16537328,13303136
8,24644464,17772544
9,27016128,20345056
10,23483968,18073328
11,17443024,14212848
12,22454480,18024896
13,17922368,11540880
14,18260688,9211120
15,17145232,6684160
16,13422224,5708400
17,9264144,5350912
18,13825584,6869264
19,10357024,6389488
20,12482576,9708928
21,5147504,2639600
22,3528752,2292336
23,1464720,1033296
24,1195936,847888
25,843984,611200
26,492256,301744
27,292368,223008
28,266592,179472
29,172848,132080
30,193200,163472
31,162256,120304
32,141056,109184
33,114368,87712
34,182688,159328
35,176192,150048
36,124224,86768
37,128064,111264
38,248704,220464
39,136848,120928
40,79312,61088
41,106656,79280
42,121904,103072
43,208880,194688
44,364384,353776
45,465392,454880
46,494064,483872
47,188240,174400
48,87520,70928
49,58128,44512
50,55856,39744
51,47424,35584
52,44016,28192
53,34816,24944
54,37984,27952
55,27520,18496
56,19584,12240
57,37104,19632
58,29168,11968
59,26240,6816
60,27232,3968
61,10896,4944
62,11184,7472
63,11648,2608
64,26272,5504
66,24304,7584
68,20736,2720
70,15232,4896
72,13648,1376
74,15504,1328
76,14416,1552
78,15664,1504
80,6080,1440
82,8064,1168
84,5696,960
86,7712,1088
88,3696,656
90,8624,4976
92,2624,560
94,1872,288
96,12480,624
98,5552,320
100,7072,304
102,3776,112
104,1024,160
106,1152,304
108,4688,3936
110,5600,432
112,3840,400
114,1152,720
116,1712,960
118,2112,1840
120,2432,2368
122,5168,3472
124,7744,4880
126,10048,6656
128,23328,20320
132,34208,33328
136,56528,56448
140,76672,75152
144,80400,72432
148,46816,46368
152,35216,34448
156,22688,22048
160,15152,14832
164,13472,11552
168,6832,3648
172,4736,4400
176,8032,7952
180,2816,1952
184,3696,1472
188,1792,720
192,1408,368
196,1120,480
200,640,512
204,448,208
208,400,240
212,688,544
216,416,304
220,208,80
224,592,400
228,448,384
232,5520,5376
236,4096,4016
240,256,128
244,336,208
248,208,208
252,192,144
256,976,896
264,10352,10304
272,1136,1088
280,752,736
288,640,640
296,880,864
304,768,768
312,3200,3200
320,24992,24992
328,31328,31328
336,23456,22816
344,22912,22336
352,47552,44368
360,64064,54048
368,26784,22848
376,16784,15104
384,20528,19184
392,20576,18064
400,35120,27984
408,38848,32480
416,40096,35664
424,26720,22512
432,18832,14896
440,19360,17120
448,31808,30128
456,23024,21536
464,16592,14704
472,19408,18112
480,22496,21072
488,20336,18464
496,13488,12960
504,19488,19200
512,52416,45120
528,35696,33248
544,59456,59376
560,28752,28672
576,46080,46016
592,58144,57888
608,37584,36048
624,48512,48192
640,35344,34800
656,80720,72816
672,95136,89888
688,166432,166336
704,138320,138208
720,69536,67664
736,63088,61552
752,61984,59616
768,51776,42496
784,66016,46256
800,72736,62048
816,60608,46288
832,75600,55920
848,37232,26080
864,52736,46768
880,51392,40064
896,62496,50816
912,51280,42256
928,35056,30368
944,54672,43744
960,80608,69616
976,114720,106432
992,130432,124528
1008,128448,112848
1024,190960,163520
1056,140080,112704
1088,202608,178096
1120,238992,207696
1152,367632,322592
1184,374848,351216
1216,334336,315728
1248,359152,332192
1280,269088,250160
1312,275568,250144
1344,211824,184240
1376,240480,181088
1408,229584,202560
1440,162064,133936
1472,185600,165072
1504,265008,183328
1536,450928,383648
1568,486288,372704
1600,367488,282848
1632,287856,192640
1664,186112,95216
1696,271360,126912
1728,314960,185984
1760,243600,124976
1792,282816,146768
1824,310240,102576
1856,356240,134304
1888,298432,92416
1920,304128,119824
1952,387584,205776
1984,372176,149184
2016,345856,212624
2048,468704,261184
2112,396480,265696
2176,381920,289472
2240,432368,344032
2304,463424,352640
2368,590704,283632
2432,528240,201616
2496,595648,168736
2560,379104,154848
2624,921744,174384
2688,323712,81184
2752,272528,64288
2816,228528,62672
2880,115216,47568
2944,119760,64880
3008,68832,27520
3072,68192,14480
3136,102288,15712
3200,103440,17680
3264,126736,25888
3328,110736,22896
3392,147840,62048
3456,197840,87296
3520,206768,103888
3584,197776,123856
3648,206640,145856
3712,178960,122912
3776,170192,100272
3840,266768,159280
3904,351040,190352
3968,774112,237936
4032,1663664,1372192
4096,6751120,4236416
4224,190944,151520
4352,107760,44928
4480,49904,12656
4608,118480,24496
4736,632816,478880
4864,2234032,129328
4992,227312,1264
5120,201040,1968
5248,128672,12192
5376,79392,18208
5504,289936,42896
5632,339664,55968
5760,825280,488368
5888,1128144,740080
6016,695088,323392
6144,412016,135280
6272,567104,325200
6400,1063792,920608
6528,431616,258032
6656,366176,87936
6784,282704,16960
6912,260160,23568
7040,248656,17808
7168,208432,12096
7296,187904,1280
7424,188080,192
7552,201680,9968
7680,173104,4592
7808,1057808,823408
7936,8007184,5853440
8064,452288,280640
8192,1460592,1353136
8448,1968,1216
8704,4374656,3958336
8960,1701072,1334496
9216,492464,293840
9472,0,0
9728,736,0
9984,1440,0
10240,1472,192
10496,1248,112
10752,1376,16
11008,1456,32
11264,1280,80
11520,64,16
11776,176,176
12032,16,0
12288,16,16
12544,16,16
12800,16,16
13056,32,32
13312,48,48
13568,16,0
13824,80,0
14080,32,32
14336,32,32
14592,80,80
14848,16,16
15104,32,32
15360,0,0
15616,16,16
15872,64,64
16128,64,64
16384,48,48
16896,0,0
17408,80,80
17920,48,48
18432,2560,2560
18944,240,240
19456,272,272
19968,240,240
20480,96,48
20992,288,288
21504,48,48
22016,96,96
22528,256,128
23040,304,304
23552,0,0
24064,48,32
24576,0,0
