reuse distance,histogram value,read histogram value
0,120703136,20805312
1,61077456,22787696
2,43664048,20543520
3,42650288,19872112
4,31256544,14779312
5,18578704,8891056
6,16090704,8864016
7,15683456,11496128
8,9921504,8248080
9,7834848,5740496
10,8787728,6058688
11,7866864,5520624
12,6187184,5054512
13,4324800,3379744
14,3416256,2593792
15,4480784,3224144
16,3243552,2679728
17,2179600,1499520
18,2237568,1695136
19,1300944,910528
20,1362240,920272
21,1468912,1051088
22,1363104,1023152
23,1548592,956224
24,1438496,1181808
25,1565840,1347680
26,1199120,935680
27,1319424,1032480
28,1055744,864832
29,852176,636432
30,1306752,771376
31,1241856,803408
32,842016,659920
33,839424,731632
34,930912,762400
35,734080,568416
36,622384,508832
37,809296,467904
38,878880,412944
39,801648,560944
40,665568,554176
41,646496,556848
42,500032,403360
43,383568,279024
44,448624,313744
45,529552,295008
46,910064,308400
47,600480,353904
48,685632,564528
49,623648,511184
50,546832,444560
51,1268848,1071920
52,575856,459696
53,520320,421232
54,470208,342416
55,629840,508288
56,370352,230672
57,472304,222112
58,370960,188832
59,402400,227504
60,303504,182432
61,267760,158272
62,398416,212720
63,379360,232544
64,1303872,678512
66,677280,287168
68,479488,238880
70,872480,257392
72,560880,267760
74,482480,241936
76,541824,234368
78,482336,250960
80,418752,225440
82,394272,199920
84,294352,182064
86,297152,172400
88,476240,410192
90,405792,348352
92,488512,428048
94,581120,536864
96,467520,374784
98,448272,355376
100,376608,299056
102,780496,606848
104,1856896,1383424
106,1524480,881056
108,1235920,709488
110,1411088,864096
112,933488,613792
114,704256,452768
116,1383840,886336
118,709808,438176
120,258128,133104
122,179344,124880
124,177536,117648
126,205408,119888
128,289744,195808
132,236544,202208
136,246592,219216
140,278160,249424
144,217968,196528
148,191312,173168
152,192960,175920
156,155552,138160
160,113200,99712
164,119616,106528
168,149376,118736
172,170720,128640
176,135408,113312
180,91568,81536
184,82256,73248
188,84656,77568
192,85488,78208
196,74352,67936
200,65952,60848
204,65616,60560
208,68720,63360
212,70496,65056
216,67840,62128
220,64864,59328
224,56064,51696
228,52496,47984
232,53536,48480
236,50368,46272
240,46160,41760
244,43328,39104
248,40688,36896
252,39088,35136
256,78752,72016
264,78672,71840
272,84704,76448
280,98560,74112
288,96880,72080
296,71840,65568
304,69424,63744
312,66640,61952
320,64736,59776
328,62896,57808
336,63232,58592
344,65760,60992
352,73904,68800
360,73488,56608
368,60880,57216
376,63872,59328
384,63616,59840
392,58768,54992
400,59056,56048
408,65120,62384
416,58832,56160
424,58688,56192
432,57296,54704
440,55344,52592
448,55840,53456
456,56272,53888
464,56368,53808
472,53056,50688
480,56640,54288
488,54032,51616
496,54848,52640
504,50992,48704
512,108912,104688
528,112048,107056
544,108816,103712
560,106656,100784
576,106192,100448
592,106688,101136
608,98432,93472
624,94384,89776
640,107760,102736
656,89696,85088
672,91488,87056
688,87840,83376
704,88256,84224
720,79632,75984
736,81168,77744
752,80960,77360
768,76752,73648
784,82736,79392
800,78384,75376
816,72080,68832
832,72208,68768
848,70272,66912
864,73952,70736
880,70544,67440
896,71968,69008
912,74064,70864
928,66256,63296
944,67184,64160
960,64160,61680
976,65152,62080
992,70464,67632
1008,67200,64240
1024,122784,117584
1056,111936,106448
1088,116640,110832
