reuse distance,histogram value,read histogram value
0,120578832,13444144
1,57488464,19530432
2,45172688,22774336
3,35298192,24233504
4,32246016,26110480
5,26226640,21772480
6,24124816,20744192
7,20105312,17082576
8,19016608,15801952
9,15591760,13772032
10,14948688,12902016
11,13100976,11719936
12,11212720,9927584
13,9576656,8661504
14,10438768,9321648
15,8771328,7771536
16,7639536,6804320
17,8314720,6955808
18,7379776,6008048
19,6340560,5407472
20,6483344,5468144
21,6559040,5521344
22,5630816,4556896
23,5596304,4499856
24,5345680,4156432
25,5687472,4687088
26,6550288,5584288
27,6605248,5357536
28,5122176,4174768
29,5223728,4205648
30,5352592,4394544
31,5554592,4553616
32,6432048,5063152
33,6223808,4525760
34,5969888,4121952
35,5750944,3968576
36,5158192,3746256
37,4473776,3246720
38,4903296,3646016
39,5387616,3879440
40,4567168,3464144
41,3453680,2412208
42,3161600,2197664
43,3374784,2359904
44,2911328,1961392
45,3422736,2530688
46,2949488,2320096
47,2422656,2025216
48,2258608,1828784
49,1913712,1481328
50,1953728,1616416
51,1448080,1279680
52,1870160,1668528
53,2228624,2034432
54,1748928,1612832
55,2266000,2007104
56,1664208,1346992
57,1433920,1293040
58,1414224,1241216
59,1484032,1356368
60,1357680,1248384
61,1451824,1306704
62,1181520,1077696
63,808016,701296
64,1461120,1300896
66,1372928,1143008
68,1462384,1166096
70,1700592,1298928
72,1840592,1061584
74,1765136,1319552
76,1846096,1399536
78,1760528,1417936
80,1606528,1254592
82,1257040,834400
84,1721776,1142512
86,1948528,1187088
88,2170992,1567248
90,2246640,1703840
92,2009648,1606160
94,2044592,1681104
96,1589760,1295200
98,1742480,1380176
100,1928336,1671984
102,1668416,1382208
104,1778752,1173552
106,2020368,1062784
108,1840832,1021872
110,1599936,858624
112,1351824,866304
114,1315680,882288
116,1030544,651440
118,773744,570480
120,648816,450464
122,740784,410416
124,878896,416976
126,1026624,557632
128,2209232,1055120
132,2077584,985840
136,1922752,672096
140,2099264,1015792
144,2059760,1193984
148,1262512,938992
152,813312,647552
156,594336,448768
160,772320,674720
164,943920,848224
168,1215760,1046016
172,948976,823152
176,971104,863440
180,1005232,826912
184,1262512,923616
188,1267456,1158160
192,1316912,1212736
196,1297552,1171264
200,1578912,1216656
204,1982960,1568112
208,1673664,1391968
212,1084480,743488
216,1019296,568976
220,761440,519024
224,617472,530656
228,587616,480816
232,548448,340144
236,601360,226192
240,555520,155632
244,469056,127888
248,468608,165984
252,464880,159968
256,1209792,309040
264,1697696,559952
272,1841776,411072
280,737008,66240
288,373696,53968
296,351056,200112
304,195776,141120
312,525712,224224
320,599152,192656
328,336208,164768
336,660736,631424
344,563856,538656
352,436960,344144
360,801776,421984
368,1583456,719200
376,1844960,1033872
384,1446848,801200
392,844048,460976
400,942032,436288
408,1161856,502976
416,1454512,578048
424,1479008,658064
432,1541184,715232
440,1701392,820976
448,1076784,620864
456,873216,556448
464,790816,475456
472,785760,549376
480,1239232,790352
488,1505008,925328
496,1628064,1059184
504,1566656,1140048
512,2955664,2144864
528,2475552,2102496
544,3768528,3288128
560,3843968,3236304
576,2939088,2861536
592,2854496,2544272
608,4624864,3951040
624,6489568,6391392
640,14374128,13157392
656,19375488,16487456
672,5839424,5589120
688,9468880,8688144
704,8977232,8047104
720,2352752,2151552
736,458432,455920
752,189728,187504
768,25456,17168
784,14960,12528
800,22592,15600
816,10448,7856
832,14048,12256
848,3360,2080
864,16816,8448
880,35632,29856
896,26208,19680
912,22000,19840
928,33808,33792
944,30768,30768
960,12464,12464
976,9680,9680
992,1872,1872
1008,1296,1040
1024,3856,2448
1056,20944,20080
1088,34576,34576
1120,7664,7664
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,0,0
1440,0,0
1472,0,0
1504,0,0
1536,0,0
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,0,0
1856,0,0
1888,0,0
1920,0,0
1952,0,0
1984,0,0
2016,0,0
2048,0,0
2112,0,0
2176,0,0
2240,0,0
2304,0,0
2368,0,0
2432,0,0
2496,0,0
2560,0,0
2624,0,0
2688,0,0
2752,0,0
2816,0,0
2880,0,0
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,0,0
3264,0,0
3328,0,0
3392,0,0
3456,0,0
3520,0,0
3584,0,0
3648,0,0
3712,384,384
3776,1424,1424
3840,4000,4000
3904,8000,8000
3968,12160,12160
4032,17424,17424
4096,53712,53696
4224,67312,67264
4352,44976,44912
4480,480,416
4608,10176,10176
4736,10864,10816
4864,48496,48496
4992,32,16
5120,112,64
5248,32,0
5376,0,0
5504,0,0
5632,0,0
5760,0,0
5888,0,0
6016,0,0
6144,0,0
6272,0,0
6400,0,0
6528,0,0
6656,0,0
6784,0,0
6912,0,0
7040,0,0
7168,0,0
7296,0,0
7424,0,0
7552,0,0
7680,0,0
7808,0,0
7936,0,0
8064,0,0
8192,0,0
8448,0,0
8704,0,0
8960,0,0
9216,0,0
9472,0,0
9728,0,0
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,0,0
11264,0,0
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,0,0
18432,0,0
18944,0,0
19456,0,0
19968,0,0
20480,0,0
20992,0,0
21504,0,0
22016,0,0
22528,0,0
23040,0,0
23552,0,0
24064,0,0
24576,0,0
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,0,0
27648,0,0
28160,0,0
28672,0,0
29184,0,0
29696,0,0
30208,0,0
30720,0,0
31232,0,0
31744,0,0
32256,0,0
32768,0,0
33792,0,0
34816,0,0
35840,0,0
36864,0,0
37888,0,0
38912,0,0
39936,0,0
40960,0,0
41984,0,0
43008,0,0
44032,0,0
45056,0,0
46080,0,0
47104,0,0
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,3205040,3205040
73728,788720,788720
75776,366384,366384
77824,1124048,1123968
79872,7712,7712
81920,43824,43808
83968,9472,9472
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,0,0
147456,0,0
151552,0,0
155648,0,0
159744,0,0
163840,0,0
167936,0,0
172032,0,0
176128,0,0
180224,0,0
184320,0,0
188416,0,0
192512,0,0
196608,0,0
200704,0,0
204800,0,0
208896,0,0
212992,0,0
217088,0,0
221184,0,0
225280,0,0
229376,0,0
233472,0,0
237568,0,0
241664,0,0
245760,0,0
249856,0,0
253952,0,0
258048,0,0
262144,0,0
270336,0,0
278528,0,0
286720,0,0
294912,0,0
303104,0,0
311296,0,0
319488,0,0
327680,0,0
335872,0,0
344064,0,0
352256,0,0
360448,0,0
368640,0,0
376832,0,0
385024,0,0
393216,0,0
401408,0,0
409600,0,0
417792,0,0
425984,0,0
434176,0,0
442368,0,0
450560,0,0
458752,0,0
466944,0,0
475136,0,0
483328,0,0
491520,128,80
499712,2528,1168
507904,5760,2672
516096,3760,2048
524288,7120,3488
540672,6816,3488
557056,7856,3920
573440,7536,3760
589824,5200,2672
606208,5280,2720
622592,5136,2784
638976,5056,2480
655360,4240,1968
671744,4000,1824
688128,4192,2112
704512,4208,2128
720896,4128,1936
737280,3824,1856
753664,3744,1840
770048,3872,1888
786432,4160,1936
802816,4352,2160
819200,4096,2080
835584,4080,2192
851968,4528,2352
868352,4576,2336
884736,4240,2224
901120,3856,2048
917504,3856,1808
933888,4160,2192
950272,3984,1888
966656,3808,2064
983040,3632,1696
999424,3952,1920
1015808,4352,2256
1032192,4032,2016
1048576,7760,4096
1081344,8608,4192
1114112,7648,3952
1146880,8128,3808
1179648,7840,3616
1212416,7648,3840
1245184,8160,3984
1277952,8400,4352
1310720,8560,4464
1343488,8080,3904
1376256,7488,3920
1409024,8400,4176
1441792,8512,4336
1474560,7584,3616
1507328,8336,4176
1540096,8432,3968
1572864,7632,3952
1605632,8128,4160
1638400,7936,3888
1671168,8304,4096
1703936,7616,3824
1736704,8512,4240
1769472,8144,3776
1802240,8256,3984
1835008,8288,4208
1867776,8448,4096
1900544,7808,4048
1933312,7120,3728
1966080,8016,3600
1998848,8272,3872
2031616,8768,4480
2064384,8144,4112
2097152,16448,7968
2162688,16176,8064
2228224,16960,9216
2293760,16416,8080
2359296,16320,8464
2424832,15792,7856
2490368,16800,8528
2555904,15872,8160
2621440,15312,7040
2686976,16400,8256
2752512,16576,8416
2818048,15296,7696
2883584,15984,7936
2949120,16832,8752
3014656,16864,8704
3080192,17264,8640
3145728,16048,8112
3211264,16416,7920
3276800,15792,7744
3342336,16496,8128
3407872,15952,8480
3473408,16480,8160
3538944,16368,8192
3604480,16752,8352
3670016,16496,8336
3735552,16288,8080
3801088,15696,7984
3866624,16128,7664
3932160,15664,8160
3997696,16464,7872
4063232,15680,7456
4128768,15536,7696
4194304,32496,16320
4325376,32432,16544
4456448,31440,15808
4587520,31248,15008
4718592,33216,16896
4849664,31728,14928
4980736,32832,16608
5111808,30496,14512
5242880,32640,16192
5373952,32896,16928
5505024,33168,15856
5636096,32576,15952
5767168,33088,16960
5898240,33040,16480
6029312,32624,15952
6160384,31776,15488
6291456,33760,16480
6422528,32160,16288
6553600,32928,15760
6684672,31632,14944
6815744,31168,15920
6946816,32496,16480
7077888,30944,15744
7208960,32112,15632
7340032,30912,15248
7471104,32144,15808
7602176,32016,16192
7733248,32496,16080
7864320,31952,15968
7995392,32064,15920
8126464,30992,15200
8257536,31808,16352
8388608,65744,33312
