reuse distance,histogram value,read histogram value
0,16198896,11938928
1,26868160,22212464
2,34722112,29536640
3,38761296,35700640
4,37169728,35687808
5,31735744,30297216
6,32157776,30534928
7,30859632,29424992
8,24778896,23874448
9,20819168,20098192
10,18771984,17662528
11,14514576,13373744
12,13482048,12488496
13,13636880,11933184
14,12364400,10999296
15,12219568,10820336
16,8888512,7933008
17,7304000,6560448
18,6058144,5357312
19,6278096,5723248
20,5494720,5041904
21,5199568,4687008
22,5917328,5424432
23,5106592,4717760
24,5939552,5495984
25,4520592,4162848
26,4335712,4002992
27,4176576,3842800
28,4315984,3904752
29,5643488,5212624
30,6417328,5800528
31,5841536,5332816
32,3848336,3477408
33,3605776,3296416
34,3156944,2937296
35,2408416,2191248
36,3111952,2906320
37,3462032,3134384
38,2796912,2629744
39,2268928,2155712
40,2463264,2265520
41,2258832,2102224
42,2121984,1970576
43,2102576,1999248
44,2003536,1763856
45,2093632,1956880
46,2328208,2245456
47,2365120,2267344
48,2366144,2295776
49,2696240,2622048
50,2552160,2442544
51,1980752,1813760
52,1474576,1350144
53,1309248,1241520
54,929792,744672
55,1399280,1267168
56,1158160,1019424
57,1056224,948768
58,832896,748320
59,889376,704432
60,869824,806592
61,837264,764848
62,744416,655312
63,444736,364496
64,850576,728960
66,995376,835984
68,1047584,931328
70,1000464,898320
72,1259456,1101392
74,1233776,967568
76,912992,722272
78,647632,538288
80,399280,358256
82,484352,437344
84,338832,316992
86,425328,417424
88,317744,310048
90,261488,253264
92,255680,249712
94,158672,151856
96,116768,111712
98,217040,146688
100,211872,204976
102,186560,183024
104,147776,145424
106,83424,81792
108,52048,50736
110,223408,222192
112,66912,65952
114,112224,111296
116,191568,190656
118,46432,45776
120,29536,28160
122,22608,21440
124,26592,25456
126,75488,74752
128,42352,41200
132,21584,20816
136,22928,22160
140,20752,20160
144,12048,11680
148,9936,9840
152,13120,13104
156,31680,31648
160,26800,26800
164,17840,17840
168,21296,21296
172,11056,11056
176,6992,6976
180,3280,3280
184,4864,3584
188,5696,2864
192,6880,4368
196,8656,6080
200,5264,2576
204,6592,3872
208,2928,1968
212,2640,2592
216,1920,1920
220,1584,1584
224,2064,2064
228,2080,2080
232,1632,1632
236,1296,1296
240,1760,1760
244,1248,1248
248,1728,1728
252,1616,1616
256,3296,3296
264,4960,4960
272,5728,5728
280,8864,8864
288,11520,11520
296,15264,15264
304,14720,14672
