reuse distance,histogram value,read histogram value
0,18791760,11151632
1,16009168,12709424
2,50868944,17565968
3,35027728,17486720
4,31201872,26372160
5,32184704,30887632
6,27065264,26316048
7,17508000,16903872
8,11116384,10330656
9,13101664,10037248
10,11098208,9046656
11,7089696,5992128
12,4598816,3781776
13,8899728,7609216
14,7377296,6114624
15,3662880,2785824
16,4835440,4232672
17,4667936,4286960
18,4564432,4390800
19,2300480,1882784
20,2725872,1161248
21,2625680,620752
22,1824256,809712
23,3450960,2231392
24,1822992,941104
25,3217072,2106464
26,3615360,3061744
27,10390864,9742000
28,6190336,5486464
29,3411968,2670176
30,1851168,1378112
31,6443584,5968656
32,3249584,3064880
33,1238544,1152288
34,640704,555424
35,355888,282240
36,272544,202048
37,344688,103888
38,1416544,310784
39,995152,188512
40,506912,124080
41,395520,140192
42,511968,183984
43,640496,282960
44,743616,551360
45,1253264,1068160
46,2930608,2638112
47,2239632,2038656
48,1354672,1214288
49,503040,428928
50,230704,198224
51,124064,98352
52,95616,74784
53,78640,56352
54,85680,64208
55,413024,382208
56,497808,437280
57,271888,216992
58,150352,121248
59,168256,145264
60,135792,116016
61,63472,45696
62,48128,33984
63,228336,215392
64,284352,264160
66,79120,45600
68,52624,30256
70,41152,26256
72,40736,27712
74,43776,29200
76,41120,28400
78,46144,36880
80,69936,55424
82,211488,196848
84,362304,353712
86,199648,194672
88,182016,176416
90,114224,106928
92,171328,165680
94,322816,317616
96,268912,264752
98,41104,36464
100,25152,20128
102,21696,17360
104,20096,14816
106,17536,12992
108,20336,15344
110,49024,44272
112,71392,67424
114,53664,50304
116,38176,35392
118,31184,28224
120,20912,18592
122,26896,24896
124,17120,14880
126,24464,21968
128,68880,65552
132,26304,23248
136,78112,75456
140,350288,347568
144,92560,89952
148,31216,28976
152,31056,28928
156,30816,28400
160,61760,60176
164,32208,30416
168,59136,57408
172,42688,40816
176,26880,25136
180,22592,20784
184,34848,33552
188,50320,48832
192,67296,66080
196,49456,48096
200,45216,43904
204,32544,31232
208,23568,22256
212,20448,19168
216,25360,24240
220,32688,31456
224,70064,69024
228,46256,45040
232,38624,37584
236,34656,33856
240,22800,21728
244,19536,18352
248,24752,24048
252,45488,44784
256,99216,97776
264,47456,45904
272,41648,40304
280,97792,96240
288,87744,85984
296,42960,41504
304,54400,52736
312,81728,80384
320,71968,70960
328,57344,56096
336,68848,67632
344,70000,68784
352,62560,61696
360,53136,52080
368,68032,66912
376,74880,73936
384,63952,63104
392,60912,60112
400,62560,61680
408,59680,58672
416,71920,71056
424,73008,72016
432,60736,59888
440,56224,55344
448,72960,72208
456,62432,61696
464,59856,59168
472,69568,68800
480,75600,74864
488,61440,60704
496,52160,51424
504,63904,63136
512,146016,144528
528,121184,119616
544,132624,131088
560,137056,135424
576,129408,128064
592,127088,125760
608,144208,142832
624,126304,124992
640,132800,131568
656,141216,139472
672,138512,137056
688,129936,128416
704,150240,148784
720,130144,129008
736,138128,136656
752,146240,144736
768,153168,151680
784,153360,152048
800,235312,233712
816,199472,198192
832,375296,374272
848,626208,624832
864,564080,562768
880,550704,549152
896,928368,926992
912,259456,258016
928,355264,353648
944,808736,806912
960,1100608,1098928
976,1319888,1318000
992,1045104,1043360
1008,908000,906080
1024,1049904,1045952
1056,921184,917264
1088,840624,836016
1120,595552,591440
1152,1008976,1004928
1184,656128,650816
1216,551056,546608
1248,447536,442816
1280,690944,686656
1312,942304,937744
1344,736768,732144
1376,706480,702064
1408,731216,726768
1440,803248,799296
1472,551920,547808
1504,584496,579792
1536,659600,655264
1568,570016,565680
1600,615280,610944
1632,751472,746976
1664,358720,354528
1696,345536,340736
1728,418608,414176
1760,310800,306624
1792,271744,267072
1824,266784,262464
1856,267728,262912
1888,245216,240720
1920,236512,232368
1952,240976,236512
1984,228944,224352
2016,227392,222640
2048,445728,437152
2112,425984,416896
2176,422480,413440
2240,409472,400848
2304,398704,389920
2368,390720,381904
2432,382688,374800
2496,366240,357760
2560,352176,344032
2624,354256,346576
2688,338112,329952
2752,336464,328576
2816,332048,323920
2880,323008,314992
2944,314240,306448
3008,306144,298896
3072,303056,295664
3136,288800,280896
3200,288528,281120
3264,279888,272032
3328,286192,279088
3392,281968,274928
3456,273424,266592
3520,270272,263664
3584,260592,253504
3648,261472,254640
3712,257344,250496
3776,247280,240960
3840,247840,241344
3904,245072,238976
3968,236624,230528
4032,233696,228160
4096,456800,445232
4224,446288,434240
4352,437008,425936
4480,427472,416752
4608,407984,397456
4736,407776,396176
4864,386240,376288
4992,386240,376208
5120,363888,354416
5248,349264,340400
5376,335312,326160
5504,324016,315088
5632,324976,316576
5760,322512,313776
