reuse distance,histogram value,read histogram value
0,133379712,25166896
1,50634464,23526400
2,31948400,19730304
3,24474128,15371456
4,20899600,12217248
5,15362272,9798608
6,11901968,8210272
7,9699552,6477536
8,8212608,5849200
9,7509024,5309824
10,6519168,4468240
11,6008016,4179680
12,5538512,3643344
13,5297776,3607728
14,4854896,3381600
15,4539600,3202672
16,4126832,2755424
17,4323904,2744208
18,3754624,2693360
19,3622640,2632832
20,3329024,2486560
21,3031840,2271136
22,2733872,2055712
23,2459680,1859584
24,2442240,1875552
25,2275168,1747104
26,2211520,1699344
27,2058576,1578480
28,1992432,1523216
29,2237328,1545968
30,1968192,1515200
31,1824112,1331008
32,1741216,1258464
33,1636752,1206240
34,1563744,1145904
35,1575760,1157120
36,1527408,1117840
37,1503744,1070416
38,1420080,983248
39,1409840,967152
40,1439216,1022928
41,1235232,839200
42,1215616,840240
43,1213168,843264
44,1130512,794672
45,1067344,764048
46,1078144,784160
47,1041616,764032
48,1029152,772224
49,982048,735712
50,989920,737776
51,970512,733776
52,956656,722288
53,967632,708896
54,920112,698768
55,940736,706528
56,881312,674208
57,888272,687264
58,876400,676432
59,877968,682464
60,838096,647136
61,768960,582096
62,720032,538192
63,697632,515408
64,1317760,946032
66,1261584,897456
68,1192144,814736
70,1151264,758976
72,1135904,750432
74,1129648,748800
76,1086368,717248
78,1057072,704848
80,1009408,673024
82,962896,649360
84,920480,633056
86,883360,611824
88,843920,580624
90,815408,568512
92,775920,534352
94,734208,494000
96,706576,471408
98,670016,444176
100,682464,466560
102,634256,423328
104,628784,411936
106,619952,400080
108,619168,403072
110,634096,417856
112,622336,407664
114,614176,411952
116,606560,414528
118,592448,410512
120,565680,387040
122,548672,381728
124,532720,376896
126,500384,358432
128,900640,639216
132,862608,631776
136,823664,628688
140,815072,641104
144,786432,631216
148,762304,601792
152,739152,566208
156,733536,549024
160,679040,511568
164,664688,498064
168,633280,493536
172,602624,474224
176,593056,468688
180,593248,470544
184,569840,452240
188,541808,428592
192,517168,409760
196,496176,392880
200,480960,384608
204,474624,384736
208,473104,386048
212,455600,373696
216,448864,370640
220,429504,347056
224,411376,333536
228,417360,341056
232,392432,315056
236,371424,297872
240,374880,297680
244,377728,300320
248,349616,273536
252,354448,279200
256,695024,544816
264,677056,517088
272,663968,500160
280,609312,454864
288,600464,450464
296,602000,461776
304,592800,448208
312,572448,425584
320,558880,416800
328,567552,429904
336,571440,432144
344,560000,422416
352,535328,400832
360,526512,392352
368,546944,409568
376,546928,414576
384,507376,381984
392,499264,378496
400,471056,359984
408,418080,314080
416,392272,294752
424,367728,274656
432,356912,264224
440,352752,264976
448,342448,261888
456,332736,253680
464,327424,248960
472,325360,250080
480,327616,252208
488,314272,237584
496,319728,241424
504,313488,235760
512,622960,475376
528,612640,463888
544,578256,438976
560,559872,428112
576,554448,429472
592,532144,411120
608,519936,399552
624,507536,392464
640,498176,386096
656,465904,361280
672,454560,354656
688,433248,336784
704,420608,323584
720,417456,319904
736,410592,314432
752,412256,313456
768,403952,306800
784,404880,306768
800,408032,309360
816,396288,297824
832,379840,281712
848,374256,277344
864,375840,278928
880,367104,272896
896,371968,275120
912,373808,275984
928,344336,249072
944,350880,256144
960,364080,266528
976,354944,256000
992,329328,232640
1008,324944,224768
1024,650944,444944
1056,647584,443488
1088,646480,445760
1120,647056,444928
1152,599456,405520
1184,562992,374720
1216,558784,373328
1248,531344,351392
1280,518096,346272
1312,489504,328992
1344,465184,313568
1376,444272,290720
1408,417216,271568
1440,399152,262016
1472,388816,258144
1504,360752,235280
1536,342528,219296
1568,318000,204384
1600,314704,202560
1632,293136,188128
1664,274320,174096
1696,261344,163040
1728,252592,158896
1760,243840,151152
1792,237424,146496
1824,231168,142624
1856,215024,130288
1888,206272,124224
1920,192656,115920
1952,183776,110816
1984,179424,108720
2016,174912,104432
2048,317312,190672
2112,306992,186928
2176,301168,181792
2240,274944,162608
2304,266464,158896
2368,253392,152096
2432,235024,140768
2496,225136,136112
2560,201600,119616
2624,209008,126576
2688,189984,111872
2752,183680,108384
2816,179072,106176
2880,176928,102656
2944,167216,96848
3008,162096,95152
3072,153952,89472
3136,151856,87008
3200,147008,84752
3264,138576,78704
3328,139392,82464
3392,131120,76736
3456,123264,69472
3520,127136,75808
3584,133200,78896
3648,125664,73632
3712,118272,68080
3776,114464,65136
3840,123824,68656
3904,117776,65248
3968,116448,68608
4032,108928,62448
4096,203600,116656
4224,194368,104432
4352,185488,99712
4480,167088,87552
4608,148944,77760
4736,146704,77248
4864,136464,70096
4992,140864,71120
5120,129680,65072
5248,136016,70240
5376,123936,64496
5504,123024,65392
5632,114912,62256
5760,110528,62112
5888,110944,61088
6016,101520,54576
6144,94944,48400
6272,91440,46736
6400,90912,46192
6528,98272,53376
6656,90880,48928
6784,93008,52288
6912,91456,51600
7040,86992,48240
7168,80400,43152
7296,79824,41360
7424,78048,41488
7552,76368,41312
7680,78784,43104
7808,81680,46384
7936,76976,43680
8064,77936,44896
8192,143536,81280
8448,149456,88272
8704,150032,88256
8960,145680,85488
9216,140528,80512
9472,131216,75888
9728,119440,64032
9984,113744,62896
10240,111008,62464
10496,100128,54576
10752,95536,48352
11008,92912,47760
11264,89344,45904
11520,83552,41472
11776,76256,38016
12032,84624,46816
12288,82688,44144
12544,77056,38752
12800,69520,33616
13056,73888,33920
13312,77232,34736
13568,79392,46320
13824,62112,33680
14080,64272,34656
14336,60944,32048
14592,63184,34400
14848,65664,35008
15104,62064,28864
15360,60736,25616
15616,55216,25712
15872,53296,23104
16128,54640,25056
16384,93712,48960
16896,92032,49312
17408,88448,46512
17920,78064,39584
18432,77536,40608
18944,75104,39328
19456,74480,41168
19968,72656,38992
20480,72656,39456
20992,73616,42864
21504,70288,39584
22016,74224,42288
22528,71168,42224
23040,67664,36512
23552,64832,36352
24064,64688,37712
24576,61488,34336
25088,59472,32816
25600,57088,31136
26112,50560,26272
26624,53152,28928
27136,52768,29504
27648,45920,23632
28160,40704,19408
28672,41136,19152
29184,40544,20944
29696,38672,20016
30208,39552,20208
30720,36272,16432
31232,40816,22704
31744,40944,22032
32256,35856,19728
32768,67520,33040
33792,61808,28816
34816,63024,32048
35840,65104,34896
36864,59952,29168
37888,52736,24064
38912,52608,24080
39936,50400,22816
40960,51312,25856
41984,49872,24400
43008,50960,23760
44032,47760,25008
45056,50224,25616
46080,45792,20512
47104,44528,19680
48128,46896,24144
49152,39968,18528
50176,36656,16448
51200,33760,14896
52224,38224,17872
53248,36368,14384
54272,39024,16800
55296,35264,15440
56320,36160,14720
57344,36272,16128
58368,37408,17792
59392,33056,16320
60416,33248,14288
61440,31344,12368
62464,33184,14288
63488,30640,13472
64512,31440,13312
65536,57456,26736
67584,51648,24896
69632,53792,25120
71680,51744,24592
73728,47280,21504
75776,46992,19888
77824,47040,21072
79872,42432,17072
81920,44608,19408
83968,43664,19648
86016,40928,19232
88064,39744,18656
90112,39248,19056
92160,36944,16272
94208,37600,17872
96256,40640,20192
98304,35232,15872
100352,31440,13344
102400,33248,15392
104448,32080,15760
106496,28704,13728
108544,29072,13936
110592,28800,14944
112640,27008,13296
114688,29104,14720
116736,24992,12672
118784,27040,13024
120832,24288,11424
122880,21408,9680
124928,24656,12704
126976,21952,9776
129024,22432,11424
131072,47040,23648
135168,40128,21232
139264,41424,21664
143360,38352,18960
147456,38272,20096
151552,34768,18336
155648,37952,20512
159744,31936,16208
163840,31856,15984
167936,36416,21712
172032,36048,21776
176128,34384,18320
180224,33216,19200
184320,31008,17200
188416,31456,18448
192512,31104,18352
196608,25840,13728
200704,25776,15712
204800,26736,16688
208896,25360,14784
212992,25472,14720
217088,23904,14256
221184,29456,19824
225280,27776,18528
229376,27120,17264
233472,25360,17664
237568,27344,18704
241664,26224,18384
245760,24944,17056
249856,20752,13968
253952,23776,16096
258048,20144,13152
262144,44544,30288
270336,40096,26592
278528,40304,27424
286720,36208,24496
294912,31840,21056
303104,31056,20704
311296,26848,16368
319488,34304,24496
327680,39216,29488
335872,31488,22784
344064,27168,18896
352256,25136,17328
360448,25232,17456
368640,27392,19920
376832,30656,23664
385024,29488,22096
393216,23104,16672
401408,21440,14528
409600,18624,12432
417792,23344,17488
425984,19456,14416
434176,15440,9696
442368,20400,15072
450560,20480,15792
458752,17376,12192
466944,24256,18176
475136,17744,12736
483328,20304,16144
491520,19264,15216
499712,14272,10768
507904,18640,14848
516096,18192,14384
524288,33808,25568
540672,34544,27824
557056,30752,24176
573440,30112,23824
589824,24624,18080
606208,23072,17184
622592,31712,25312
638976,23728,19408
655360,23712,19344
671744,25200,20336
688128,24256,19600
704512,19408,16256
720896,16800,12640
737280,19920,15856
753664,11680,8608
770048,13920,10640
786432,16464,13152
802816,19024,15936
819200,11712,8912
835584,14800,11680
851968,16944,14192
868352,11296,8800
884736,15664,12960
901120,9776,7632
917504,9744,7616
933888,11376,8880
950272,12496,10400
966656,369152,10064
983040,11872,9440
999424,13232,10752
1015808,15056,13024
1032192,10416,7744
1048576,19600,16080
1081344,24560,20512
1114112,18528,14912
1146880,17840,14352
1179648,16912,13472
1212416,16736,13216
1245184,14864,12336
1277952,18816,14912
1310720,18432,14672
1343488,11216,8656
1376256,10256,8272
1409024,12064,9008
1441792,13808,11856
1474560,11984,9584
1507328,9664,7808
1540096,13152,10160
1572864,18288,15472
1605632,10704,8208
1638400,12912,10816
1671168,13280,11104
1703936,13040,10896
1736704,14464,12928
1769472,9008,7664
1802240,11952,10144
1835008,10432,8816
1867776,15824,13328
1900544,11136,8592
1933312,10000,8560
1966080,5008,3392
1998848,11120,9344
2031616,9664,7232
2064384,6288,5088
2097152,25136,20944
2162688,19344,15328
2228224,26176,22224
2293760,18528,15056
2359296,18272,14208
2424832,19088,15808
2490368,14720,11456
2555904,17632,15120
2621440,12848,9712
2686976,11072,8032
2752512,11408,9472
2818048,6384,4992
2883584,11312,9232
2949120,8672,7136
3014656,9920,7584
3080192,16848,13984
3145728,9216,7296
3211264,13280,10480
3276800,9648,6912
3342336,9744,7984
3407872,8256,6736
3473408,10048,8624
3538944,4608,3504
3604480,7952,6480
3670016,6592,5376
3735552,4880,3776
3801088,8624,6784
3866624,5760,4608
3932160,5632,4208
3997696,3712,2736
4063232,4320,3552
4128768,6576,5408
4194304,9712,7696
4325376,8608,6976
4456448,10464,8544
4587520,10624,8000
4718592,4768,4064
4849664,9136,6976
4980736,5696,4368
5111808,9504,7776
5242880,7360,6048
5373952,9120,7760
5505024,5616,4240
5636096,5328,4320
5767168,6832,5168
5898240,9664,7520
6029312,9168,7056
6160384,8736,6960
6291456,6400,5216
6422528,5152,3968
6553600,6608,5296
6684672,4880,4016
6815744,1392,832
6946816,1424,880
7077888,4464,3584
7208960,3808,2640
7340032,5280,3744
7471104,2400,1696
7602176,7072,5296
7733248,2496,1760
7864320,2720,2032
7995392,2384,1728
8126464,3312,2720
8257536,1600,1136
8388608,4592,3328
8650752,4960,3456
8912896,5792,4384
