reuse distance,histogram value,read histogram value
0,52189328,15300608
1,43030496,24020032
2,42135936,28694432
3,25759280,16692688
4,19401200,11903760
5,15836064,11595712
6,13475920,9608320
7,12521984,8094784
8,11021472,8060288
9,10356016,8091472
10,9800336,6802016
11,14356192,10243632
12,12865408,10438784
13,12009152,10045632
14,10509664,9243696
15,10124272,9017344
16,10614288,9547056
17,7403920,6409296
18,7396800,6109712
19,4930224,4482992
20,5189472,4625568
21,5688896,5102752
22,6560528,5855392
23,7677632,7011568
24,7732720,7026368
25,6779248,6148016
26,5012368,4519888
27,4226592,3828544
28,2885152,2561280
29,1950784,1711216
30,1703136,1466832
31,1270480,1109232
32,1102352,925504
33,860016,706976
34,768560,668608
35,699936,621152
36,680416,600800
37,658608,578400
38,659920,564192
39,641152,531376
40,709808,584608
41,686832,600112
42,675776,587984
43,653776,575600
44,631456,547440
45,484752,387264
46,458736,381760
47,445472,375280
48,524512,483072
49,439344,408080
50,535296,505712
51,515072,484800
52,461104,408960
53,562992,507472
54,644576,602512
55,588048,550656
56,495760,470096
57,360976,330800
58,343744,301888
59,305472,270880
60,357056,316608
61,441280,403600
62,517616,469488
63,556784,441344
64,783968,610896
66,579536,472304
68,568272,477152
70,524160,450416
72,529680,450624
74,484640,381664
76,420256,318880
78,546576,450096
80,469248,372176
82,369968,293504
84,351600,275088
86,497024,420224
88,541248,450032
90,463728,346064
92,460832,332176
94,444128,335840
96,391760,320400
98,298864,245792
100,296784,232080
102,326880,288688
104,336944,293392
106,489024,456032
108,530288,499664
110,491184,438368
112,440432,372736
114,356704,309904
116,654112,452320
118,506320,363200
120,309760,266304
122,255216,240704
124,235728,226816
126,223664,216512
128,449152,429968
132,435760,414176
136,432816,417152
140,398896,388320
144,365168,358960
148,319040,310224
152,350896,341088
156,318480,309296
160,324240,313264
164,302768,297136
168,276928,270976
172,277056,271568
176,279552,272112
180,262400,256096
184,220464,215632
188,209904,206064
192,213248,209424
196,217008,213440
200,221776,216656
204,267680,263472
208,383616,379216
212,407120,401168
216,293184,287056
220,221808,216496
224,211152,199984
228,211952,194528
232,205296,196736
236,228816,223952
240,1111280,1106912
244,2249712,2246416
248,5010736,4999632
252,76404080,76121808
256,5292544,5267536
264,315456,309792
272,277648,272064
280,265408,260064
288,251648,247584
296,263952,259424
304,238144,235120
312,205520,202016
320,212432,207984
328,245152,238992
336,283072,275456
344,308864,301328
352,304352,296032
360,257472,251584
368,253392,246480
376,249616,245856
384,213408,210912
392,166720,163312
400,138192,134080
408,122864,120112
416,120320,117392
424,113248,110992
432,96144,93856
440,89776,87920
448,95408,93616
456,80848,78960
464,76976,75120
472,76288,74544
480,73872,72128
488,74416,70992
496,80256,77984
504,81808,79744
512,167072,162400
528,150800,146576
544,113840,108912
560,118768,113856
576,109904,106784
592,91040,88528
608,77472,75120
624,398496,396272
640,4853136,4850800
656,1616496,1612720
672,1168016,1165792
688,64416,62160
704,50144,46032
720,51024,48880
736,56640,52656
752,44800,42304
768,36384,34064
784,34416,32672
800,34480,32384
816,32256,29280
832,29680,27648
848,36256,32336
864,43168,40240
880,52352,49296
896,46672,44048
912,53744,50752
928,31936,29376
944,25088,23648
960,27744,26512
976,30080,28064
992,29680,28336
1008,22768,20832
1024,43728,40912
1056,47584,43056
1088,51344,48176
1120,44688,39488
1152,43968,40272
1184,46512,43024
1216,33872,30880
1248,53472,50064
1280,98496,94256
1312,74512,71696
1344,97968,94688
1376,53504,51616
1408,43056,39232
1440,64032,60656
1472,89984,86928
1504,74368,71680
1536,38496,35088
1568,27648,25808
1600,39600,37248
1632,47952,45088
1664,94080,91136
1696,66896,64960
1728,24688,22864
1760,19568,18112
1792,17888,16224
1824,16752,15696
1856,17712,16496
1888,13888,13152
1920,17120,16528
1952,25168,19168
1984,13088,12144
2016,11760,11056
2048,31696,30064
2112,31408,29552
2176,26896,25056
2240,22432,21344
2304,26368,23856
2368,23056,21024
2432,21280,19568
2496,21056,18464
2560,19120,16800
2624,18432,17008
2688,17552,15296
2752,17232,16016
2816,19904,17856
2880,21216,18272
2944,18656,17040
3008,18752,17552
3072,17216,16144
3136,18224,16688
3200,20176,18816
3264,20608,19392
3328,18464,17584
3392,30512,27840
3456,16976,16320
3520,16192,15072
3584,13312,12512
3648,13824,13088
3712,11680,10944
3776,15776,15296
3840,18656,17696
3904,15184,14352
3968,13312,12160
4032,12640,11392
4096,23104,20288
4224,24640,19424
4352,23952,20416
4480,23904,20256
4608,18640,15984
4736,20736,18704
4864,23792,21360
4992,18320,15936
5120,15424,13168
5248,15856,13696
5376,16368,14736
5504,16848,15184
5632,14736,12784
5760,13632,12160
5888,13024,11376
6016,12528,11072
6144,12496,10512
6272,13632,11872
6400,14320,12736
6528,11712,9984
6656,11616,9968
6784,12400,10384
6912,12384,10464
7040,13072,11200
7168,11152,9632
7296,10400,8928
7424,11312,9792
7552,11328,9856
7680,11168,9216
7808,11936,9904
7936,11696,9696
8064,12896,11328
8192,26704,22080
8448,23600,20816
8704,22864,19520
8960,20592,17632
9216,17520,14640
9472,14496,10768
9728,20320,16464
9984,30176,25648
10240,29632,26528
10496,30816,27056
10752,22160,18928
11008,16576,13968
11264,13552,11872
11520,30448,28320
11776,23136,20352
12032,13808,12832
12288,16208,14640
12544,27552,24528
12800,28272,25520
13056,16464,13568
13312,14032,11712
13568,67200,64576
13824,26832,24720
14080,62576,60512
14336,19984,17408
14592,19264,17632
14848,12672,11312
15104,12048,10736
15360,11600,10016
15616,31184,29984
15872,20304,18752
16128,49536,47968
16384,100864,97856
16896,28560,25776
17408,484000,481488
17920,29632,25376
18432,17648,13712
18944,22160,15040
19456,46176,41728
19968,48048,45712
20480,12416,11168
20992,15984,14528
21504,25280,23840
22016,11936,11088
22528,16096,15104
23040,30080,28896
23552,12544,11216
24064,19552,17440
24576,13888,12096
25088,11728,10528
25600,12528,11776
26112,13776,10672
26624,15280,8896
27136,16784,8368
27648,16272,9184
28160,25792,20928
28672,18304,14592
29184,19376,16176
29696,5603072,5600128
30208,499200,497584
30720,9824,9184
31232,11696,10720
31744,11216,10304
32256,17392,16240
32768,23072,21392
33792,17360,15312
34816,14656,12896
35840,54112,51808
36864,71008,67456
37888,42976,41616
38912,11120,9408
39936,15696,14320
40960,61312,60208
41984,10128,9296
43008,10208,8800
44032,16368,15376
45056,10448,9136
46080,10944,10096
47104,13024,12016
48128,14912,12304
49152,12304,10912
50176,12064,10880
51200,12976,11936
52224,11696,10912
53248,10768,9632
54272,15968,10320
55296,11536,9824
56320,10704,8832
57344,12224,10432
58368,17552,16336
59392,9312,7952
60416,8336,7360
61440,9360,8112
62464,7264,6128
63488,7312,6192
64512,7168,6016
65536,14928,13488
67584,13440,11488
69632,12832,10784
71680,10544,8624
73728,10480,8800
75776,10192,8608
77824,14128,9168
79872,11232,9328
81920,14208,12368
83968,45264,43440
86016,11440,10352
88064,15760,14976
90112,8352,6880
92160,7360,6512
94208,8416,6960
96256,8720,7360
98304,8224,7360
100352,8128,7008
102400,8496,7584
104448,8336,7712
106496,8080,6976
108544,7840,7008
110592,8240,7264
112640,8528,7504
114688,9168,8016
116736,14848,14320
118784,10080,9360
120832,3360,2672
122880,14768,2768
124928,3632,2592
126976,958160,957360
129024,26384,25584
131072,17088,14960
135168,6112,4736
139264,6256,4480
143360,10080,8688
147456,13904,10464
151552,11824,9824
155648,10768,8224
159744,17360,14704
163840,15760,11216
167936,25072,20464
172032,20000,17568
176128,7360,5552
180224,6768,4400
184320,8128,6384
188416,6912,5232
192512,6144,4928
196608,5424,4048
200704,6304,5056
204800,7792,7072
208896,4976,4192
212992,5104,4176
217088,5904,4352
221184,4896,3856
225280,3648,3056
229376,3888,3264
233472,5632,4448
237568,4128,2960
241664,3120,2272
245760,3536,2416
249856,4624,3248
253952,4528,3216
258048,4224,3280
262144,6912,5072
270336,8240,5920
278528,6368,4384
286720,8736,6320
294912,5744,4432
303104,8448,5520
311296,16096,13088
319488,25664,18368
327680,7872,5936
335872,22720,18096
344064,6464,4016
352256,7808,4800
360448,6112,4256
368640,6208,4432
376832,6848,4624
385024,5216,3600
393216,7680,4928
401408,15488,13936
409600,7104,4560
417792,7728,6336
425984,6016,3584
434176,4512,3152
442368,5616,2672
450560,57264,54224
458752,12384,9792
466944,5824,2912
475136,5248,1936
483328,7024,3808
491520,17120,11392
499712,6848,3840
507904,30480,22032
516096,67248,64560
524288,31936,22768
540672,86768,82192
557056,10656,7888
573440,5824,3216
589824,16672,13680
606208,6176,3472
622592,6896,4016
638976,13008,10176
655360,6240,3952
671744,15328,12384
688128,18016,15008
704512,6240,3584
720896,5344,2896
737280,6528,4048
753664,5872,3472
770048,15296,13072
786432,13728,11840
802816,14592,12432
819200,16064,13616
835584,20704,18240
851968,23872,21536
868352,14848,12480
884736,18336,15488
901120,14720,12288
917504,11744,9424
933888,5216,2624
950272,4576,2064
966656,5888,3600
983040,4304,2384
999424,4768,2704
1015808,7936,4528
1032192,77744,74640
1048576,7616,4240
1081344,8528,5616
1114112,10144,7104
1146880,12688,10288
1179648,8256,5104
1212416,6320,4032
1245184,6688,3936
1277952,6544,4016
1310720,8784,6048
1343488,8288,5312
1376256,6448,4160
1409024,7088,4352
1441792,5824,3664
1474560,10800,8320
1507328,6544,4528
1540096,6528,3424
1572864,9488,7568
1605632,9648,7264
1638400,5328,3264
1671168,5232,3808
1703936,5136,3472
1736704,4752,3376
1769472,8256,6560
1802240,7472,6192
1835008,5792,4032
1867776,4848,3152
1900544,3808,2288
1933312,3552,2272
1966080,4032,3376
1998848,4256,3504
2031616,4384,3184
2064384,4512,3696
2097152,36496,33536
2162688,14576,13072
2228224,11344,9680
2293760,8400,7024
2359296,8672,7232
2424832,9728,8192
2490368,8976,7248
2555904,11968,9904
2621440,11424,9488
2686976,8912,7184
2752512,8464,6848
2818048,7424,5952
2883584,8224,6704
2949120,7296,5904
3014656,8352,6848
3080192,8080,6896
3145728,10128,8384
3211264,16304,14832
3276800,7616,6048
3342336,7184,5808
3407872,7168,5744
3473408,7712,6256
3538944,6832,5312
3604480,7888,6368
3670016,10736,9392
3735552,6832,5520
3801088,7648,6464
3866624,8080,6960
3932160,7200,6016
3997696,6768,5552
4063232,6000,4768
4128768,6192,4912
4194304,11664,9504
4325376,10400,8304
4456448,11328,9344
4587520,13056,10768
4718592,10256,8608
4849664,10480,8784
4980736,10864,8816
5111808,7392,5888
5242880,5968,4736
5373952,5296,4320
5505024,5152,4624
5636096,4288,4048
5767168,4000,3888
5898240,6000,5776
6029312,4112,4080
6160384,4032,3808
6291456,4864,4816
6422528,2384,2256
6553600,2016,656
6684672,1840,816
6815744,1984,944
6946816,2128,1072
7077888,1808,912
7208960,3536,2576
7340032,2416,1296
7471104,1904,1264
7602176,1504,1488
7733248,1536,1088
7864320,672,544
7995392,1088,928
8126464,912,752
8257536,1056,928
8388608,2672,2304
8650752,1872,1232
8912896,2528,1952
9175040,3200,2592
9437184,4576,3792
9699328,3536,2720
9961472,3616,3360
10223616,3280,3024
10485760,2624,2320
10747904,4736,4464
11010048,3984,3696
11272192,6496,2656
11534336,4624,2448
11796480,7184,4640
12058624,5408,2288
12320768,8784,5776
12582912,2992,2912
12845056,5136,4976
13107200,1776,1376
13369344,1312,1312
13631488,1824,1616
13893632,2064,1808
14155776,1264,992
14417920,1104,848
14680064,1664,1392
14942208,1392,1136
15204352,1200,960
15466496,1696,1392
15728640,1072,816
15990784,1776,1520
16252928,1328,1072
16515072,4672,4384
16777216,5104,4608
17301504,1792,1472
17825792,3312,1488
18350080,2336,2320
18874368,2000,1792
19398656,3392,2976
19922944,2464,1952
20447232,2624,2112
20971520,2224,1712
21495808,1888,1376
22020096,2464,1952
22544384,4288,3776
23068672,2400,1920
23592960,1808,1280
24117248,5616,2192
24641536,2208,1184
25165824,2496,1216
25690112,3008,1472
26214400,4208,2640
26738688,3904,2320
27262976,2416,880
27787264,1600,944
28311552,2960,1376
28835840,4032,1616
29360128,1776,1168
29884416,1760,1024
30408704,1392,816
30932992,1536,880
31457280,2352,1056
31981568,2032,896
32505856,2736,1552
33030144,2272,1120
33554432,6928,2912
34603008,5872,3232
35651584,4416,4368
36700160,5664,3536
37748736,2912,1648
38797312,2880,1632
39845888,11568,1536
40894464,12320,3104
41943040,8784,3952
42991616,3088,2208
44040192,5680,1824
45088768,4960,2560
46137344,5504,2624
47185920,14240,1968
48234496,3376,2768
49283072,1904,1904
50331648,3600,3264
51380224,4784,2832
52428800,1376,1376
53477376,2256,2256
54525952,1952,1920
55574528,2896,2720
56623104,4416,2096
57671680,1888,1888
58720256,2704,2688
59768832,3024,3024
60817408,2432,2432
61865984,5696,3888
62914560,3792,3664
63963136,3504,3504
65011712,2048,2032
66060288,2128,2096
67108864,6496,6464
69206016,5392,5392
71303168,5808,5808
73400320,5648,5648
75497472,5472,5456
77594624,5872,5872
79691776,7808,7808
81788928,3280,2912
83886080,1280,1152
85983232,1120,1120
88080384,704,704
90177536,816,784
92274688,1024,1024
94371840,832,832
96468992,1264,1264
98566144,800,800
100663296,1136,1136
102760448,1056,1056
104857600,1120,1104
106954752,752,752
109051904,784,784
111149056,832,816
113246208,816,816
115343360,896,880
117440512,480,480
119537664,624,624
121634816,480,464
123731968,736,688
125829120,304,288
127926272,704,688
130023424,336,288
132120576,432,432
134217728,848,576
138412032,528,528
142606336,784,752
146800640,784,784
150994944,7616,992
155189248,3088,1056
159383552,672,544
163577856,2336,448
167772160,2640,640
171966464,688,688
176160768,2816,720
180355072,2880,832
184549376,816,560
188743680,1024,1024
192937984,736,720
197132288,7584,384
201326592,176,176
205520896,64,64
209715200,80,80
213909504,80,80
218103808,96,96
222298112,80,80
226492416,96,96
230686720,96,96
234881024,96,96
239075328,160,160
243269632,96,96
247463936,4720,80
