reuse distance,histogram value,read histogram value
0,141006688,11404592
1,61395184,23002736
2,30153216,12788688
3,21812672,10837776
4,17996048,10489216
5,14235888,8992144
6,11632928,7818608
7,10293184,6550496
8,10745520,7326144
9,8658528,5984944
10,9265568,6412768
11,7420176,4979072
12,6448240,4343232
13,6780672,4751568
14,6279392,4703552
15,5825904,4404528
16,5606336,4117952
17,5002576,3698928
18,5049536,3791264
19,4794848,3433584
20,4899328,3697376
21,5499072,3739712
22,5734864,4110368
23,5796608,4370720
24,5044864,3955744
25,4964352,3795296
26,4651456,3715520
27,2580944,2136944
28,2129952,1797600
29,1913536,1436208
30,1717600,1198448
31,1454512,1086064
32,1618800,1308896
33,1391152,1059696
34,1120480,778992
35,1284640,921728
36,1466464,942576
37,1088928,798224
38,1098800,808064
39,1106688,861120
40,1123520,795312
41,1030944,749616
42,979552,720064
43,898496,595984
44,937008,616400
45,1050672,805152
46,958656,745040
47,929024,686224
48,858432,665344
49,836112,669904
50,832624,646064
51,832064,600224
52,896864,594816
53,960848,693808
54,1008528,797808
55,884160,678032
56,838176,559376
57,834544,547824
58,908096,598592
59,939600,644080
60,859840,598960
61,788928,546976
62,878048,539648
63,826352,557392
64,1655680,1168544
66,1735664,1234240
68,1756224,1288864
70,1452992,1058816
72,1128864,770160
74,1207136,869392
76,1155808,822880
78,1237104,921552
80,1415024,1078256
82,1330624,924688
84,1495456,1070720
86,1362528,952544
88,1189024,842128
90,1396848,1026512
92,1244352,856656
94,1249760,911184
96,1114288,830416
98,1244928,835296
100,1212768,786304
102,1195472,810640
104,1025920,689808
106,943872,659120
108,649408,433040
110,669568,467520
112,638512,472384
114,517360,366624
116,673936,506352
118,524896,358032
120,540416,420288
122,496656,377456
124,510272,402608
126,477120,370240
128,910096,647856
132,816912,539600
136,733776,524768
140,564928,410432
144,506912,375344
148,480544,355344
152,470880,336720
156,515888,370480
160,565312,396336
164,486656,384864
168,475056,398016
172,439632,362832
176,455168,347328
180,261840,179392
184,292896,192880
188,258176,173248
192,372032,270832
196,360720,271072
200,344368,297520
204,363904,308304
208,341872,272032
212,423600,343920
216,399824,303840
220,367680,254192
224,316496,225344
228,315520,226144
232,270128,200096
236,253056,166688
240,241568,164496
244,204736,158880
248,200400,162144
252,162304,138368
256,356432,278352
264,488256,418224
272,281408,232032
280,344768,243984
288,600112,433472
296,600000,363504
304,488400,371856
312,437232,348576
320,506208,411696
328,488640,347440
336,302336,205536
344,261456,217936
352,403360,319296
360,553152,492096
368,360800,305280
376,373728,279664
384,345280,220624
392,286992,185616
400,267584,199968
408,331168,278048
416,311616,264496
424,286256,258976
432,305936,234896
440,303216,243024
448,397264,291040
456,470032,303584
464,580096,426752
472,568848,380160
480,411888,288128
488,259536,168496
496,276064,212176
504,240544,177040
512,498816,371920
528,548848,343104
544,626832,476192
560,1060400,767024
576,1029984,775280
592,489200,426192
608,359776,291728
624,227536,162192
640,256960,172032
656,268448,180416
672,294048,190784
688,267600,164160
704,237536,169696
720,203872,166480
736,195488,129040
752,198032,176256
768,223824,189264
784,206672,160992
800,190112,160480
816,169312,135056
832,166560,130304
848,106752,82672
864,102224,85664
880,90656,67696
896,79904,59088
912,77280,64528
928,62576,52592
944,64464,57344
960,52864,42224
976,74752,54208
992,62800,50944
1008,78640,54032
1024,220208,173360
1056,167184,117120
1088,122144,90864
1120,63120,59760
1152,113504,80960
1184,97072,77472
1216,119168,77808
1248,106768,70960
1280,139584,74416
1312,112352,79024
1344,99808,68208
1376,80096,51456
1408,101248,75856
1440,117792,101376
1472,93728,84832
1504,109856,102624
1536,143600,120064
1568,128448,104224
1600,75664,59984
1632,59408,49104
1664,59760,49936
1696,66832,54912
1728,66064,54448
1760,87936,81216
1792,124288,117344
1824,110832,102864
1856,86576,79824
1888,81936,78560
1920,47872,43552
1952,66128,62336
1984,71408,57696
2016,68544,62464
2048,204304,198832
2112,181472,176496
2176,250272,245072
2240,169728,160672
2304,175824,167808
2368,192512,177232
2432,220928,198512
2496,210672,163200
2560,202864,174240
2624,164128,139968
2688,203040,160864
2752,378416,330848
2816,229120,204928
2880,219088,205504
