reuse distance,histogram value,read histogram value
0,22670800,13459472
1,36545920,26660192
2,64376688,60505088
3,61583296,58933248
4,41456080,40319840
5,36554400,34023504
6,31947056,30902240
7,19376640,19170176
8,10320448,9500512
9,12756640,12325712
10,14296720,14152192
11,16065600,14981904
12,9729776,9421056
13,8683744,8404480
14,10473696,10046240
15,6617312,6363424
16,2267248,2168512
17,2031184,1891184
18,1396672,1244496
19,1890624,1794336
20,1374896,1258912
21,745968,718752
22,256400,238784
23,510160,487424
24,975648,948176
25,850416,837920
26,906736,886288
27,162640,153248
28,472496,432160
29,121728,70304
30,64080,56208
31,57456,51488
32,392384,336480
33,57200,38880
34,230976,202752
35,540752,531968
36,437344,426400
37,1603856,1596256
38,2229792,2210016
39,3228672,3214528
40,3114832,2804768
41,1724912,1720496
42,1045104,711104
43,1990736,1885776
44,1509504,1394176
45,1253600,1245200
46,1645376,1480848
47,868368,867040
48,931328,902368
49,447664,442448
50,853744,853232
51,672544,671568
52,539424,501072
53,403808,402352
54,366368,364320
55,610288,567808
56,10016,3152
57,228288,220576
58,59664,10576
59,339456,333088
60,679888,621632
61,63904,59072
62,147168,133472
63,436128,432160
64,739552,718128
66,15264,11456
68,267840,260560
70,144448,138720
72,114048,111904
74,222624,219648
76,986032,944336
78,174832,125344
80,90464,71360
82,225856,221616
84,415232,400160
86,877968,875040
88,1148304,1141920
90,917120,915168
92,1160992,1156384
94,1864544,1863664
96,3004672,3003792
98,2908240,2907840
100,2286256,2247040
102,2217840,2212832
104,1044176,1002368
106,1145312,1139536
108,1141600,1141104
110,1334576,1332352
112,2081040,2067376
114,3320368,3310704
116,1527600,1512144
118,2232672,2231424
120,1876224,1875936
122,1434112,1433616
124,663248,663152
126,675264,675232
128,765760,765504
132,910640,910528
136,946096,946064
140,659664,659664
144,1309168,1308624
148,514048,513504
152,102288,101968
156,3296,2944
160,15680,15344
164,257104,256976
168,224896,224512
172,58912,58656
176,91872,91872
180,406384,406384
184,172912,172832
188,210816,210320
192,79312,79216
196,35472,35360
200,58624,58592
204,164656,164656
208,77136,77088
212,10128,10112
216,26064,25568
220,28000,27920
224,3488,2944
228,416,416
232,1696,1696
236,1872,1456
240,976,976
244,464,416
248,368,368
252,624,528
256,2192,1584
264,2368,1872
272,2288,2256
280,1840,752
288,1200,1152
296,704,624
304,848,656
312,1136,1104
320,848,816
328,2240,832
336,2000,1024
344,105392,105184
352,103424,103392
360,606336,606336
368,1420048,705584
376,926160,722368
384,312704,312704
392,219952,219952
400,1152,1088
408,33072,33008
416,62096,62080
424,263680,258400
432,157184,126000
440,144448,144320
448,379408,232752
456,262496,144432
464,73584,59088
472,1680,1632
480,3392,3312
488,28912,28912
496,1248,1248
504,1792,1792
512,2192,2192
528,3184,3184
544,4128,4112
560,960,960
576,2096,1584
592,1632,1600
608,1152,1152
624,2256,1776
640,2256,2080
656,944,912
672,624,624
688,1360,1360
704,1920,1920
720,3536,3536
736,1984,1680
752,2448,1776
768,523040,522560
784,89328,89088
800,1088,896
816,94624,94624
832,24432,24432
848,1680,1680
864,2032,2032
880,816,816
896,140432,140432
912,97744,97744
928,4576,4576
944,7920,7680
960,1296,1168
976,1824,1536
992,1056,832
1008,1200,1200
1024,1472,1472
1056,1040,1024
1088,1200,880
1120,1568,1536
1152,1504,1248
1184,1312,1216
1216,1088,1088
1248,2512,2512
1280,3120,2528
1312,2912,2912
1344,1872,1872
1376,1536,1536
1408,1120,1120
1440,2880,2240
1472,5728,2240
1504,2608,1632
1536,14352,14352
1568,2064,1696
1600,3808,2192
1632,5472,3760
1664,6736,4816
1696,3584,3184
1728,3536,2816
1760,2976,2288
1792,4528,4448
1824,7488,7456
1856,2640,2304
1888,2176,2096
1920,15888,15376
1952,2432,1888
1984,2000,1728
2016,2224,1488
2048,5632,4608
2112,6368,5776
2176,5728,5728
2240,12304,12160
2304,1888,1888
2368,160,160
2432,240,240
2496,176,160
2560,256,256
2624,576,224
2688,496,272
2752,336,336
2816,560,560
2880,640,640
2944,640,640
3008,576,576
3072,15152,15152
3136,416,416
3200,992,208
3264,288,288
3328,64,64
3392,144,144
3456,622672,622672
3520,306704,306704
3584,720,720
3648,5280,5248
3712,448,448
3776,1136,1136
3840,336,304
3904,1296,1248
3968,560,512
4032,39504,39504
4096,280688,280624
4224,912,864
4352,496,496
4480,928,896
4608,848,736
4736,720,672
4864,336,320
4992,400,400
5120,384,384
5248,496,496
5376,560,560
5504,352,320
5632,272,256
5760,736,720
5888,512,512
6016,320,304
6144,592,576
6272,432,384
6400,912,864
6528,368,352
6656,384,368
6784,176,176
6912,160,144
7040,608,608
7168,208,208
7296,288,288
7424,160,160
7552,224,224
7680,480,480
7808,384,368
7936,352,320
8064,240,192
8192,1296,1232
8448,784,768
8704,224,176
8960,416,416
9216,112,112
9472,96,96
9728,144,144
9984,160,144
10240,144,144
10496,1120,1120
10752,768,656
11008,480,448
11264,176,80
11520,304,208
11776,96,96
12032,208,176
12288,640,624
12544,304,304
12800,48,48
13056,208,208
13312,112,112
13568,144,128
13824,896,880
14080,976,912
14336,144,48
14592,208,128
14848,256,176
15104,80,32
15360,80,80
15616,112,112
15872,128,112
16128,128,128
16384,656,592
16896,560,544
17408,1472,1472
17920,448,320
18432,352,112
18944,448,416
19456,224,224
19968,96,96
20480,1104,1088
20992,1744,1712
21504,640,624
22016,224,224
22528,256,160
23040,320,128
23552,272,144
24064,80,80
24576,2512,2512
25088,304,304
25600,256,240
26112,144,128
26624,128,128
27136,176,176
27648,144,80
28160,2416,2256
28672,928,800
29184,272,256
29696,192,144
30208,64,48
30720,80,64
31232,2016,2016
31744,416,416
32256,64,48
32768,992,944
33792,336,96
34816,2512,2352
35840,240,208
36864,1104,1088
37888,2928,2880
38912,480,480
39936,256,96
40960,1312,1008
41984,2816,2816
43008,112,48
44032,64,64
45056,4224,4208
46080,48,16
47104,240,96
48128,272,32
49152,4352,4352
50176,48,16
51200,128,128
52224,4112,4112
53248,1856,1840
54272,160,16
55296,384,48
56320,4704,4560
57344,1520,1424
58368,32,32
59392,4144,4128
60416,592,592
61440,2144,2144
62464,272,240
63488,352,48
64512,352,48
65536,1616,1584
