reuse distance,histogram value,read histogram value
0,74659840,22173856
1,41771248,21323504
2,28532384,16471200
3,22917616,15122736
4,18753104,13054800
5,14297472,9910720
6,12082096,8168624
7,12003120,8129968
8,10087456,7019488
9,9723584,7070688
10,8775920,6282544
11,8166720,6014592
12,7185200,5086144
13,6559888,4583472
14,5747744,3994368
15,5302368,3889184
16,4723136,3412336
17,4568144,3378800
18,4334576,3287184
19,4015808,3055664
20,4156784,3134496
21,3907056,3089104
22,3854064,3084352
23,4015536,3335200
24,4057120,3378288
25,4194384,3492656
26,4282864,3484880
27,3709408,3005008
28,3615584,2919520
29,3411696,2767600
30,3224544,2557392
31,3009616,2405632
32,2855072,2189968
33,2798064,2051040
34,2690352,1957984
35,2463184,1816832
36,2331648,1717168
37,2113088,1580048
38,2200464,1606224
39,2108368,1546048
40,1891920,1474656
41,1773824,1381808
42,1707584,1310656
43,1722160,1309376
44,1639984,1207840
45,1553392,1141984
46,1438224,1036224
47,1386864,988224
48,1347424,954304
49,1285264,944864
50,1303200,975104
51,1284976,972800
52,1218928,912608
53,1228960,932000
54,1190960,923344
55,1200128,923744
56,1190816,900816
57,1211728,910128
58,1165584,878032
59,1141632,844736
60,1181536,830624
61,1120416,812304
62,1104480,792496
63,1134000,763920
64,2055888,1411936
66,2014416,1314128
68,1957536,1226864
70,1853152,1151440
72,1723104,1075392
74,1626672,1030144
76,1540800,1011728
78,1530240,1045808
80,1460848,1002064
82,1397648,963872
84,1320064,923472
86,1276160,906752
88,1243280,881984
90,1234208,901744
92,1173872,863568
94,1154752,864256
96,1114608,840080
98,1060848,819552
100,989168,773680
102,894880,709856
104,812368,658064
106,778880,641232
108,765456,633232
110,764544,650336
112,752000,646944
114,743408,648528
116,684272,596512
118,620080,539264
120,591296,504848
122,572368,485568
124,566912,484096
126,557520,478512
128,1096848,949296
132,1050096,915312
136,1049088,913904
140,1117248,963200
144,1162016,979968
148,1201184,993536
152,1159152,965376
156,1035072,860560
160,884608,732768
164,766352,638368
168,665040,563440
172,596272,514080
176,540880,467376
180,499232,437120
184,456400,407136
188,429760,387520
192,417664,378240
196,424096,386608
200,418832,382656
204,425536,387616
208,421360,384720
212,410512,373568
216,388976,352912
220,380928,347072
224,351488,318640
228,330208,300400
232,304320,275488
236,295040,266048
240,287984,258784
244,267696,239760
248,258560,233328
252,247264,222624
256,450624,402592
264,425664,379280
272,414080,367392
280,398048,356240
288,388032,346272
296,373376,331600
304,358176,314368
312,359392,313952
320,344128,300608
328,312608,271536
336,277184,241200
344,270672,236256
352,267264,232384
360,260208,226368
368,247936,214960
376,233760,199616
384,225232,191472
392,224400,189456
400,219536,185072
408,215632,178832
416,200560,163920
424,200640,163632
432,198784,162544
440,191584,156912
448,196784,164208
456,194288,164720
464,189488,160752
472,179936,152848
480,188432,162384
488,180368,156320
496,171680,148368
504,164544,143216
512,326032,285440
528,317584,279664
544,301152,261104
560,287104,246000
576,281008,240176
592,276288,233504
608,289040,245008
624,297456,249728
640,300128,252560
656,318848,267456
672,325488,276480
688,334656,285456
704,353760,300704
720,361952,311328
736,371248,322576
752,383248,333584
768,398432,350400
784,411312,360816
800,421440,369392
816,416128,365040
832,420576,366448
848,415840,362304
864,400944,347328
880,380592,328912
896,349056,301136
912,324384,279136
928,307984,267520
944,292240,254432
960,290800,256416
976,286256,253712
992,282608,251440
1008,286352,254080
1024,596400,521824
1056,652048,575776
1088,723408,647872
1120,583920,529632
1152,463504,421920
1184,405392,367168
1216,399008,360336
1248,402576,362032
1280,403456,360880
1312,412720,367104
1344,420256,370368
1376,417856,365136
1408,412976,363296
1440,413232,364512
1472,414176,367088
1504,411648,365968
1536,421904,374752
1568,423648,375664
1600,398768,349008
1632,382816,335552
1664,386144,337360
1696,375312,325856
1728,349904,299632
1760,330960,283360
1792,315904,272304
1824,288960,249200
1856,258240,220832
1888,236256,202496
1920,216144,183952
1952,204528,173648
1984,181216,151504
2016,165040,138256
2048,304112,255920
2112,271056,226096
2176,243584,201920
2240,223456,184352
2304,202848,165840
2368,195600,160768
2432,188160,153664
2496,183248,151200
2560,178752,145200
2624,174576,141184
2688,170704,137840
2752,164640,132368
2816,156944,127984
2880,151824,124496
2944,147616,120608
3008,138880,113872
3072,137328,111088
3136,133808,108448
3200,130352,105856
3264,133472,109232
3328,132736,109184
3392,129152,104256
3456,123920,99968
3520,118608,95664
3584,113264,89616
3648,109776,86928
3712,102224,81616
3776,102128,79888
3840,99072,77728
3904,94912,74848
3968,89760,70224
4032,90672,70384
4096,172000,134400
4224,168800,131808
4352,168064,130864
4480,157856,121824
4608,154688,119872
4736,152304,116208
4864,152368,117088
4992,146704,112192
5120,144864,110816
5248,137008,106832
5376,134720,103264
5504,126352,97984
5632,121024,93344
5760,115248,88560
5888,112384,87168
6016,110272,86224
6144,110656,85200
6272,107760,83936
6400,104720,81712
6528,101072,77552
6656,100880,79728
6784,98400,77072
6912,94304,73296
7040,92192,72112
7168,89440,69552
7296,88096,69696
7424,80768,63056
7552,79504,60800
7680,78080,61072
7808,73648,57600
7936,72016,56160
8064,70736,54496
8192,135680,105904
8448,124304,95424
8704,114464,87040
8960,109440,83472
9216,100672,75888
9472,95136,71632
9728,91920,70224
9984,83952,61888
10240,83712,63040
10496,75536,55424
10752,72704,53024
11008,71888,52320
11264,70016,49920
11520,65200,47008
11776,66704,47776
12032,61200,43664
12288,58064,40912
12544,59792,43104
12800,56032,39712
13056,54416,38416
13312,53552,37936
13568,51056,35632
13824,51168,35456
14080,47728,33136
14336,48720,33760
14592,46736,32528
14848,42784,29472
15104,43920,30048
15360,43840,30032
15616,39744,27600
15872,40848,28224
16128,37552,25632
16384,72976,48832
16896,71504,48064
17408,68640,46624
17920,62384,42000
18432,57968,38384
18944,56032,36800
19456,53200,35040
19968,47936,31744
20480,48656,31792
20992,46720,30432
21504,44848,28480
22016,41200,26128
22528,42112,27024
23040,39072,25056
23552,37280,23696
24064,37584,23728
24576,35760,22720
25088,35088,21472
25600,34960,22784
26112,30704,19536
26624,29856,18752
27136,30624,19072
27648,28688,18288
28160,28832,18368
28672,26128,16368
29184,25024,15584
29696,25440,15664
30208,23984,14368
30720,24032,14544
31232,23424,14272
31744,22672,13600
32256,22368,13424
32768,41488,24736
33792,41312,24848
34816,39440,23744
35840,37216,22784
36864,33376,20080
37888,32272,19104
38912,31664,19104
39936,28704,17056
40960,27856,16720
41984,28336,16528
43008,25728,14976
44032,25552,14416
45056,24992,14608
46080,24528,14304
47104,21792,12256
48128,19728,11152
49152,19696,11696
50176,17984,10336
51200,17552,10128
52224,17328,9760
53248,16304,9504
54272,17040,9712
55296,15792,9072
56320,15440,8672
57344,14432,8208
58368,14336,7952
59392,13616,7728
60416,12752,6752
61440,13488,7392
62464,12640,6928
63488,11488,6256
64512,12016,6736
65536,22816,12544
67584,21456,11552
69632,19808,11456
71680,18224,9936
73728,17584,9680
75776,16496,8816
77824,16688,9184
79872,15344,7856
81920,14416,8352
83968,12880,7120
86016,13056,7600
88064,12848,7232
90112,12448,6864
92160,11680,6608
94208,11584,6464
96256,10320,5648
98304,11104,6512
100352,10576,5760
102400,9904,5392
104448,9520,5648
106496,8848,4480
108544,8160,4800
110592,8416,4720
112640,8592,4448
114688,7600,3984
116736,7728,4096
118784,7344,4352
120832,6800,3808
122880,7088,3904
124928,7088,3648
126976,6224,3696
129024,6064,3264
131072,11632,6144
135168,11504,6048
139264,11568,6064
143360,9488,4720
147456,10368,5536
151552,10288,5136
155648,10064,5408
159744,8624,4928
163840,8208,4736
167936,7888,4192
172032,7600,4304
176128,7536,4224
180224,7216,4352
184320,7504,4208
188416,6640,3808
192512,6672,3568
196608,6352,3488
200704,5888,3136
204800,6336,3232
208896,4880,2896
212992,5120,2864
217088,5872,3424
221184,4944,2752
225280,5440,3120
229376,4496,2576
233472,4560,2752
237568,4032,2576
241664,3696,1968
245760,3968,2416
249856,3760,2064
253952,3584,2176
258048,3584,2000
262144,7744,4864
270336,6912,3984
278528,6416,3712
286720,7408,4144
294912,5760,3344
303104,6144,3584
311296,6016,3184
319488,5504,3168
327680,4960,2720
335872,5152,3024
344064,5344,3024
352256,4976,2992
360448,4400,2544
368640,4480,2672
376832,4080,2480
385024,3744,2272
393216,3776,2288
401408,3312,1968
409600,2928,1760
417792,3024,1824
425984,3616,2080
434176,2912,1776
442368,3056,1824
450560,2784,1568
458752,2560,1424
466944,3088,1680
475136,2448,1600
483328,2784,1472
491520,2944,1536
499712,2816,1744
507904,2528,1584
516096,2448,1264
524288,4560,2592
540672,4240,2480
557056,4160,2352
573440,3856,2336
589824,3792,2368
606208,3792,2096
622592,3216,2032
638976,3376,2064
655360,2912,1792
671744,3376,1968
688128,2560,1584
704512,2736,1568
720896,2800,1712
737280,2816,1664
753664,2128,1344
770048,2864,1680
786432,2128,1312
802816,1968,1376
819200,2192,1424
835584,2544,1424
851968,2384,1424
868352,1504,896
884736,2064,1200
901120,1744,992
917504,1504,944
933888,2032,1184
950272,1568,1040
966656,1776,1056
983040,1632,992
999424,1472,1008
1015808,1808,1184
1032192,1136,688
1048576,2608,1520
1081344,2720,1776
1114112,2496,1808
1146880,2368,1440
1179648,1824,1104
1212416,1872,1296
1245184,1904,1184
1277952,1776,1184
1310720,1808,1408
1343488,1936,1344
1376256,1760,1056
1409024,1424,912
1441792,1584,1024
1474560,1280,896
1507328,1424,928
1540096,1552,1120
1572864,1424,976
1605632,1200,752
1638400,1056,752
1671168,1216,736
1703936,1168,720
1736704,1312,800
1769472,1152,720
1802240,1152,800
1835008,1280,832
1867776,1120,800
1900544,1168,768
1933312,896,560
1966080,736,400
1998848,800,624
2031616,784,576
2064384,880,656
2097152,2144,1376
2162688,1680,1264
2228224,1536,1008
2293760,1632,1104
2359296,1456,880
2424832,1264,752
2490368,1104,688
2555904,1232,848
2621440,1008,800
2686976,1360,848
2752512,1008,736
2818048,832,624
2883584,1040,736
2949120,1008,704
3014656,864,496
3080192,944,656
3145728,768,512
3211264,688,384
3276800,816,528
3342336,736,496
3407872,832,608
3473408,752,464
3538944,672,464
3604480,704,448
3670016,512,400
3735552,720,624
3801088,448,352
3866624,704,576
3932160,592,464
3997696,512,416
4063232,592,464
4128768,496,400
4194304,1088,736
4325376,976,640
4456448,944,720
4587520,928,768
4718592,1024,768
4849664,912,640
4980736,768,464
5111808,592,464
5242880,560,384
5373952,896,608
5505024,848,576
5636096,656,480
5767168,768,480
5898240,592,480
6029312,480,288
6160384,560,416
6291456,800,672
6422528,640,448
6553600,512,400
6684672,512,416
6815744,512,368
6946816,704,560
7077888,352,272
7208960,560,368
7340032,416,336
7471104,528,352
7602176,288,208
7733248,432,352
7864320,528,480
7995392,512,368
8126464,384,224
8257536,544,432
8388608,720,592
8650752,784,640
8912896,720,544
9175040,736,608
9437184,544,336
9699328,784,560
9961472,720,624
10223616,768,592
10485760,656,528
10747904,752,560
11010048,624,464
11272192,528,400
11534336,608,464
11796480,464,432
12058624,528,432
12320768,432,352
12582912,464,352
12845056,448,400
13107200,608,480
13369344,464,416
13631488,512,448
13893632,480,384
14155776,560,480
14417920,464,432
14680064,320,304
14942208,416,368
15204352,432,320
15466496,416,400
15728640,480,432
15990784,240,160
16252928,480,336
16515072,288,272
16777216,864,848
17301504,768,656
17825792,720,640
18350080,912,848
18874368,720,672
19398656,752,672
19922944,560,496
20447232,656,512
20971520,624,592
21495808,560,432
22020096,464,368
22544384,544,528
23068672,608,496
23592960,480,432
24117248,592,560
24641536,480,432
25165824,384,368
25690112,432,368
26214400,480,448
26738688,432,352
27262976,464,416
27787264,560,512
28311552,608,544
28835840,384,384
29360128,432,416
29884416,464,448
30408704,352,320
30932992,608,512
31457280,688,624
31981568,528,448
32505856,560,512
33030144,400,400
33554432,960,848
34603008,816,720
35651584,1136,1040
36700160,880,784
37748736,800,736
38797312,784,656
39845888,1040,944
40894464,1008,880
41943040,720,656
42991616,640,640
44040192,1104,992
45088768,784,704
46137344,720,592
47185920,976,912
48234496,544,496
49283072,752,688
50331648,880,816
51380224,816,752
52428800,832,768
53477376,848,768
54525952,912,848
55574528,848,768
56623104,1056,944
57671680,768,656
58720256,720,640
59768832,640,544
60817408,800,720
61865984,896,800
62914560,896,848
63963136,544,448
65011712,864,800
66060288,624,560
67108864,1248,1200
69206016,1360,1168
71303168,1536,1344
73400320,1392,1328
75497472,1056,960
77594624,1056,960
79691776,1216,1040
81788928,1120,960
83886080,1072,960
85983232,1152,1088
88080384,1088,1008
90177536,1280,1152
92274688,1056,944
94371840,1040,896
96468992,1152,1072
98566144,1040,976
100663296,1200,1152
102760448,1120,976
104857600,976,896
106954752,1088,1008
109051904,1152,1072
111149056,816,800
113246208,960,896
115343360,1040,976
117440512,736,704
119537664,848,800
121634816,752,608
123731968,1056,992
125829120,960,880
127926272,928,848
130023424,1072,1008
132120576,912,832
134217728,1680,1488
138412032,1680,1472
142606336,1536,1376
146800640,1680,1600
150994944,1552,1472
155189248,1472,1424
159383552,1536,1456
163577856,1648,1520
167772160,1136,1008
171966464,1568,1408
176160768,1632,1552
180355072,1504,1456
184549376,1632,1456
188743680,1552,1456
192937984,1456,1360
197132288,1088,992
201326592,1584,1504
205520896,1248,1184
209715200,1376,1264
213909504,1328,1216
218103808,1072,992
222298112,992,928
226492416,1040,896
230686720,1456,1360
234881024,816,736
239075328,992,880
243269632,1040,960
247463936,1280,1184
251658240,864,784
255852544,784,720
260046848,1072,1024
264241152,880,800
268435456,1680,1536
276824064,1536,1344
285212672,1568,1376
293601280,1424,1328
301989888,1184,1056
310378496,1424,1280
318767104,1168,1088
327155712,1088,1024
335544320,1232,1136
343932928,1312,1120
352321536,1056,1024
360710144,896,800
369098752,992,944
377487360,864,768
385875968,496,432
394264576,832,784
402653184,736,704
411041792,480,448
419430400,672,672
427819008,480,448
436207616,544,448
444596224,176,160
452984832,384,384
461373440,128,128
469762048,96,96
478150656,112,112
486539264,176,176
494927872,96,64
503316480,0,0
