reuse distance,histogram value,read histogram value
0,41165872,8532608
1,19898672,13442816
2,18106464,13422016
3,24325232,18496928
4,25588016,17097424
5,29225280,19901184
6,29073248,21049056
7,28680752,21993776
8,27335936,20901552
9,21167120,18757824
10,23500880,21445488
11,21965232,20063360
12,21843376,20682672
13,32417456,30929952
14,27808720,27149920
15,20234560,19684096
16,12032080,11660768
17,9708224,9215312
18,8544800,8131424
19,8874864,8396384
20,7699232,7223616
21,7123904,6631280
22,5822384,5358832
23,7235296,6435648
24,5809296,5160000
25,4966352,4455344
26,4901360,4460128
27,4905072,4463120
28,4684640,4198928
29,4528544,4148624
30,4229104,3819808
31,4047632,3603808
32,4058160,3578848
33,3938688,3381792
34,3804256,3234048
35,3733152,3178288
36,3327056,2817584
37,3548752,3027680
38,2914000,2488144
39,2963216,2455472
40,2991744,2484016
41,2707664,2243920
42,2827104,2276720
43,2599488,2092496
44,2347824,1907600
45,2435104,1930176
46,2431392,1968096
47,2414896,2013840
48,2524352,2052896
49,2512304,2075872
50,2334656,1877696
51,2373888,1948128
52,2536208,2128256
53,2708784,2321584
54,2746352,2436752
55,2674000,2375152
56,2636144,2371008
57,2578912,2352928
58,2487632,2251568
59,2659680,2463136
60,2376208,2187424
61,2446640,2291600
62,2336896,2190096
63,2372176,2228496
64,4433536,4155360
66,4473312,4222944
68,4262848,3970208
70,4479376,4216928
72,4835200,4500704
74,5353360,4939792
76,5434496,4988560
78,5288208,4945536
80,5661568,5348736
82,5827616,5528064
84,5692368,5345152
86,5250720,4889440
88,5380432,5038304
90,5505088,5211456
92,5469312,5132624
94,5551936,5209696
96,5976304,5527120
98,6625760,6081520
100,7174320,6486688
102,7459552,6586736
104,7714832,6802720
106,7641296,6685216
108,7040240,6166352
110,7119536,6207488
112,6197168,5391952
114,5115792,4498480
116,4031968,3567440
118,3396832,3004496
120,2776272,2466128
122,2252048,2012688
124,1765472,1562592
126,1471120,1298480
128,2393904,2075392
132,1857088,1696336
136,1277568,1193984
140,1160256,1098768
144,1009968,977504
148,863584,823616
152,902560,858400
156,1019248,967248
160,1152800,1114624
164,856736,818448
168,580016,535952
172,441344,410096
176,421200,363296
180,432000,371600
184,434608,407120
188,622800,612736
192,656688,653968
196,588656,587216
200,465152,464832
204,409616,409600
208,681376,681376
212,863120,862960
216,840240,840176
220,531392,531312
224,295312,295152
228,156064,156048
232,93792,93792
236,74656,74592
240,71248,71232
244,55728,55696
248,42880,42848
252,30848,30848
256,28880,28880
264,19264,19264
272,18048,18048
280,11792,11792
288,9840,9840
296,2944,2944
304,1584,1584
312,1152,1152
320,336,336
328,128,128
336,160,160
344,384,384
