reuse distance,histogram value,read histogram value
0,76192704,29476016
1,49967216,32215424
2,69995712,59499056
3,37661712,32172224
4,34135568,30436416
5,20454432,16980928
6,16913760,14206640
7,14061584,12034944
8,15359152,13562224
9,9965152,8456912
10,9081120,7787040
11,7877488,6765872
12,5226176,4330992
13,4502784,3668096
14,3742624,2981376
15,3451792,2504656
16,3449408,2504256
17,3313136,2506336
18,3039264,2313200
19,2691056,2028976
20,2765360,2099376
21,2800288,1971504
22,2708000,1872400
23,2525888,1807344
24,2297920,1597648
25,2038256,1370272
26,1942112,1289440
27,1818752,1203232
28,2146608,1636352
29,1366080,987600
30,1238736,962400
31,1256992,952064
32,1266000,1043488
33,1118800,964256
34,1028864,901936
35,1181200,1039488
36,1251952,1083072
37,1278224,1092224
38,1277728,1072240
39,1168032,948592
40,1204672,954320
41,1304272,970240
42,1391824,1014320
43,1471424,1048544
44,1744560,1273232
45,1861664,1338704
46,1669424,1268448
47,1679760,1373312
48,1470784,1224144
49,1411664,1148128
50,1452144,1198400
51,1362704,1111008
52,1293968,1046672
53,2138816,1456272
54,1361072,989872
55,725296,637360
56,749504,680416
57,639712,579408
58,556272,504752
59,550672,496160
60,516480,460400
61,430032,391968
62,425040,378944
63,463504,397904
64,944768,784800
66,997216,802144
68,882752,653168
70,580176,457296
72,477152,407264
74,551952,465728
76,603312,444320
78,589072,493392
80,658688,539376
82,690112,580560
84,589648,512384
86,538448,477024
88,560112,480944
90,524800,423024
92,571104,438688
94,496208,418688
96,514768,462352
98,487008,465056
100,554816,499616
102,519712,451264
104,490448,409760
106,495648,443984
108,436128,370048
110,441536,367872
112,517152,423040
114,550464,429008
116,526480,379184
118,547264,402464
120,575168,474816
122,609008,467264
124,668240,533200
126,730816,555712
128,1375248,1198800
132,1303648,1208304
136,825200,753136
140,635440,534672
144,588000,512256
148,562384,446800
152,477088,375472
156,448112,367728
160,425072,389632
164,352224,323984
168,315024,291408
172,219664,206720
176,269184,259760
180,236288,227408
184,220064,211600
188,192368,180640
192,200464,172528
196,225184,205136
200,241808,205104
204,229936,206032
208,226560,197520
212,203616,187664
216,185344,178880
220,175760,165584
224,183632,175488
228,222208,203536
232,145984,133440
236,123872,109040
240,117088,107872
244,99536,93840
248,134768,116160
252,137552,119280
256,273520,245008
264,458064,435424
272,374928,361200
280,271280,252304
288,224448,212784
296,216208,196592
304,226160,204352
312,205168,191424
320,256624,236560
328,314592,273504
336,365856,296128
344,340560,289840
352,345936,282176
360,339104,280288
368,371904,292064
376,419584,313056
384,470368,359616
392,545248,419136
400,679968,509152
408,744528,554496
416,772176,560160
424,791488,546352
432,782864,510784
440,782352,466944
448,859536,440848
456,952000,461312
464,1010080,468320
472,974496,423648
480,859312,355984
488,655632,257952
496,433104,181952
504,243328,137680
512,266944,221904
528,305968,275040
544,292704,253488
560,233872,191008
576,221568,184272
592,247424,203056
608,235744,190304
624,246208,210896
640,294256,248736
656,327920,267936
672,327600,285184
688,333168,298496
704,344480,313648
720,407136,359040
736,542752,469056
752,538672,472736
768,603904,503216
784,706912,550288
800,806944,594640
816,873712,593376
832,880032,568896
848,930720,606176
864,872080,584464
880,847600,604176
896,921264,685392
912,862640,735312
928,828736,736016
944,664640,642848
960,550144,529776
976,378384,361968
992,195056,184448
1008,76112,67328
1024,108976,90432
1056,133952,117408
1088,136704,122032
1120,108816,97744
1152,143584,129232
1184,169776,149216
1216,166432,151424
1248,154176,142560
1280,127024,111952
1312,124592,104848
1344,122352,101808
1376,112368,96720
1408,138608,120512
1440,88240,75712
1472,87584,76688
1504,109488,98000
1536,166304,155552
1568,224704,214080
1600,293376,282976
1632,369888,355168
1664,358656,348368
1696,318528,308688
1728,241776,232560
1760,150976,140784
1792,104992,95184
1824,75680,67040
1856,62992,55232
1888,59712,51872
1920,58352,49648
1952,44976,35664
1984,51280,41104
2016,50224,40384
2048,94560,76848
2112,92672,76224
2176,76304,59888
2240,70272,53536
2304,91584,77424
2368,86384,75856
2432,70560,61520
2496,55504,46720
2560,49376,42624
2624,36944,31424
2688,37200,31136
2752,30240,23664
2816,33152,26240
2880,27936,22864
2944,30992,25696
3008,44448,37280
3072,41472,36672
3136,38768,33600
3200,38720,33088
3264,38272,33040
3328,40128,35312
3392,47072,42320
3456,44416,39952
3520,48016,42656
3584,47872,42784
3648,45424,40672
3712,40688,37264
3776,50256,46736
3840,43616,40352
3904,42720,39504
3968,39136,35024
4032,39712,36656
4096,73616,66528
4224,76768,69536
4352,81968,74928
4480,88336,80992
4608,97392,90528
4736,100544,93648
4864,91888,85280
4992,82352,76448
5120,86032,79904
5248,77168,72336
5376,86768,79968
5504,89872,84240
5632,97280,92512
5760,80640,76496
5888,70896,66960
6016,63248,59872
6144,63904,60368
6272,59616,55888
6400,54304,50240
6528,52512,49168
6656,53504,50512
6784,49744,46912
6912,55392,51808
7040,68896,65920
7168,65424,62144
7296,51552,48576
7424,48432,45888
7552,52528,49552
7680,51104,48016
7808,46352,43744
7936,40048,36944
8064,35152,33184
8192,77600,73872
8448,61856,58480
8704,57632,54128
8960,60288,55904
9216,55664,51168
9472,56352,53664
9728,43008,39936
9984,35456,33120
10240,37952,35472
10496,34432,31936
10752,32912,31168
11008,34336,32400
11264,38128,35952
11520,32512,29696
11776,31776,29488
12032,28480,26272
12288,26624,24096
12544,25968,23920
12800,26864,25216
13056,24112,22336
13312,24624,22896
13568,23952,22112
13824,29696,27520
14080,38032,35424
14336,27136,24928
14592,25728,23664
14848,21648,19824
15104,21136,18944
15360,21536,19552
15616,22768,21104
15872,24176,22672
16128,26608,24784
16384,71536,68528
16896,38112,35312
17408,35056,32128
17920,35200,32112
18432,61360,58352
18944,38352,35376
19456,34896,31776
19968,29184,26848
20480,26208,24496
20992,51344,49616
21504,19712,18272
22016,20768,19504
22528,19072,17952
23040,25712,24688
23552,23392,22528
24064,14016,13072
24576,12896,11568
25088,10672,9696
25600,11824,10576
26112,9280,8448
26624,8656,7984
27136,7904,7520
27648,8384,7872
28160,14240,13904
28672,7792,7376
29184,7968,7552
29696,8304,7760
30208,14896,14288
30720,14928,14368
31232,9664,8464
31744,9568,8128
32256,11664,9552
32768,37296,31936
33792,21648,18144
34816,31904,29552
35840,13664,12128
36864,20288,18800
37888,16208,13856
38912,15120,12768
39936,13280,10704
40960,16160,12832
41984,15824,13184
43008,10384,9280
44032,8192,7312
45056,8032,7648
46080,7632,7120
47104,6496,6064
48128,5200,4640
49152,5184,4784
50176,5104,4624
51200,4640,4336
52224,4720,4352
53248,3744,3376
54272,4688,4272
55296,4800,4448
56320,4656,4496
57344,3616,3408
58368,3152,2976
59392,3152,2896
60416,3968,3776
61440,4000,3824
62464,3984,3680
63488,3232,3040
64512,2832,2640
65536,5040,4592
67584,7280,6912
69632,6960,6496
71680,5696,5104
73728,7312,6880
75776,7888,7520
77824,6128,5728
79872,6192,5792
81920,8720,8208
83968,7712,7296
86016,6864,6432
88064,8000,7424
90112,10416,9744
92160,10640,9872
94208,12272,11536
96256,13472,12480
98304,14288,13280
100352,13792,12896
102400,13632,12672
104448,15088,13888
106496,14496,13728
108544,14400,13520
110592,15360,14272
112640,14720,13520
114688,15072,13952
116736,16464,15488
118784,15584,14384
120832,15664,14512
122880,14608,13824
124928,14624,13664
126976,14640,13920
129024,15488,14464
131072,28480,26928
135168,30192,28688
139264,30544,28688
143360,32224,29920
147456,30224,28368
151552,27792,26096
155648,26560,24944
159744,25040,23104
163840,23648,21856
167936,20080,18768
172032,18848,17920
176128,16736,15936
180224,16544,15648
184320,15680,14896
188416,14896,14336
192512,13712,13024
196608,11872,11200
200704,11824,11104
204800,11152,10672
208896,9616,9232
212992,10048,9584
217088,9936,9472
221184,9536,9120
225280,10480,9568
229376,10896,9856
233472,9920,9184
237568,9360,8464
241664,9520,8752
245760,8752,7824
249856,8080,7216
253952,7696,6848
258048,8464,7936
262144,17520,15408
270336,18944,16416
278528,19216,16512
286720,17744,15344
294912,16576,14608
303104,16688,14016
311296,17648,13872
319488,16896,13776
327680,14640,12848
335872,13328,12368
344064,13904,12880
352256,14080,13104
360448,13072,11920
368640,13248,12624
376832,12224,11936
385024,10624,10448
393216,11696,11440
401408,10544,10288
409600,10032,9920
417792,10928,10656
425984,10640,10304
434176,9120,8944
442368,9904,9664
450560,10432,10064
458752,10544,9984
466944,10960,10416
475136,10352,9888
483328,12128,11216
491520,10112,9408
499712,9712,8864
507904,15456,14224
516096,10480,9312
524288,20544,18912
540672,25152,23936
557056,25152,23696
573440,10304,9728
589824,7040,6704
606208,7712,7600
622592,7680,7472
638976,8032,7776
655360,6880,6560
671744,8112,7776
688128,10016,9152
704512,8000,7520
720896,9456,9056
737280,13632,12944
753664,5472,5264
770048,5472,5280
786432,4352,4144
802816,5136,4992
819200,5104,4960
835584,5760,5536
851968,5872,5664
868352,5232,5104
884736,4768,4752
901120,5136,4800
917504,4608,3744
933888,3136,2704
950272,2176,2112
966656,2416,2192
983040,4896,4464
999424,7424,6848
1015808,19040,18144
1032192,9248,8464
1048576,6080,5760
1081344,6464,6096
1114112,5184,4912
1146880,5152,4768
1179648,6016,5808
1212416,6272,5920
1245184,7904,7440
1277952,6016,5728
1310720,6016,5424
1343488,5552,5168
1376256,7104,6544
1409024,7120,6768
1441792,7584,6960
1474560,6784,6400
1507328,7312,6960
1540096,6544,5568
1572864,7552,6960
1605632,7280,6416
1638400,6800,5936
1671168,7952,7120
1703936,8480,7664
1736704,7136,5872
1769472,8240,7360
1802240,6624,5584
1835008,7840,6592
1867776,7344,6304
1900544,7984,6864
1933312,6272,5360
1966080,6736,5776
1998848,6256,5440
2031616,7408,6208
2064384,7936,6224
2097152,16016,11984
2162688,19968,15952
2228224,19312,15040
2293760,18768,12976
2359296,18496,14000
2424832,21136,15376
2490368,17792,12208
2555904,18640,13488
2621440,19520,14096
2686976,17488,12144
2752512,23312,16848
2818048,21376,12960
2883584,22976,14960
2949120,22752,13968
3014656,23392,14976
3080192,22992,13920
3145728,25200,16944
3211264,21744,14272
3276800,28480,18480
3342336,22368,12944
3407872,25968,13744
3473408,27648,16576
3538944,26656,15808
3604480,24432,14400
3670016,22800,12608
3735552,23056,13728
3801088,27456,16288
3866624,24800,14064
3932160,27072,14032
3997696,30000,16240
4063232,29808,15552
4128768,27120,14080
4194304,55408,31392
4325376,56544,32080
4456448,60400,32320
4587520,57968,28784
4718592,54752,29136
4849664,55328,29488
4980736,56208,28304
5111808,59968,30544
5242880,54016,27216
5373952,54032,27824
5505024,55840,27472
5636096,53968,25808
5767168,50320,23296
5898240,51456,26176
6029312,49088,22720
6160384,54448,25264
6291456,49040,20720
6422528,48896,21680
6553600,42816,18544
6684672,45088,17072
6815744,45440,18016
6946816,41776,18256
7077888,34912,12304
7208960,42336,16480
7340032,35760,12816
