reuse distance,histogram value,read histogram value
0,106959712,14686080
1,37691584,14054192
2,33872128,19813664
3,31106864,17651600
4,27779424,18982416
5,16820304,12441488
6,18307584,14111040
7,12128448,8923808
8,9674352,7280688
9,9996736,7966368
10,7179888,5186976
11,7923072,6007952
12,8312848,6230688
13,10042928,7199584
14,8410560,6760096
15,8506480,6583904
16,7040576,5469296
17,6811008,5574752
18,5474272,4278816
19,5444848,4122144
20,4765264,3665600
21,4796992,3751760
22,4190448,3063568
23,3247088,2385744
24,3905424,3140784
25,3393792,2346432
26,3887536,2780656
27,3988256,2814016
28,4181488,2781520
29,3414016,2576256
30,3498368,2618416
31,3404672,1944464
32,3035008,1978768
33,2597200,1567408
34,3050432,1722176
35,2615136,1851104
36,3333760,2002720
37,3460416,2099744
38,3046112,1778176
39,2238336,1603200
40,3095136,2432464
41,2866384,2215904
42,2673792,2007728
43,2564336,2094624
44,2326624,1775856
45,1801376,1350848
46,1607200,1196224
47,1764432,1137616
48,1755568,1271328
49,1530432,1108032
50,1447760,1077280
51,1650928,1248448
52,1656432,1177200
53,1382512,1088304
54,1080384,765776
55,1289424,1013104
56,1155440,819184
57,1258736,957728
58,1359120,1055280
59,1129664,832880
60,1542560,1182720
61,1229072,883792
62,1349360,961568
63,1378128,1068576
64,2545904,1782528
66,2834256,2085952
68,3046064,2370176
70,3774448,3065472
72,2818496,2085760
74,3120640,2236032
76,3196816,2091712
78,4356912,3268656
80,2691392,1727120
82,2179360,1516832
84,1740832,1138832
86,1321856,859936
88,1599088,1050288
90,1573152,1110448
92,1489536,1048480
94,1191968,920640
96,1153904,915664
98,1320176,1044880
100,1174672,715408
102,918512,717248
104,587072,441232
106,562608,419216
108,510432,380608
110,519104,353024
112,522048,369760
114,491408,354000
116,444336,307696
118,447936,335232
120,430864,332576
122,432800,343968
124,372176,294128
126,373312,299552
128,728352,553184
132,708336,538256
136,731824,546672
140,764880,604096
144,687424,496464
148,659648,506544
152,1002864,750800
156,780592,594496
160,1107104,962720
164,838432,730720
168,1145280,997472
172,768096,581232
176,635360,534224
180,629936,477504
184,589920,456352
188,642016,558848
192,574400,466384
196,638608,522528
200,614592,443232
204,585584,462144
208,634640,521488
212,647184,536784
216,539408,460096
220,851760,746144
224,555056,465728
228,513984,431904
232,479936,402720
236,368528,302944
240,467184,385776
244,519104,433184
248,387184,301760
252,334128,250592
256,647008,495168
264,542448,422720
272,519840,383520
280,415904,296304
288,374528,272752
296,305296,191904
304,309152,202800
312,328976,216768
320,345520,265056
328,300976,220384
336,394336,316224
344,284432,207552
352,304720,214064
360,274832,183008
368,288704,182448
376,250128,175680
384,250688,181120
392,254000,179616
400,247216,170848
408,281312,209200
416,231904,175024
424,240672,183584
432,291536,203760
440,198960,150080
448,189456,143872
456,237424,190592
464,207008,172352
472,190448,151664
480,204032,172336
488,183120,154896
496,158992,131936
504,172688,142160
512,351344,285184
528,312560,258480
544,319344,256752
560,272944,175040
576,217008,153088
592,234080,173600
608,231760,165376
624,244032,186400
640,218944,174976
656,165088,123472
672,170384,129024
688,196064,155136
704,186560,145728
720,159888,126240
736,185312,136480
752,212480,174304
768,195504,154560
784,257104,207616
800,189552,155376
816,168496,134656
832,148064,114704
848,175872,131904
864,190976,162144
880,167632,143216
896,166768,129296
912,160352,119968
928,217168,149088
944,192112,146928
960,172816,121360
976,136448,87840
992,141856,97104
1008,157440,114624
1024,291568,194704
1056,261168,166816
1088,260464,175808
1120,262096,174240
1152,249584,160288
1184,231760,145152
1216,230224,137136
1248,280848,167488
1280,249744,133504
1312,258496,150976
1344,309568,158224
1376,336304,203504
1408,315008,203840
1440,325264,233456
1472,298128,192032
1504,310112,170160
1536,551888,361472
1568,533344,344608
1600,556672,401264
1632,416672,282416
1664,309392,185664
1696,327136,214416
1728,689344,532544
1760,804880,647280
1792,703312,584208
1824,473488,401024
1856,264096,213168
1888,270800,221568
1920,227424,180304
1952,226240,176736
1984,218256,172368
2016,133776,95552
2048,173600,107760
2112,171440,111472
2176,140704,86336
2240,153936,98784
2304,177072,116640
2368,172160,99328
2432,251920,147248
2496,277312,179136
2560,232192,138416
2624,310160,222912
2688,264528,200000
2752,274608,217856
2816,378720,326288
2880,277872,239632
2944,169008,139648
3008,205808,174576
3072,117040,90016
3136,81680,54992
