reuse distance,histogram value,read histogram value
0,46219360,4945152
1,29833744,11830368
2,8463248,3982992
3,5862560,5606704
4,9558528,6817968
5,4261024,1356688
6,5945200,5714176
7,1333008,486608
8,1238304,1014944
9,3099440,2805616
10,3996576,3934624
11,7251488,7173632
12,5285408,5198720
13,4269744,2097840
14,1375200,40032
15,1272176,43616
16,894608,151552
17,189776,154640
18,163776,116064
19,1555520,1500416
20,2091840,2033632
21,387104,311360
22,958800,841024
23,1407920,1231568
24,2174128,2027648
25,1725088,1535392
26,4655920,3468784
27,2613024,2114016
28,1620096,1221072
29,1395824,929072
30,1607216,850576
31,499696,200048
32,457120,233888
33,778480,465776
34,965792,683104
35,1487024,837984
36,2050560,84896
37,1921920,23568
38,435120,28064
39,616544,11184
40,657696,11072
41,1099984,410752
42,397904,268336
43,204624,14832
44,840000,18336
45,458128,21104
46,1367600,82688
47,1250528,314288
48,1523120,457424
49,1788384,326944
50,1037904,270752
51,2571376,1974048
52,1939520,712272
53,2512048,406144
54,1312560,531968
55,778896,401584
56,1819472,1001184
57,2654528,1668672
58,1551200,667744
59,1278704,1100864
60,1186304,1027616
61,573536,421168
62,60096,21808
63,46576,10000
64,368080,14320
66,359264,14128
68,33968,5584
70,28784,10032
72,67728,29632
74,57664,19552
76,60608,8928
78,185600,20448
80,53280,2928
82,41568,7840
84,62016,22592
86,54416,8896
88,286208,16320
90,877728,20992
92,3502624,12752
94,625568,1024
96,135744,944
98,75936,1040
100,186320,848
102,529184,896
104,2205424,736
106,2386864,640
108,562160,720
110,87808,720
112,59664,752
114,600720,800
116,1651264,752
118,1242432,688
120,915952,528
122,245728,320
124,11536,176
126,8832,240
128,624,464
132,656,640
136,336,288
140,256,240
144,96,80
148,64,48
152,32,32
156,32,32
160,16,16
164,16,16
168,32,16
172,16,0
176,32,16
180,96,16
184,80,32
188,96,32
192,144,48
196,128,64
200,144,80
204,144,112
208,208,176
212,304,272
216,64,32
220,96,48
224,96,48
228,112,32
232,80,64
236,16,16
240,160,112
244,192,176
248,112,80
252,32,32
256,192,112
264,144,112
272,272,224
280,192,192
288,128,96
296,160,80
304,320,112
312,256,96
320,96,96
328,176,160
336,112,16
344,288,112
352,272,128
360,224,112
368,112,80
376,192,144
384,224,96
392,416,240
400,208,160
408,144,96
416,160,128
424,176,96
432,272,176
440,416,144
448,256,176
456,320,272
464,240,112
472,432,240
480,400,240
488,368,192
496,256,240
504,272,176
512,976,352
528,640,304
544,720,480
560,768,288
576,816,592
592,960,432
608,800,496
624,736,448
640,1008,496
656,944,592
672,880,560
688,1040,688
704,720,368
720,1040,480
736,992,448
752,784,384
768,1184,736
784,1168,688
800,1024,544
816,1520,704
832,1024,624
848,1136,464
864,1088,592
880,640,336
896,896,176
912,752,192
928,432,80
944,352,96
960,272,48
976,176,0
992,112,0
1008,64,0
1024,160,0
1056,0,0
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,0,0
1440,0,0
1472,0,0
1504,0,0
1536,0,0
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,16,0
1856,0,0
1888,16,0
1920,112,0
1952,320,0
1984,1968,0
2016,10768,0
2048,500960,0
2112,136288,0
2176,140544,0
2240,14144,0
2304,11632,0
2368,12128,0
2432,11216,0
2496,11648,0
2560,12640,0
2624,11504,0
2688,11264,0
2752,11760,0
2816,11664,0
2880,12000,0
2944,10960,0
3008,12224,0
3072,11392,0
3136,11424,0
3200,12592,0
3264,12080,0
3328,12016,0
3392,13200,0
3456,11984,0
3520,12192,0
3584,12448,0
3648,11584,0
3712,11984,0
3776,12480,0
3840,45200,0
3904,137216,0
3968,204736,0
4032,211840,0
4096,443488,0
4224,412528,976
4352,438512,784
4480,374912,0
4608,517824,320
4736,419104,0
4864,224384,0
4992,195296,0
5120,139760,0
5248,15363616,0
5376,5448000,0
5504,38336,0
5632,49984,0
5760,2113088,0
5888,4381344,256
6016,499312,0
6144,4304,0
6272,5024,0
6400,4576,0
6528,4096,0
6656,4032,0
6784,4080,0
6912,4304,0
7040,4464,0
7168,4368,0
7296,4144,0
7424,6560,0
7552,4480,0
7680,4368,0
7808,23584,0
7936,39200,0
8064,40688,0
8192,70720,0
8448,77600,0
8704,81888,0
8960,73632,0
9216,69792,0
9472,107776,0
9728,44960,0
9984,38816,0
10240,34016,0
10496,1824912,0
10752,1924992,0
11008,6432,0
11264,6816,0
11520,134848,0
11776,1128336,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,0,0
18432,0,0
18944,0,0
19456,0,0
19968,0,0
20480,0,0
20992,0,0
21504,0,0
22016,0,0
22528,0,0
23040,0,0
23552,0,0
24064,0,0
24576,0,0
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,0,0
27648,0,0
28160,0,0
28672,0,0
29184,0,0
29696,0,0
30208,0,0
30720,0,0
31232,0,0
31744,0,0
32256,0,0
32768,0,0
33792,0,0
34816,0,0
35840,0,0
36864,0,0
37888,0,0
38912,0,0
39936,0,0
40960,0,0
41984,0,0
43008,0,0
44032,0,0
45056,0,0
46080,0,0
47104,0,0
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,0,0
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,0,0
147456,0,0
151552,0,0
155648,0,0
159744,0,0
163840,0,0
167936,0,0
172032,0,0
176128,0,0
180224,0,0
184320,0,0
188416,0,0
192512,0,0
196608,0,0
200704,0,0
204800,2976,0
208896,5648,0
212992,7024,0
217088,5792,0
221184,5552,0
225280,5296,0
229376,5680,0
233472,5168,0
237568,5488,0
241664,5360,0
245760,5696,0
249856,5472,0
253952,5968,0
258048,6096,0
262144,10976,0
270336,11424,0
278528,11776,0
286720,11408,0
294912,10736,0
303104,12016,0
311296,10832,0
319488,10848,0
327680,11616,0
335872,11872,0
344064,11216,0
352256,11584,0
360448,11200,0
368640,11456,0
376832,11376,0
385024,11472,0
393216,11616,0
401408,11584,0
409600,11568,0
417792,11520,0
425984,11456,0
434176,11120,0
442368,12128,0
450560,11392,0
458752,15520,0
466944,108800,0
475136,1329712,0
483328,1725856,0
491520,1058400,0
499712,858784,0
507904,666016,0
516096,3086464,0
524288,13962784,0
540672,619552,0
557056,562240,0
573440,4297088,0
589824,737168,0
606208,0,0
622592,0,0
638976,0,0
655360,0,0
671744,0,0
688128,0,0
704512,0,0
720896,0,0
737280,0,0
753664,0,0
770048,0,0
786432,0,0
802816,0,0
819200,0,0
835584,0,0
851968,0,0
868352,0,0
884736,0,0
901120,0,0
917504,0,0
933888,0,0
950272,0,0
966656,0,0
983040,0,0
999424,0,0
1015808,0,0
1032192,0,0
1048576,0,0
1081344,0,0
1114112,0,0
1146880,0,0
1179648,0,0
1212416,0,0
1245184,0,0
1277952,0,0
1310720,0,0
1343488,0,0
1376256,0,0
1409024,0,0
1441792,0,0
1474560,0,0
1507328,0,0
1540096,0,0
1572864,0,0
1605632,0,0
1638400,0,0
1671168,0,0
1703936,0,0
1736704,0,0
1769472,0,0
1802240,0,0
1835008,0,0
1867776,0,0
1900544,0,0
1933312,0,0
1966080,0,0
1998848,0,0
2031616,0,0
2064384,0,0
2097152,0,0
2162688,0,0
2228224,0,0
2293760,0,0
2359296,0,0
2424832,0,0
2490368,0,0
2555904,0,0
2621440,0,0
2686976,0,0
2752512,0,0
2818048,0,0
2883584,0,0
2949120,0,0
3014656,0,0
3080192,0,0
3145728,0,0
3211264,0,0
3276800,0,0
3342336,0,0
3407872,0,0
3473408,0,0
3538944,0,0
3604480,0,0
3670016,0,0
3735552,0,0
3801088,0,0
3866624,0,0
3932160,0,0
3997696,0,0
4063232,0,0
4128768,0,0
4194304,0,0
4325376,0,0
4456448,0,0
4587520,0,0
4718592,0,0
4849664,0,0
4980736,0,0
5111808,0,0
5242880,0,0
5373952,0,0
5505024,0,0
5636096,0,0
5767168,0,0
5898240,0,0
6029312,0,0
6160384,0,0
6291456,0,0
6422528,0,0
6553600,0,0
6684672,0,0
6815744,0,0
6946816,0,0
7077888,0,0
7208960,0,0
7340032,0,0
7471104,0,0
7602176,0,0
7733248,0,0
7864320,0,0
7995392,0,0
8126464,0,0
8257536,0,0
8388608,0,0
8650752,0,0
8912896,0,0
9175040,0,0
9437184,0,0
9699328,0,0
9961472,0,0
10223616,0,0
10485760,0,0
10747904,0,0
11010048,0,0
11272192,0,0
11534336,0,0
11796480,0,0
12058624,0,0
12320768,0,0
12582912,0,0
12845056,0,0
13107200,0,0
13369344,0,0
13631488,0,0
13893632,0,0
14155776,0,0
14417920,0,0
14680064,0,0
14942208,0,0
15204352,0,0
15466496,0,0
15728640,0,0
15990784,0,0
16252928,0,0
16515072,0,0
16777216,0,0
17301504,0,0
17825792,0,0
18350080,0,0
18874368,0,0
19398656,0,0
19922944,0,0
20447232,0,0
20971520,0,0
21495808,0,0
22020096,0,0
22544384,0,0
23068672,0,0
23592960,0,0
24117248,0,0
24641536,0,0
25165824,0,0
25690112,0,0
26214400,0,0
26738688,0,0
27262976,0,0
27787264,0,0
28311552,0,0
28835840,0,0
29360128,0,0
29884416,0,0
30408704,0,0
30932992,0,0
31457280,0,0
31981568,0,0
32505856,0,0
33030144,0,0
33554432,0,0
34603008,0,0
