reuse distance,histogram value,read histogram value
0,119702176,12113152
1,45680896,17545952
2,30987280,13311632
3,24585056,11850912
4,22295872,9837968
5,17360272,9117344
6,15692832,7828352
7,15198528,7224592
8,12655280,6253584
9,12117840,6657888
10,9644016,5259808
11,8971504,4947664
12,7513584,3959152
13,6826576,3382624
14,6046800,2898112
15,5178000,2653856
16,5476752,2684448
17,5021632,2743232
18,4132032,2149072
19,3867408,2099280
20,3681552,1818864
21,2963616,1590912
22,2500096,1346208
23,2894848,1621920
24,2390944,1167776
25,2063408,1056320
26,1551840,688048
27,1461280,631376
28,1464656,699264
29,1355072,683056
30,1358528,765232
31,1469408,818560
32,1421008,786064
33,1203104,670688
34,1212448,648416
35,1117376,578784
36,998736,486688
37,1040688,528368
38,1012256,547872
39,1072656,574528
40,1387440,871600
41,918880,464400
42,872560,398048
43,834656,365456
44,777408,323104
45,697968,296688
46,682128,277504
47,641792,299824
48,703792,350912
49,632144,292384
50,655888,299024
51,663760,280112
52,592048,253248
53,560304,233728
54,574784,226992
55,603376,237136
56,643888,256976
57,680048,286272
58,672768,267520
59,640176,247264
60,652688,239008
61,659312,272960
62,648560,261488
63,606096,257920
64,1246496,595136
66,1119888,527840
68,1179392,519936
70,1111424,488880
72,989728,431744
74,1000992,453856
76,998752,458928
78,975408,441232
80,902976,375712
82,881536,339984
84,904880,361232
86,895152,332592
88,917056,335120
90,931632,356576
92,968256,383056
94,923216,326624
96,925456,312192
98,897168,300496
100,848960,287712
102,795680,304624
104,845360,362768
106,891552,398928
108,910208,441536
110,857696,391280
112,869360,403392
114,864544,446304
116,782976,436112
118,690128,415440
120,706608,452288
122,715440,488176
124,578144,394272
126,557232,347952
128,1085248,692640
132,1222704,838848
136,1087168,833664
140,956224,730032
144,889776,727520
148,802848,665376
152,873120,709392
156,924160,779712
160,820800,692384
164,706016,597728
168,628240,540800
172,568688,505424
176,575040,519664
180,546688,500032
184,542720,500224
188,550640,495632
192,545680,458816
196,562048,489200
200,605520,513440
204,543152,456000
208,521584,433824
212,485696,403520
216,467152,389504
220,476400,402304
224,495264,417632
228,533376,451360
232,566496,484000
236,562288,467680
240,533328,423440
244,523568,402480
248,535504,394832
252,544944,387248
256,1067920,732752
264,1059232,662720
272,1083568,602496
280,979536,584064
288,941328,635408
296,867472,654816
304,893152,704048
312,1096704,919776
320,1527600,1338496
328,1837616,1665168
336,1849424,1648688
344,1964912,1700896
352,2438192,2166240
360,2442944,2208688
368,1920384,1739504
376,1364240,1248160
384,976944,902016
392,922064,830416
400,1060400,940160
408,1287648,1148784
416,1673808,1533792
424,2183888,2033840
