reuse distance,histogram value,read histogram value
0,149703968,13741600
1,46841216,21640816
2,33180592,23257024
3,47847024,37165952
4,28952304,24794080
5,18476880,16099664
6,17803536,13545632
7,22681584,17991616
8,18131792,11715040
9,17368064,13305216
10,11755552,7848128
11,9934384,7407584
12,11695232,8720560
13,13202576,10781584
14,9237648,6967520
15,8196800,6444912
16,7301616,5921584
17,9829136,8211024
18,9500832,5681392
19,7603840,4182800
20,4632608,3323856
21,5175040,3629808
22,4278160,2934944
23,3618528,2532352
24,3457664,2341216
25,3681216,2660128
26,3742304,2688928
27,3545040,2516000
28,3070864,2184864
29,2294688,1259456
30,1965312,1232032
31,1580096,994144
32,1352096,878416
33,1594400,1170768
34,1043008,715440
35,921520,508656
36,737984,494416
37,878912,715264
38,793632,721072
39,964240,860576
40,696240,646928
41,542432,470976
42,558240,382928
43,710496,566688
44,951728,691840
45,973936,832816
46,683584,584224
47,452416,348768
48,490080,394272
49,587040,478416
50,594000,480896
51,393952,300112
52,510064,432624
53,447712,322368
54,460800,371856
55,487440,323600
56,558496,435824
57,543968,358768
58,852864,747392
59,485024,348144
60,556320,398592
61,399248,317408
62,299424,217232
63,328944,230576
64,591136,478768
66,502000,395872
68,718336,566672
70,820848,611328
72,748640,399824
74,673888,378368
76,737120,393568
78,624480,312176
80,569088,294784
82,560832,306048
84,417712,248256
86,519056,342560
88,642512,346528
90,553920,270400
92,609344,334128
94,405968,267296
96,492080,350496
98,438432,269424
100,414272,225328
102,399872,231200
104,499488,284144
106,506752,309296
108,553696,262400
110,497184,332272
112,506656,306176
114,476816,267552
116,499024,275040
118,526688,285968
120,432688,242576
122,315248,237328
124,319360,211216
126,284288,194704
128,709104,545520
132,880896,764784
136,920528,834480
140,1430176,1339664
144,1480000,1397728
148,862480,796400
152,462032,393840
156,299536,249136
160,202720,167392
164,184768,146224
168,194416,155072
172,162352,132208
176,122864,92512
180,148528,120928
184,192992,169008
188,91424,72224
192,134144,113920
196,130448,109648
200,221872,203376
204,163344,147440
208,135488,116656
212,114000,94368
216,69168,53968
220,56688,40752
224,46592,31104
228,32304,20288
232,23888,12688
236,18240,7904
240,16368,7264
244,13104,5440
248,11904,5136
252,10336,3728
256,15888,7248
264,12256,6672
272,14496,9824
280,17200,13520
288,16608,13696
296,17840,15680
304,19728,18064
312,19856,17872
320,25872,23888
328,23616,22000
336,13248,11616
344,15424,13728
352,13744,11968
360,10224,8848
368,16304,14752
376,34096,33056
384,35680,34336
392,25712,24768
400,33120,32160
408,29680,28736
416,27392,26640
424,25312,24784
432,16240,15616
440,28192,27728
448,22960,22208
456,24688,24304
464,25648,25056
472,30832,30176
480,29456,28720
488,47168,46752
496,59280,58848
504,53648,53088
512,44096,42880
528,27248,26448
544,31504,30928
560,30736,30272
576,10784,10352
592,3408,2992
608,1936,1568
624,2720,2352
640,2144,1856
656,2240,1904
672,2128,1872
688,2544,2288
704,2288,1888
720,1216,976
736,800,544
752,1040,736
768,1648,1376
784,1344,1040
800,1664,1328
816,2240,1952
832,1696,1312
848,1360,1136
864,1008,688
880,976,656
896,944,688
912,1248,928
928,1328,1008
944,1296,1088
960,1872,1632
976,992,784
992,816,480
1008,1296,960
1024,1328,880
1056,1536,880
1088,1328,864
1120,2000,1392
1152,1360,992
1184,1248,832
1216,1616,1056
1248,1680,1088
1280,1632,976
1312,1376,848
1344,1200,640
1376,1168,784
1408,1264,656
1440,1072,576
1472,1600,1040
1504,1136,640
1536,1072,608
