reuse distance,histogram value,read histogram value
0,39417888,11126240
1,36948768,15451632
2,29168912,19929872
3,31109616,22719792
4,27406880,22704304
5,29252144,23797392
6,28108992,24932736
7,28325968,24790160
8,22186176,19203600
9,15063920,13633040
10,12557872,11110368
11,15418960,14397344
12,8801648,8134496
13,10851072,10077056
14,7755744,7262144
15,6317744,5643216
16,5054128,4684928
17,4501248,4068800
18,5319360,3847440
19,4766320,3945376
20,5141264,4477024
21,5025040,4253744
22,6794320,5933968
23,6487792,5777008
24,7472384,6593088
25,6989968,6211728
26,5992528,5454224
27,3910976,3591712
28,4901200,3567152
29,5021424,4464736
30,6341760,6128560
31,5231920,5033456
32,6182560,6047248
33,17707584,17553744
34,6161984,6000864
35,3900064,3772000
36,2216432,2120064
37,2196304,2071872
38,2126080,2058384
39,1808192,1739008
40,1448784,1387600
41,1093600,1026576
42,973056,894304
43,893120,847792
44,792224,738272
45,988272,943984
46,663776,620912
47,616240,576960
48,348784,308064
49,366496,336464
50,279552,244160
51,263008,214944
52,201248,173456
53,268208,229680
54,220720,193952
55,209440,183472
56,157056,144368
57,181296,156416
58,155264,126368
59,145360,124128
60,144832,116272
61,140640,104720
62,145840,121312
63,122736,99984
64,205872,150352
66,184832,151568
68,213504,177808
70,205552,168864
72,159088,140352
74,181632,157584
76,191472,159456
78,194336,177888
80,142400,118096
82,101488,88336
84,123568,110496
86,130640,114048
88,132960,118560
90,98944,88544
92,114768,106128
94,203584,195040
96,79056,67952
98,67008,62368
100,68016,64960
102,59648,46384
104,80208,74736
106,63808,61280
108,56240,54352
110,54416,51248
112,47632,45200
114,58144,55072
116,48768,45456
118,59264,54016
120,34528,30240
122,29808,24000
124,26304,24512
126,53520,52160
128,98864,92848
132,75872,74400
136,40928,37472
140,59728,57600
144,62800,60272
148,64560,60912
152,69856,67200
156,62928,59088
160,62960,59760
164,52560,51344
168,41760,40512
172,44240,43552
176,66496,64496
180,88960,87136
184,73792,68592
188,55808,53440
192,62368,54832
196,57008,53920
200,43296,41760
204,46368,46272
208,40576,40560
212,44464,44336
216,49136,49072
220,61424,61168
224,80608,80608
228,86944,86656
232,92992,92784
236,111280,110944
240,96288,96032
244,111056,110960
248,107952,107776
252,110304,110000
256,256336,255024
264,244512,243024
272,210064,209376
280,211088,210096
288,227808,227136
296,245904,244640
304,238032,236464
312,255216,254048
320,273456,272688
328,260000,259408
336,188000,187536
344,162016,161648
352,163056,162704
360,128720,128224
368,92400,92160
376,63968,63776
384,52176,52000
392,41584,41312
400,39056,38880
408,25232,25056
416,24352,24208
424,33760,33696
432,55792,55760
440,84576,84544
448,115632,115264
456,136864,136752
464,134448,134208
472,99088,99040
480,93904,93888
488,89664,89632
496,88720,88624
504,83248,83040
512,131536,131168
528,76544,76320
544,67264,67216
560,116512,116464
576,254944,254368
592,170384,170208
608,114752,114640
624,90720,90704
640,192096,192096
656,116000,116000
672,78320,78320
688,63440,63440
704,101904,101776
720,29008,28720
736,100912,100848
752,29072,29056
768,26576,26576
784,77472,77472
800,47744,47648
816,182384,182112
832,194496,194272
848,142240,141808
864,120080,119968
880,72528,72512
896,79600,79600
912,131872,131872
928,147584,147568
944,201584,201584
960,61136,61056
976,102704,102400
992,35856,35376
1008,14224,14144
1024,68608,68288
1056,230880,227472
1088,86160,85952
1120,143440,142752
1152,186608,186432
1184,212000,212000
1216,80256,80240
1248,132272,132272
1280,103248,103232
1312,115056,114976
1344,80288,80096
1376,142592,142544
1408,95808,95616
1440,54544,54480
1472,52480,52416
1504,71776,71712
1536,75952,75920
1568,104992,104816
1600,119168,119104
1632,36656,36480
1664,179248,179200
1696,47392,47360
1728,24720,24704
1760,26720,26704
1792,16096,16016
1824,29056,29024
1856,23472,23376
1888,20064,19936
1920,2400,2352
1952,1072,1056
1984,560,544
2016,2304,2288
2048,5760,5664
2112,2000,1936
2176,928,688
2240,3152,3152
2304,2304,2304
2368,3584,3488
2432,3984,3936
2496,5840,5840
2560,3424,3328
2624,29760,29632
2688,70816,70736
2752,289328,289200
2816,347792,347792
2880,58800,58800
2944,43328,43088
3008,58560,58384
3072,75424,75120
3136,200480,199904
3200,41408,41072
3264,14672,14640
3328,6576,6432
3392,7104,6592
3456,55968,51440
3520,97056,96816
3584,70960,67520
3648,232224,232160
3712,59824,59504
3776,32096,32064
3840,40720,40720
3904,349680,349312
3968,656560,656336
4032,59184,58960
4096,269344,269280
4224,45088,44784
4352,229840,227120
4480,151824,146448
4608,41184,40240
4736,40496,40240
4864,42224,41744
4992,32384,32064
5120,16272,16144
5248,39984,39808
5376,15664,15056
5504,20384,17552
5632,13344,11856
5760,10768,10480
5888,4704,4656
6016,5920,5840
6144,11216,11200
6272,5536,5520
