reuse distance,histogram value,read histogram value
0,34690944,18164752
1,36105120,33025552
2,33204576,30984272
3,32161360,30880688
4,40307312,39426512
5,15031488,14289824
6,8402368,7703856
7,6942752,6119088
8,3412640,3083168
9,2027104,1727968
10,1901408,1694128
11,1388112,1151200
12,1384496,1041472
13,1037600,912288
14,684048,577888
15,603536,416064
16,613616,512688
17,492256,389216
18,495024,361776
19,569232,386672
20,660592,492064
21,668112,503280
22,837568,667088
23,713696,592352
24,835744,667408
25,993152,738000
26,814992,600096
27,881136,723856
28,984944,821696
29,790640,645616
30,922208,752192
31,846768,690336
32,959824,848048
33,747280,642400
34,841120,715472
35,651776,563792
36,528624,379600
37,640912,504368
38,531744,444800
39,510416,442560
40,404704,346224
41,382896,323520
42,403328,332912
43,400336,309296
44,307824,258448
45,265680,209712
46,258672,201936
47,238992,205088
48,235840,203584
49,229616,194432
50,194608,164208
51,170208,144208
52,147104,123520
53,134256,109072
54,130432,107952
55,151440,125360
56,177168,152608
57,175680,151040
58,186800,166016
59,211664,192080
60,275744,255920
61,245520,215904
62,288672,224048
63,425584,316272
64,1182592,978336
66,1317312,1006864
68,1146192,864880
70,799424,649552
72,471472,438928
74,381104,356528
76,369408,349072
78,313968,296112
80,281040,255312
82,275632,251472
84,265520,248688
86,254896,233760
88,251264,219920
90,221088,201712
92,187232,170304
94,166816,150432
96,147216,130256
98,138304,119936
100,140368,121424
102,137264,111632
104,138160,110752
106,145808,118336
108,157744,118592
110,141856,111776
112,132256,108688
114,119248,96992
116,111888,92000
118,102736,84672
120,114736,97120
122,112528,95344
124,122640,104064
126,191248,124128
128,295248,256016
132,291456,233872
136,367776,323504
140,429552,396592
144,475152,438320
148,456432,421056
152,369888,339472
156,270192,246672
160,202112,181568
164,170208,154080
168,155808,139648
172,144336,128896
176,135408,121504
180,142352,125760
184,152160,136352
188,178464,162656
192,197184,180208
196,191632,177056
200,205312,191280
204,145504,133760
208,201792,190032
212,287360,274272
216,241504,224800
220,207760,189408
224,180784,163968
228,155456,140096
232,122272,108672
236,110000,98176
240,106736,92816
244,100192,83744
248,94944,77424
252,100096,69888
256,180752,140944
264,135600,101856
272,91904,77616
280,87200,76704
288,88032,76016
296,91872,82112
304,84000,75632
312,72416,65248
320,77376,68208
328,101680,87616
336,123872,105504
344,119520,100704
352,105200,87088
360,86944,71024
368,69440,57840
376,55376,46544
384,49424,41920
392,46608,39904
400,45696,39712
408,45792,40096
416,46544,40064
424,49184,42416
432,54832,45600
440,61936,50608
448,65456,53568
456,53104,45008
464,43712,36768
472,39744,33120
480,37616,29824
488,38016,30352
496,34480,28048
504,31776,25648
512,72208,55568
528,72416,57952
544,65584,51456
560,67792,52528
576,59280,44176
592,54288,42320
608,49648,41120
624,52192,36576
640,51072,40976
656,46448,37360
672,45136,35936
688,41216,34320
704,37104,31584
720,34336,28432
736,33168,28384
752,34416,29936
768,32912,28320
784,50944,45568
800,39616,34064
816,36944,30416
832,39056,31008
848,33360,29056
864,44096,36304
880,80864,60160
896,36624,31264
912,30320,26096
928,31360,26528
944,29072,23888
960,25920,22032
976,25824,21456
992,26304,22352
1008,29488,25936
1024,58512,49344
1056,54256,46224
1088,47808,40704
1120,48608,42752
1152,48608,41520
1184,46128,39968
1216,41200,34976
1248,44064,37568
1280,42336,36240
1312,39536,33888
1344,39472,33920
1376,38256,33136
1408,37360,32736
1440,36464,32000
1472,35648,31472
1504,33536,29744
1536,32944,30000
1568,36864,33504
1600,37808,35232
1632,28432,26544
1664,30240,28224
1696,32080,30000
1728,31008,29328
1760,26528,24896
1792,29264,27536
1824,31392,29696
1856,29024,27424
1888,29968,28272
1920,26416,24992
1952,27936,26448
1984,28656,26192
2016,30096,28416
2048,57696,55504
2112,57472,55392
2176,55520,53632
2240,57200,54480
2304,58528,54832
2368,53648,49104
2432,51488,47920
2496,51136,47296
2560,48080,43392
2624,55936,45168
2688,58720,43840
2752,45600,38992
2816,43440,39840
2880,41296,37776
2944,39376,34880
3008,40624,35408
3072,41472,36432
3136,39680,35392
3200,38144,35696
3264,35648,33840
3328,36976,35360
3392,37424,36432
3456,35152,34176
3520,34368,33552
3584,32992,32128
3648,33184,32656
3712,32288,31808
3776,31520,31120
3840,34320,33872
3904,33616,33200
3968,31232,30848
4032,31184,30960
4096,63856,62960
4224,61264,59376
4352,64352,63328
4480,59152,58240
4608,61936,60592
4736,59072,57776
4864,59184,58080
4992,59616,58640
5120,60848,59728
5248,56544,55872
5376,55360,54352
5504,53488,51792
5632,51616,50016
5760,49920,48560
5888,50672,49552
6016,49024,47664
6144,48256,46640
6272,46800,45712
6400,45072,43968
6528,45392,44192
6656,44912,44208
6784,46896,46080
6912,44048,43024
7040,47232,45744
7168,43696,42736
7296,42704,41936
7424,43664,42192
7552,42560,40320
7680,40352,38192
7808,40704,39712
7936,43792,37936
8064,46416,38432
8192,78752,75216
8448,77200,73184
8704,81040,73840
8960,75440,69632
9216,70512,68592
9472,68800,66848
9728,66240,64368
9984,69088,64528
10240,71984,66256
10496,61408,59184
10752,77152,60608
11008,67072,57840
11264,60256,57344
11520,61936,58128
11776,60736,54656
12032,58400,52800
12288,52304,50304
12544,54480,52944
12800,53088,51968
13056,52480,50288
13312,58976,48016
13568,51584,46640
13824,47024,45248
14080,47824,46464
14336,46656,44528
14592,48304,43648
14848,45232,43008
15104,43696,42192
15360,42720,41872
15616,42112,40864
15872,41968,41152
16128,41424,40592
16384,81968,78032
16896,80928,78800
17408,91360,72688
17920,78656,72480
