reuse distance,histogram value,read histogram value
0,102145696,54725024
1,32229984,17458016
2,14443728,6780944
3,12729376,5995536
4,11084592,5825520
5,7974288,4738912
6,5955040,3517536
7,4671456,2561664
8,4205504,2230352
9,3753472,2067792
10,2998480,1565408
11,2573328,1528832
12,2327584,1500416
13,2193504,1452032
14,1774528,1055680
15,1753936,1118608
16,1819872,1232320
17,1434176,944992
18,1419584,827712
19,1443296,923488
20,1100320,708272
21,1515824,1045344
22,1574336,1125696
23,1122960,749936
24,764272,439680
25,656608,434848
26,651200,401776
27,730128,399568
28,746496,404624
29,600448,298016
30,606544,346832
31,420336,241776
32,449072,278464
33,624272,366560
34,430560,244608
35,397088,229920
36,536192,364912
37,596528,441008
38,461248,272576
39,425984,234000
40,357136,218000
41,379696,223728
42,399280,258432
43,385584,233680
44,351360,225072
45,349344,218352
46,307392,174704
47,311312,156736
48,322640,187424
49,240144,118688
50,255312,158640
51,271952,205168
52,294624,193056
53,292384,200304
54,291856,218912
55,300320,205616
56,254448,176832
57,305808,199808
58,237936,161728
59,223840,141040
60,225328,150832
61,185408,127680
62,239904,141504
63,256144,149520
64,517536,319248
66,480144,275328
68,540384,317712
70,428320,220640
72,404096,210688
74,382160,245360
76,474848,280064
78,474656,278624
80,477024,324752
82,303168,176512
84,306896,167744
86,354736,218960
88,332064,234192
90,293680,203344
92,336288,213120
94,409104,300736
96,384320,285248
98,284352,153296
100,233152,126736
102,195056,109344
104,174160,96592
106,212880,135728
108,202880,154592
110,209952,159632
112,209856,163328
114,234416,169248
116,187824,127184
118,206608,146976
120,165392,123024
122,129920,84176
124,127600,87184
126,138608,90432
128,258928,186736
132,233952,187840
136,210288,175360
140,252912,217728
144,260832,210928
148,245664,173504
152,335680,245696
156,299040,208928
160,214304,151712
164,258432,224912
168,263248,202192
172,153584,110416
176,216848,140912
180,176240,135584
184,183632,141536
188,198528,154480
192,136624,112080
196,210080,148496
200,229168,182768
204,206560,158304
208,182448,167440
212,247488,231552
216,189680,166880
220,154800,102800
224,139968,96880
228,172848,131312
232,190192,151056
236,282464,246848
240,290352,278192
244,146368,135680
248,86144,73248
252,134144,99248
256,246048,206240
264,357312,307424
272,288384,266512
280,352592,321648
288,361872,306688
296,312896,233920
304,314512,257984
312,238816,219152
320,269936,245840
328,260256,232000
336,288752,262208
344,301008,265024
352,314752,283456
360,311440,280496
368,341744,303264
376,359472,301648
384,433792,386192
392,435584,380576
400,466640,404400
408,341296,288704
416,306080,211696
424,277344,211360
432,282400,240704
440,254080,224560
448,229664,208304
456,247264,214736
464,289296,260560
472,268304,237888
480,275296,239392
488,359904,324240
496,439536,416656
504,347616,328960
512,703696,642960
528,551232,518224
544,384800,329616
560,464592,373120
576,473168,388224
592,529664,469456
608,472160,420816
624,519328,487456
640,473312,437216
656,508736,463888
672,514992,461088
688,509536,475600
704,551856,529344
720,702688,679744
736,697168,666496
752,586080,550992
768,660256,626480
784,518368,490768
800,610880,581632
816,458352,424816
832,431200,400112
848,400848,373760
864,425376,398560
880,414784,390736
896,430800,407392
912,413616,391120
928,387184,365808
944,409312,390496
960,407312,389952
976,410384,393568
992,364256,347216
1008,371296,351456
1024,707552,664624
1056,700784,666224
1088,652464,622304
1120,597536,569728
1152,581632,557776
1184,533632,511920
1216,528976,505936
1248,512608,492464
1280,497856,474416
1312,557136,533312
1344,552128,523312
1376,478720,454256
1408,439088,418432
1440,467888,446816
1472,497104,468400
1504,493840,469952
1536,433888,410672
1568,450224,425312
1600,465120,436816
1632,558224,515424
1664,493632,477664
1696,388112,373120
1728,355632,340688
1760,404528,385072
1792,398224,368400
1824,369680,335488
1856,327776,300512
1888,321584,302768
1920,337296,316832
1952,341376,315040
1984,361360,334176
2016,313648,288400
2048,520512,479568
2112,556016,521104
2176,497216,461024
2240,425008,395440
2304,461824,434352
2368,445568,419232
2432,412080,388512
2496,365904,343888
2560,363408,343904
2624,361536,343760
2688,411408,392960
2752,378512,361216
2816,310848,290352
2880,327232,307728
2944,337920,318480
3008,313392,294640
3072,302848,286160
3136,306320,288560
3200,326928,309824
3264,404384,387936
3328,387536,371120
3392,395616,379792
3456,451056,433984
3520,539824,521152
3584,568240,551568
3648,631856,616496
3712,730448,717264
3776,746544,733632
3840,801152,787904
3904,782208,770416
3968,787792,776992
4032,842368,831488
4096,1510512,1488480
4224,1472080,1452464
4352,1778880,1761088
4480,1609664,1595520
4608,836032,826272
4736,565136,556544
4864,529152,521312
4992,480480,473248
5120,451872,445424
5248,423728,418256
5376,424176,418752
5504,391024,386224
5632,393504,389056
5760,388400,384960
5888,349936,346320
6016,331536,327936
6144,319376,316000
6272,361456,357728
6400,341728,338928
6528,358976,355776
6656,326672,323728
6784,280272,277008
6912,215552,213504
7040,223568,221360
7168,266960,265120
7296,232480,230512
7424,209152,207216
7552,176352,174704
7680,177696,176176
7808,176048,174736
7936,178592,177168
8064,192736,191104
8192,198992,196880
8448,157920,156032
8704,277648,275472
8960,321504,319728
9216,221248,220096
9472,115168,114304
9728,101440,100672
9984,121600,120960
10240,94464,93984
10496,98240,97936
10752,109056,108720
11008,76528,76176
11264,63744,63424
11520,63904,63664
11776,54880,54480
12032,53360,53104
12288,40960,40640
12544,37680,37392
12800,31728,31568
13056,49744,49488
13312,63376,63168
13568,62720,62496
13824,69504,69200
14080,51200,50912
14336,68176,67904
14592,58592,58224
14848,54048,53728
15104,48000,47760
15360,52624,52288
15616,64480,64192
15872,68656,68400
16128,81776,81616
16384,195744,195200
16896,202224,201744
17408,287056,286736
17920,270016,269616
18432,276128,276016
18944,228912,228688
19456,211520,211216
19968,248128,247888
20480,307904,307776
20992,233120,232848
21504,119024,118736
22016,126144,126016
22528,119744,119616
23040,88112,87984
23552,28208,28112
24064,26752,26592
24576,29424,29296
25088,27824,27648
25600,30608,30512
26112,27440,27248
26624,34976,34816
27136,30896,30672
27648,22944,22768
28160,20704,20512
28672,25696,25536
29184,23984,23856
29696,26576,26432
30208,25872,25664
30720,37088,36880
31232,29776,29584
31744,30112,30032
32256,27840,27728
32768,32432,32192
33792,21232,20944
34816,31056,30640
35840,27264,27104
36864,24464,24032
37888,36256,35968
38912,22368,22208
39936,3744,3584
40960,17440,17216
41984,73440,73296
43008,53504,53360
44032,68944,68848
45056,8160,7904
46080,1696,1536
47104,2240,2144
48128,2240,2064
49152,6960,6752
50176,7056,6864
51200,1568,1424
52224,4144,4048
53248,4272,4144
54272,1312,1152
55296,6512,6336
56320,1120,928
57344,1552,1392
58368,1360,1136
59392,1632,1440
60416,1472,1280
61440,3760,3568
62464,1056,896
63488,4048,3824
64512,1072,912
65536,4784,4352
67584,2480,2016
69632,5216,4912
71680,6624,6256
73728,6784,6512
75776,6672,6336
77824,4224,3744
79872,11504,11040
81920,5968,5600
83968,5840,5520
86016,6800,6352
88064,14256,13920
90112,6400,6096
92160,9008,8592
94208,5328,5040
96256,4848,4528
98304,2432,2224
100352,8048,7744
102400,11632,11328
104448,7136,6720
106496,5072,4864
108544,6944,6592
110592,4800,4576
112640,6352,6000
114688,9040,8544
116736,10784,10368
118784,4736,4448
120832,12400,12080
122880,6720,6432
124928,3088,2800
126976,8064,7680
129024,5040,4800
131072,7264,6688
