reuse distance,histogram value,read histogram value
0,180413936,39710352
1,58378736,50208368
2,9105472,8881184
3,20904592,20749952
4,11849456,11689920
5,11092672,10992960
6,9662320,9549424
7,15478272,6141152
8,14835024,6818656
9,6080144,5034032
10,808608,598208
11,6558592,5418976
12,11361712,8802224
13,7672720,5413744
14,17793248,8110016
15,17133280,8556928
16,8898112,6734656
17,7545904,5474752
18,9624080,7679616
19,4112208,3740960
20,835488,763264
21,169232,114512
22,212208,165456
23,168320,116976
24,159232,135600
25,111408,92896
26,84992,72768
27,74880,64864
28,45216,36496
29,51280,42752
30,48672,39696
31,63856,53232
32,66928,55360
33,85392,75808
34,88656,80496
35,104624,88544
36,123392,95888
37,210112,182352
38,160352,137008
39,91008,77024
40,53744,45488
41,49184,41568
42,48400,39568
43,49664,45040
44,40064,31904
45,40560,35360
46,28192,24544
47,21584,18896
48,19920,17680
49,12448,10480
50,12464,10480
51,12912,10816
52,15392,12944
53,13232,10464
54,13200,10944
55,11504,9152
56,10240,8768
57,8688,7056
58,8832,6752
59,6112,4592
60,5072,3424
61,4048,2848
62,5184,3744
63,5088,3680
64,10208,6240
66,8928,5520
68,9552,6688
70,10672,7120
72,9872,6752
74,11328,7136
76,12976,6480
78,14176,9120
80,15408,10304
82,12304,7392
84,8416,4592
86,9616,6048
88,9248,7008
90,8960,6576
92,6240,4544
94,4896,3728
96,4800,3744
98,3712,2992
100,1920,1568
102,2416,2096
104,2528,2272
106,1792,1552
108,2864,2464
110,4480,4064
112,5632,4944
114,6912,5680
116,8976,6528
118,7424,6288
120,6432,5856
122,4272,3888
124,5200,5040
126,6896,6592
128,15184,14464
132,15344,14928
136,17632,17296
140,13472,13312
144,19984,19632
148,7488,7232
152,4000,3088
156,5424,4640
160,4624,4352
164,3360,3040
168,3680,3360
172,1968,1680
176,2400,2192
180,3536,3248
184,6160,5840
188,9056,7744
192,9072,7968
196,9312,8384
200,9520,9280
204,5280,5088
208,2016,1792
212,2592,2384
216,2304,2176
220,2192,2080
224,4096,4000
228,2016,1648
232,2752,2464
236,5184,5056
240,11488,11328
244,13776,13648
248,11744,11664
252,11392,11312
256,31392,31232
264,4752,4496
272,16080,15568
280,32768,32608
288,27872,27824
296,17248,17024
304,4912,4704
312,13168,12848
320,13440,13424
328,17264,17184
336,3744,3680
344,3456,3232
352,3488,3344
360,2224,2064
368,3600,3488
376,1712,1648
384,1984,1824
392,2608,2464
400,1696,1504
408,2880,2768
416,2624,2400
424,1552,1296
432,1744,1600
440,1184,1088
448,1968,1904
456,2176,2048
464,4576,4512
472,4416,4176
480,13104,13008
488,13920,13824
496,12064,11920
504,7440,7360
512,20416,20320
528,17072,16912
544,10032,9808
560,7696,7536
576,5120,4960
592,8528,8304
608,25360,25168
624,17120,16992
640,9952,9760
656,13472,13360
672,10704,10592
688,21888,21824
704,10608,10432
720,10304,10224
736,5200,5168
752,5024,4880
768,4960,4864
784,6688,6624
800,7616,7552
