reuse distance,histogram value,read histogram value
0,52875376,5575600
1,15580640,7665424
2,15899584,7272848
3,12934544,10475056
4,14520960,10663568
5,14593712,11684368
6,19634272,15611680
7,23948880,19681424
8,15829120,13727440
9,23157072,20938704
10,15545760,14767392
11,12916928,12264864
12,12602928,12065248
13,13986272,11100016
14,13004576,11646016
15,21698928,19837376
16,43052464,42737072
17,11457632,10501936
18,8448480,7769872
19,7169184,6827024
20,5744496,5525824
21,3044784,2899984
22,4739488,4461040
23,4133888,3782336
24,4463216,4240544
25,5700256,5689888
26,3453808,3318176
27,4379760,4379168
28,3772000,3618880
29,2530592,2383616
30,2925984,2921968
31,4377664,4372704
32,2347440,2338176
33,2392944,2382176
34,1509136,1362896
35,2491184,2068144
36,1459104,1040960
37,2931520,2678784
38,2325088,1381376
39,3074784,2315904
40,3235040,3122400
41,2222320,2069648
42,1970608,1546688
43,1219200,1069440
44,1861776,1671392
45,1416672,1250448
46,1979824,1693312
47,1859984,1517952
48,2981072,2826832
49,2159008,2149904
50,1060640,924672
51,962352,945424
52,1169296,1028304
53,1223760,1085440
54,949520,942080
55,2369968,2229504
56,3072624,3055600
57,2392848,2384944
58,3133168,3130832
59,3494752,3219280
60,2446352,2302144
61,2235024,2226224
62,2893968,2599408
63,3107072,3098560
64,6688592,6482608
66,6229344,5776544
68,7703360,6985152
70,10315552,10140816
72,11234640,10711824
74,8040480,7924912
76,7526672,7330896
78,9363552,9022304
80,18586304,18150688
82,13409312,12958608
84,6866320,6405584
86,5554384,5313552
88,4628960,3811312
90,3897280,3528304
92,1766144,1622240
94,1605216,1341840
96,6071840,6048304
98,6597536,6276320
100,972688,839024
102,647584,510688
104,167488,165408
106,705520,704112
108,205232,204960
110,340880,335840
112,4848,4832
114,6176,6176
116,1200,1200
118,176,176
120,304,304
122,256,256
124,80,80
126,2560,2560
128,6992,6880
132,3872,3824
136,5472,5472
140,240,240
144,0,0
148,16,16
152,176,176
156,288,288
160,288,288
164,4784,4784
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,0,0
192,0,0
196,0,0
200,0,0
204,0,0
208,0,0
212,0,0
216,0,0
220,0,0
224,0,0
228,0,0
232,0,0
236,0,0
240,0,0
244,0,0
248,0,0
252,0,0
256,0,0
264,0,0
272,0,0
280,0,0
288,0,0
296,0,0
304,0,0
312,0,0
320,0,0
328,0,0
336,2752,2752
344,149984,149984
352,27888,27888
360,374848,374848
368,375520,375520
376,620768,620768
384,363344,363344
392,151312,151312
400,267584,267584
408,4336,4336
416,0,0
424,32,32
432,0,0
440,0,0
448,16,16
456,80,80
464,6288,6288
472,380432,380432
480,380176,380176
488,7104,7104
496,1888,1888
504,0,0
512,0,0
528,0,0
544,0,0
560,0,0
576,0,0
592,0,0
608,0,0
624,0,0
640,0,0
656,0,0
672,0,0
688,0,0
704,0,0
720,0,0
736,0,0
752,0,0
768,0,0
784,0,0
800,0,0
816,0,0
832,0,0
848,0,0
864,0,0
880,0,0
896,0,0
912,0,0
928,0,0
944,0,0
960,0,0
976,0,0
992,0,0
1008,0,0
1024,0,0
1056,0,0
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,0,0
1440,0,0
1472,0,0
1504,0,0
1536,0,0
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,0,0
1856,0,0
1888,0,0
1920,0,0
1952,0,0
1984,0,0
2016,0,0
2048,0,0
2112,0,0
2176,0,0
2240,0,0
2304,0,0
2368,0,0
2432,0,0
2496,0,0
2560,0,0
2624,0,0
2688,0,0
2752,0,0
2816,0,0
2880,0,0
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,0,0
3264,0,0
3328,0,0
3392,0,0
3456,0,0
3520,0,0
3584,0,0
3648,0,0
3712,0,0
3776,0,0
3840,0,0
3904,0,0
3968,0,0
4032,0,0
4096,0,0
4224,0,0
4352,0,0
4480,0,0
4608,0,0
4736,0,0
4864,0,0
4992,0,0
5120,0,0
5248,0,0
5376,0,0
5504,0,0
5632,0,0
5760,0,0
5888,0,0
6016,0,0
6144,0,0
6272,0,0
6400,0,0
6528,0,0
6656,0,0
6784,0,0
6912,0,0
7040,0,0
7168,0,0
7296,0,0
7424,0,0
7552,0,0
7680,0,0
7808,0,0
7936,0,0
8064,0,0
8192,0,0
8448,0,0
8704,0,0
8960,0,0
9216,0,0
9472,0,0
9728,0,0
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,0,0
11264,0,0
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,0,0
18432,0,0
18944,0,0
19456,0,0
19968,0,0
20480,0,0
20992,0,0
21504,0,0
22016,0,0
22528,0,0
23040,0,0
23552,0,0
24064,0,0
24576,0,0
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,0,0
27648,0,0
28160,0,0
28672,0,0
29184,0,0
29696,0,0
30208,0,0
30720,0,0
31232,0,0
31744,0,0
32256,0,0
32768,0,0
33792,0,0
34816,0,0
35840,0,0
36864,0,0
37888,0,0
38912,0,0
39936,0,0
40960,0,0
41984,1442240,1442240
43008,38896,38896
44032,16,16
45056,16,16
46080,32,32
47104,32,32
48128,32,32
49152,0,0
50176,16,16
51200,0,0
52224,479760,479760
53248,5968,5968
54272,7504,7504
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,0,0
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
