reuse distance,histogram value,read histogram value
0,12592208,7409120
1,9419248,6281824
2,6996480,4706576
3,6414368,4460528
4,4713248,3225216
5,4675824,3408624
6,4259696,3075904
7,3541088,2728320
8,3707472,3037184
9,3916048,3349792
10,3641296,2957248
11,2536560,2057456
12,2049520,1562496
13,1621632,1193936
14,1420240,1066064
15,1266624,929616
16,1014352,727968
17,857296,616256
18,721712,546320
19,689888,484368
20,668480,464688
21,637696,458656
22,610496,453744
23,521744,370288
24,486608,362512
25,481344,359696
26,479280,364256
27,452416,356640
28,377152,288912
29,361152,285776
30,295616,239184
31,244128,193792
32,230512,189952
33,187120,152032
34,179856,149424
35,169056,133808
36,172560,129760
37,160480,130016
38,156032,122400
39,146000,115808
40,140512,111408
41,127888,106416
42,129600,105744
43,131024,107216
44,116768,96864
45,111264,91856
46,125504,101488
47,121456,104800
48,108064,95184
49,101344,90000
50,101376,87776
51,104912,83280
52,92432,76832
53,92480,79760
54,92320,79328
55,92016,77008
56,87584,73168
57,79872,66640
58,75376,63680
59,77920,65632
60,75872,62448
61,76992,60592
62,70128,56576
63,71984,58976
64,159040,129088
66,153712,125296
68,166960,137056
70,167040,137296
72,172352,135712
74,160800,123536
76,151232,116448
78,145904,109472
80,143008,106976
82,148464,106944
84,156896,109728
86,162864,114800
88,161920,112272
90,151888,104192
92,151152,103952
94,149088,103904
96,153968,108080
98,146992,99104
100,147696,102784
102,147056,106736
104,153232,120592
106,141600,113472
108,141136,113120
110,134992,108752
112,128240,103712
114,125648,103760
116,121264,100592
118,117504,96576
120,113808,94144
122,107328,89664
124,107440,92000
126,108528,92880
128,208416,178192
132,206784,179968
136,202000,177712
140,196624,179856
144,195104,182752
148,204944,195216
152,195952,186928
156,192256,185424
160,198544,191456
164,193936,186960
168,191904,185328
172,190896,183728
176,180576,173808
180,181456,174016
184,183200,174608
188,180848,172736
192,183648,175744
196,181552,173472
200,183792,176096
204,186160,178784
208,183216,175760
212,184880,175456
216,196464,182832
220,186336,177920
224,172688,164464
228,169008,161600
232,176000,168256
236,172608,165104
240,175984,168464
244,175664,168672
248,187360,181120
252,180816,173888
256,343184,330480
264,340992,330320
272,339232,327488
280,333376,322912
288,325344,315072
296,329408,318336
304,329152,320400
312,314048,304768
320,307408,297952
328,290208,280688
336,291632,281984
344,273888,264912
352,268480,258416
360,257072,246592
368,254208,245760
376,248464,240576
384,234608,228048
392,219952,214640
400,213488,208944
408,202784,198128
416,190224,185248
424,181456,177104
432,173968,170032
440,167872,164448
448,151888,149408
456,147808,145248
464,137408,135472
472,129040,126192
480,127472,124832
488,127408,124320
496,120048,117248
504,116784,113712
512,238624,232720
528,220960,216480
544,219168,215328
560,231312,227584
576,204192,200560
592,209984,207552
608,212672,209904
624,223440,218720
640,225248,216928
656,225632,218736
672,225728,221904
688,222384,219376
704,220464,218320
720,229296,227104
736,221344,216000
752,207728,202384
768,201520,199328
784,207424,205856
800,213488,212064
816,193568,191824
832,174720,173088
848,164688,162864
864,164480,162480
880,171264,169744
896,171872,170816
912,158720,157808
928,143872,142480
944,138096,136384
960,140496,138880
976,134912,133264
992,145216,143424
1008,142048,140656
1024,263488,260384
1056,249200,245056
1088,297424,294512
1120,291024,288400
1152,251088,249168
1184,262304,260032
1216,259152,257184
1248,246528,243680
1280,243344,240416
1312,227824,226320
1344,211920,210240
1376,202624,201376
1408,203856,203344
1440,195360,194864
1472,235104,234544
1504,213408,212832
1536,208768,207920
1568,177648,176384
1600,172544,171888
1632,193504,193008
1664,179744,179200
1696,172960,172400
1728,177632,177168
1760,158864,158176
1792,179328,178480
1824,149472,148528
1856,146736,145616
1888,163024,162240
1920,173088,172560
1952,151344,150720
1984,155040,154400
2016,142496,141904
2048,279344,278320
2112,254384,253216
2176,316192,315024
2240,291552,290528
2304,281440,280528
2368,231760,230432
2432,241312,239472
2496,218144,216464
2560,246016,244576
2624,280336,278768
2688,259600,258352
2752,304096,302144
2816,323024,321520
2880,257120,255424
2944,272288,270688
3008,253152,251760
3072,254608,253264
3136,273920,272704
3200,272224,270592
3264,273312,270992
3328,287648,285136
3392,275328,273776
3456,275104,274240
3520,267776,266832
3584,302016,301344
3648,285040,284208
3712,268944,268368
3776,244128,243584
3840,258000,257568
3904,255520,255088
3968,262432,262000
4032,291104,290800
4096,442528,441856
4224,376176,375520
4352,371296,370736
4480,405248,404560
4608,383760,383152
4736,415376,414672
4864,339200,338400
4992,307552,306672
5120,297904,297136
5248,351248,350208
5376,343168,342224
5504,327312,326528
5632,309216,308576
5760,331744,330944
5888,334480,333232
6016,314576,313392
6144,350128,349152
6272,346848,346224
6400,306816,305792
6528,297200,296624
6656,332816,332464
6784,322960,322560
6912,295440,295072
7040,276384,276016
7168,295968,295600
7296,288848,288528
7424,271760,271200
7552,270416,270112
7680,276080,275856
7808,269648,269392
7936,251040,250640
8064,258688,258176
8192,521776,521152
8448,622096,621104
8704,582608,581728
8960,574992,573952
9216,582160,580528
9472,552544,550672
9728,630816,628496
9984,528656,524416
10240,558288,554016
10496,560240,555536
10752,587120,583408
11008,656832,653808
11264,679472,675184
11520,700288,698112
11776,822592,820208
12032,929712,927376
12288,1123360,1120416
12544,30915040,30897648
12800,761328,758240
13056,848800,845904
13312,1042800,1039776
13568,509168,504064
13824,509200,492384
14080,3314144,3292256
14336,682880,666784
14592,485200,473888
14848,695792,684784
15104,694496,685136
15360,506160,494592
15616,494672,477392
15872,917600,901440
16128,2079184,2068608
16384,3961056,3945440
16896,2197488,2183792
17408,1396480,1379840
17920,3573152,3561008
18432,3699200,3692400
18944,3899456,3892128
19456,5150992,5142080
19968,5939264,5931008
20480,6080240,6072144
20992,3940048,3934992
21504,3193696,3189216
22016,2791936,2788912
22528,1801888,1799840
23040,1021488,1020448
23552,772944,772080
24064,733424,732496
24576,788080,787296
25088,1096592,1095168
25600,672080,671824
26112,460816,459152
26624,397872,393680
27136,351408,348912
27648,354816,353040
28160,403424,401824
28672,387584,386480
29184,411472,410848
29696,318368,316048
30208,313248,311024
30720,367488,365424
31232,397600,395376
31744,405584,403520
32256,466720,464672
32768,865936,862752
33792,733712,731184
34816,726832,723920
35840,828864,826064
36864,974992,973136
37888,1151664,1149632
38912,821856,817984
39936,825808,823072
40960,800720,798976
41984,725584,724064
43008,680128,678368
44032,665136,663664
45056,605968,604544
46080,544144,543120
47104,448288,447056
48128,482592,481744
49152,551536,550448
50176,775296,774400
51200,543808,542368
52224,456896,455296
53248,481696,480192
54272,493248,492416
55296,462128,460768
56320,516992,515904
57344,535328,534208
58368,553200,551952
59392,458368,457520
60416,465472,464608
61440,477296,476544
62464,622640,621856
63488,520384,519536
64512,420784,419488
65536,781392,779952
67584,712032,710752
69632,770064,768992
71680,691792,690624
73728,767584,766704
75776,827872,826592
77824,714112,712784
79872,689792,688672
81920,687168,686304
83968,645776,645040
86016,643424,642592
88064,677856,676944
90112,546736,545808
92160,531424,530576
94208,559568,559008
96256,528912,528400
98304,564032,563456
100352,613920,613232
102400,484928,484176
104448,481760,481232
106496,480848,480432
108544,462144,461792
110592,429584,429232
112640,506480,506016
114688,430608,430128
116736,405360,404912
118784,399968,399504
120832,419600,419264
122880,379680,379248
124928,447088,446528
126976,376464,375888
129024,367536,367200
131072,702688,701904
135168,690672,689872
139264,660912,660208
143360,603984,603472
147456,600176,599728
151552,609056,608400
155648,538624,538048
159744,515600,515280
163840,535312,534656
167936,484864,484416
172032,464144,463616
176128,490880,490544
180224,415536,415184
184320,425904,425568
188416,427520,427328
192512,392144,391840
196608,381968,381488
200704,399728,399440
204800,344720,344384
208896,334944,334720
212992,356144,355824
217088,316752,316448
221184,302816,302656
225280,312608,312256
229376,280160,279712
233472,278464,278128
237568,292304,292128
241664,257504,257344
245760,251392,251152
249856,263472,263216
253952,243424,243200
258048,235600,235488
262144,444848,444528
270336,426384,425984
278528,400160,399792
286720,383744,383520
294912,361184,360864
303104,334304,333952
311296,326176,325872
319488,299888,299600
327680,291440,291248
335872,289072,288752
344064,261888,261680
352256,261088,260832
360448,246848,246624
368640,229824,229632
376832,225600,225344
385024,212784,212576
393216,200592,200416
401408,195712,195456
409600,185040,184944
417792,173664,173568
425984,173072,172928
434176,160960,160816
442368,163872,163744
450560,153296,153168
458752,145648,145456
466944,144080,144032
475136,137792,137696
483328,133120,133088
491520,127040,126992
499712,125584,125552
507904,121408,121200
516096,116704,116560
524288,229136,229008
540672,216480,216384
557056,201088,200784
573440,188688,188432
589824,178256,178144
606208,170816,170608
622592,157344,157216
638976,151616,151488
655360,144992,144880
671744,136816,136656
688128,136512,136368
704512,132032,131904
720896,124272,124160
737280,122656,122544
753664,110864,110768
770048,110448,110352
786432,102560,102480
802816,99280,99200
819200,100160,100032
835584,89792,89712
851968,87008,86864
868352,87184,87088
884736,81344,81280
901120,84032,83952
917504,77328,77232
933888,74736,74688
950272,71840,71824
966656,69008,68960
983040,66384,66320
999424,65680,65680
1015808,62944,62944
1032192,63536,63488
1048576,121232,121088
1081344,111616,111488
1114112,104112,104048
1146880,106688,106576
1179648,94832,94720
1212416,85648,85552
1245184,81936,81840
1277952,77344,77168
1310720,73152,73088
1343488,69904,69856
1376256,66400,66320
1409024,63536,63456
1441792,60256,60208
1474560,57968,57936
1507328,58624,58608
1540096,57504,57440
1572864,51488,51440
1605632,46784,46688
1638400,48992,48928
1671168,45088,45008
1703936,55824,55808
1736704,40256,40208
1769472,45648,45536
1802240,39424,39376
1835008,42912,42864
1867776,35760,35712
1900544,32720,32672
1933312,31136,31120
1966080,37760,37744
1998848,29104,29056
2031616,29952,29840
2064384,26688,26640
2097152,58672,58544
2162688,48096,47984
2228224,44416,44272
2293760,41744,41632
2359296,43408,43344
2424832,36784,36736
2490368,35712,35696
2555904,38320,38224
2621440,31072,31024
2686976,33376,33280
2752512,27664,27616
2818048,26448,26352
2883584,30912,30896
2949120,23088,23024
3014656,23856,23824
3080192,23824,23760
3145728,21040,20992
3211264,19520,19472
3276800,28496,28432
3342336,18240,18192
3407872,17168,17120
3473408,15888,15808
3538944,16160,16128
3604480,15552,15488
3670016,13728,13680
3735552,15792,15712
3801088,14800,14736
3866624,12560,12496
3932160,12800,12736
3997696,13392,13376
4063232,12736,12656
4128768,10800,10752
4194304,21616,21584
4325376,19200,19168
4456448,23824,23776
4587520,17648,17520
4718592,17152,17136
4849664,14528,14448
4980736,15376,15248
5111808,17584,17472
5242880,12096,12048
5373952,13088,13088
5505024,12112,12000
5636096,21488,21408
5767168,10384,10336
5898240,13184,13104
6029312,10928,10880
6160384,13488,13424
6291456,8880,8832
6422528,8352,8224
6553600,10000,9888
6684672,8800,8784
6815744,7216,7120
6946816,7296,7216
7077888,6400,6304
7208960,9856,9760
7340032,8320,8256
7471104,13248,13168
7602176,5776,5728
7733248,5024,4976
7864320,10800,10720
7995392,10992,10976
8126464,10128,10112
8257536,8192,8128
8388608,13280,13136
8650752,8720,8608
8912896,8368,8288
9175040,17968,17888
9437184,7232,7024
9699328,6368,6256
9961472,11728,11616
10223616,11904,11792
10485760,7664,7552
10747904,5584,5520
11010048,5568,5472
11272192,5344,5232
11534336,10752,10560
11796480,3488,3488
12058624,4064,4016
12320768,4800,4736
12582912,3776,3680
12845056,3216,3136
13107200,4672,4512
13369344,3008,2928
13631488,3664,3504
13893632,2880,2784
14155776,2592,2512
14417920,2160,2096
14680064,5184,5072
14942208,2304,2144
15204352,10096,10000
15466496,5728,5584
15728640,4256,4176
15990784,3712,3632
16252928,1744,1712
16515072,3552,3440
16777216,7760,7632
17301504,2752,2624
17825792,2768,2608
18350080,9696,9616
18874368,3040,2896
19398656,6512,6224
19922944,6736,6640
20447232,2096,2016
20971520,8528,8448
21495808,2272,2096
22020096,1568,1408
22544384,2192,1952
23068672,1648,1456
23592960,13904,13792
24117248,992,848
24641536,1504,1360
25165824,1328,1152
25690112,1168,1040
26214400,1280,1104
26738688,816,720
27262976,800,656
27787264,2224,2128
28311552,1536,1392
28835840,2096,2048
29360128,1328,1120
29884416,1344,1200
30408704,1776,1648
30932992,720,624
31457280,1184,1072
31981568,1008,928
32505856,1248,1104
33030144,736,624
33554432,1072,944
34603008,3552,3312
35651584,1472,1312
36700160,1152,848
37748736,960,608
38797312,1840,1680
39845888,624,448
40894464,688,528
41943040,1104,976
42991616,1040,896
44040192,3056,2800
45088768,560,448
46137344,672,512
47185920,592,496
48234496,1104,992
49283072,1376,1184
50331648,480,384
51380224,528,480
52428800,512,352
53477376,480,288
54525952,576,464
55574528,352,272
56623104,864,784
57671680,304,240
58720256,416,368
59768832,448,416
60817408,656,608
61865984,3088,2992
62914560,2576,2496
63963136,432,320
65011712,752,672
66060288,784,688
67108864,704,496
69206016,1360,1264
71303168,1168,960
73400320,1120,848
75497472,1456,1200
77594624,880,704
79691776,912,720
81788928,2832,2656
83886080,672,512
85983232,816,736
88080384,2400496,2400288
90177536,2290080,2290000
92274688,4845712,4845616
94371840,4285664,4285488
96468992,10328672,10328448
98566144,16284144,16284096
100663296,4495984,4495936
102760448,3053968,3053920
104857600,13208736,13208720
106954752,2923744,2923712
109051904,1897808,1897728
111149056,1299280,1299280
113246208,2797264,2797200
115343360,8942992,8942992
117440512,2192064,2192048
119537664,3014208,3014208
121634816,1949488,1949488
123731968,1705488,1705488
125829120,32,32
127926272,16,16
130023424,48,48
132120576,112,112
134217728,16,16
138412032,320,288
142606336,176,176
146800640,224,160
150994944,64,64
155189248,624,624
159383552,32,32
163577856,32,32
167772160,48,48
171966464,64,64
176160768,160,160
180355072,48,48
184549376,16,16
188743680,0,0
192937984,16,16
197132288,0,0
201326592,48,48
205520896,32,32
209715200,48,32
213909504,32,16
218103808,0,0
222298112,32,32
226492416,16,16
230686720,16,16
234881024,160,144
239075328,16,16
243269632,64,64
247463936,1184,1168
251658240,32,32
255852544,0,0
260046848,16,16
264241152,0,0
268435456,0,0
276824064,0,0
285212672,0,0
293601280,32,32
301989888,32,32
310378496,0,0
318767104,16,16
327155712,0,0
335544320,0,0
343932928,0,0
352321536,16,16
360710144,0,0
369098752,0,0
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,16,16
419430400,0,0
427819008,0,0
436207616,0,0
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
486539264,0,0
494927872,0,0
503316480,0,0
511705088,0,0
520093696,0,0
528482304,0,0
536870912,0,0
553648128,0,0
570425344,0,0
587202560,0,0
603979776,0,0
620756992,0,0
637534208,0,0
654311424,0,0
671088640,0,0
687865856,0,0
704643072,0,0
721420288,0,0
738197504,0,0
754974720,0,0
771751936,0,0
788529152,0,0
805306368,0,0
822083584,0,0
838860800,0,0
855638016,0,0
872415232,0,0
889192448,0,0
905969664,0,0
922746880,0,0
939524096,0,0
956301312,0,0
973078528,0,0
989855744,0,0
1006632960,0,0
1023410176,0,0
1040187392,0,0
1056964608,0,0
1073741824,0,0
1107296256,0,0
1140850688,0,0
1174405120,0,0
1207959552,0,0
1241513984,0,0
1275068416,0,0
1308622848,0,0
1342177280,0,0
1375731712,0,0
1409286144,0,0
1442840576,0,0
1476395008,0,0
1509949440,0,0
1543503872,0,0
1577058304,0,0
1610612736,0,0
1644167168,0,0
1677721600,0,0
1711276032,0,0
1744830464,0,0
1778384896,0,0
1811939328,0,0
1845493760,0,0
1879048192,0,0
1912602624,0,0
1946157056,0,0
1979711488,0,0
2013265920,0,0
2046820352,0,0
2080374784,0,0
2113929216,0,0
2147483648,0,0
2214592512,0,0
2281701376,0,0
2348810240,0,0
2415919104,0,0
2483027968,0,0
2550136832,0,0
2617245696,0,0
2684354560,0,0
2751463424,0,0
2818572288,0,0
2885681152,0,0
2952790016,0,0
3019898880,0,0
3087007744,0,0
3154116608,0,0
3221225472,0,0
3288334336,0,0
3355443200,0,0
3422552064,0,0
3489660928,0,0
3556769792,0,0
3623878656,0,0
3690987520,0,0
3758096384,0,0
3825205248,0,0
3892314112,0,0
3959422976,0,0
4026531840,0,0
4093640704,0,0
4160749568,0,0
4227858432,0,0
