reuse distance,histogram value,read histogram value
0,77348160,7857680
1,47818896,7576784
2,24169872,7783136
3,14702352,7119072
4,14590656,7758784
5,11194880,5288032
6,9925968,4533104
7,8294176,4360144
8,5687632,3391632
9,5130544,3624560
10,3630352,2544560
11,3111344,1944400
12,3155600,2059072
13,3259200,1780416
14,3284912,1517952
15,3112336,1239808
16,2865024,1767024
17,2535072,1296592
18,3141072,1944352
19,3376672,1811104
20,2811680,1589392
21,2436480,1551856
22,2280576,1676416
23,1681056,1226624
24,1526128,1124496
25,1368352,957776
26,1158032,872736
27,1451728,1038880
28,1325696,853344
29,1409104,907888
30,1271104,871264
31,1074384,771232
32,1241424,881760
33,1102160,732160
34,1133984,560320
35,824432,421360
36,921536,416416
37,888784,449824
38,786336,329152
39,814960,387872
40,834128,437424
41,1012240,573584
42,945600,425712
43,1008256,654304
44,1086176,640704
45,986288,629776
46,1086800,619920
47,1185072,736928
48,1183376,770848
49,1271584,776784
50,1178576,785664
51,1020864,657968
52,828112,513632
53,651008,387392
54,661936,421536
55,709440,412224
56,583680,346416
57,557184,309120
58,505216,279584
59,582272,354800
60,694544,521440
61,712896,523248
62,794320,610064
63,988384,713520
64,1831328,1308896
66,1712720,983632
68,1090032,553328
70,1071920,417888
72,994016,480784
74,977488,544352
76,916176,441248
78,778288,287872
80,762032,259040
82,841792,318304
84,864016,335680
86,732416,371920
88,693408,435840
90,580480,290336
92,592704,266592
94,692304,254416
96,443728,223856
98,428560,238928
100,487168,335168
102,662032,334752
104,575568,278976
106,713296,351136
108,843888,443712
110,601536,310224
112,598384,344000
114,463664,233968
116,404512,175008
118,460480,167216
120,318144,143456
122,374064,259280
124,331888,180656
126,245664,178400
128,638560,298112
132,449584,208832
136,541056,323952
140,372832,236368
144,377584,274336
148,340080,256576
152,269728,215376
156,209728,159744
160,375408,295328
164,439504,350576
168,513920,364784
172,448544,318896
176,576640,396240
180,485920,354768
184,361392,297584
188,397264,333440
192,454496,328992
196,431088,329392
200,344496,235136
204,260192,163088
208,306816,234672
212,339936,285296
216,320464,245552
220,260272,193168
224,335488,268112
228,412256,316032
232,450320,317360
236,460960,328176
240,518272,380704
244,421824,260784
248,410272,276624
252,348640,198304
256,564432,317392
264,568192,329872
272,574912,271280
280,739648,450736
288,580384,364592
296,703296,475568
304,1010992,727968
312,923552,580816
320,952016,581792
328,917392,538480
336,929520,551216
344,798080,571568
352,865024,598160
360,684368,496096
368,600560,449888
376,831056,671968
384,536080,393952
392,562816,471312
400,457456,399280
408,388640,336224
416,350176,311664
424,315984,237008
432,330624,182928
440,382864,174096
448,444912,182976
456,374800,157776
464,237264,104528
472,258480,121952
480,297216,122560
488,203856,59088
496,150480,31072
504,143760,31952
512,144480,29568
528,41104,26528
544,68448,25664
560,275760,63520
576,640896,188368
592,794080,265392
608,1004704,357328
624,1056992,352368
640,667712,204288
656,526528,267232
672,251456,102896
688,283472,186576
704,384816,273168
720,652992,555056
736,619392,524080
752,300896,211376
768,136544,54192
784,53472,10880
800,128688,122800
816,277648,277024
832,417280,416544
848,263616,258400
864,1076720,1072256
880,3895152,3876928
896,8975648,8708928
912,20582752,19724480
928,33321328,32469584
944,41437728,41233600
960,30687920,30668320
976,7911264,7819104
992,1261936,780320
1008,890944,130160
1024,3817744,1952112
1056,19751536,19624064
1088,18741744,18741728
1120,254208,253136
1152,11088,3216
1184,46768,33360
1216,52928,29088
1248,31456,20544
1280,31312,20224
1312,30080,1776
1344,54544,26192
1376,37536,16
1408,22640,4912
1440,26736,22368
1472,16032,640
1504,20272,4160
1536,9840,5536
1568,48,48
1600,7248,7248
1632,2416,2400
1664,5936,5936
1696,17616,17568
1728,32704,26432
1760,9536,6528
1792,8880,8880
1824,15344,15344
1856,41296,41280
1888,18640,8848
1920,19760,48
1952,16608,7392
1984,11456,11424
2016,656,656
2048,9088,9088
2112,91008,91008
2176,979072,945184
2240,2327040,2135712
2304,96,96
2368,0,0
2432,64,48
2496,0,0
2560,0,0
2624,16,16
2688,48,48
2752,0,0
2816,80,80
2880,80,80
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,0,0
3264,0,0
3328,0,0
3392,0,0
3456,0,0
3520,0,0
3584,0,0
3648,0,0
3712,0,0
3776,0,0
3840,0,0
3904,0,0
3968,32,32
4032,192,192
4096,128,96
4224,0,0
4352,48,48
4480,1136,1136
4608,16,16
4736,0,0
4864,0,0
4992,0,0
5120,0,0
5248,0,0
5376,0,0
5504,0,0
5632,0,0
5760,0,0
5888,0,0
6016,0,0
6144,0,0
6272,0,0
6400,16,16
6528,0,0
6656,16,16
6784,16,16
6912,0,0
7040,16,16
7168,0,0
7296,0,0
7424,0,0
7552,0,0
7680,0,0
7808,0,0
7936,0,0
8064,0,0
8192,0,0
8448,0,0
8704,16,16
8960,2016,2016
9216,0,0
9472,0,0
9728,0,0
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,32,32
11264,80,80
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,2240,2240
13568,96,96
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,288,288
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,800,800
18432,0,0
18944,0,0
19456,0,0
19968,864,864
20480,0,0
20992,0,0
21504,0,0
22016,1840,1840
22528,6112,6112
23040,16,16
23552,16,16
24064,0,0
24576,32,32
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,16,16
27648,16,16
28160,16,16
28672,32,32
29184,32,32
29696,0,0
30208,0,0
30720,0,0
31232,16,16
31744,16,0
32256,0,0
32768,0,0
33792,16,16
34816,0,0
35840,112,112
36864,0,0
37888,112,112
38912,0,0
39936,0,0
40960,0,0
41984,0,0
43008,0,0
44032,0,0
45056,16,16
46080,0,0
47104,16,16
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,288,288
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,0,0
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,23856,23856
147456,7880464,7880464
151552,587888,587888
155648,62624,62624
159744,560,560
163840,720,720
167936,839488,839488
172032,1625680,1625680
176128,83808,83808
180224,576,576
184320,0,0
188416,0,0
192512,0,0
196608,0,0
200704,0,0
204800,0,0
208896,0,0
212992,0,0
217088,0,0
221184,0,0
225280,0,0
229376,0,0
233472,0,0
237568,0,0
241664,0,0
245760,0,0
249856,0,0
253952,0,0
258048,0,0
262144,0,0
270336,0,0
278528,0,0
286720,0,0
294912,0,0
303104,0,0
311296,0,0
319488,0,0
327680,0,0
335872,0,0
344064,47920,47920
352256,213264,213264
360448,15872,15872
368640,5408,5408
376832,32,32
385024,0,0
393216,16,16
401408,0,0
409600,0,0
417792,0,0
425984,16,16
434176,0,0
442368,0,0
450560,0,0
458752,0,0
466944,0,0
475136,0,0
483328,0,0
491520,0,0
499712,0,0
507904,0,0
516096,0,0
524288,0,0
540672,0,0
557056,0,0
573440,0,0
589824,0,0
606208,0,0
622592,0,0
638976,0,0
655360,0,0
671744,0,0
688128,0,0
704512,0,0
720896,48,48
737280,48,48
753664,0,0
770048,16,16
786432,0,0
802816,0,0
819200,0,0
835584,0,0
851968,0,0
868352,0,0
884736,0,0
901120,0,0
917504,0,0
933888,0,0
950272,0,0
966656,0,0
983040,0,0
999424,0,0
1015808,0,0
1032192,0,0
1048576,0,0
1081344,48,48
1114112,32,32
1146880,0,0
1179648,0,0
1212416,0,0
1245184,0,0
1277952,0,0
1310720,0,0
1343488,0,0
1376256,0,0
1409024,0,0
1441792,0,0
1474560,64,64
1507328,32,32
1540096,32,32
1572864,0,0
1605632,0,0
1638400,0,0
1671168,0,0
1703936,0,0
1736704,0,0
1769472,0,0
1802240,0,0
1835008,32,32
1867776,32,32
1900544,0,0
1933312,0,0
1966080,0,0
1998848,0,0
2031616,0,0
2064384,0,0
2097152,0,0
2162688,16,16
2228224,144,144
2293760,0,0
2359296,0,0
2424832,0,0
2490368,0,0
2555904,16,16
2621440,0,0
2686976,0,0
2752512,0,0
2818048,0,0
2883584,0,0
2949120,32,32
3014656,0,0
3080192,0,0
3145728,0,0
3211264,0,0
3276800,0,0
3342336,64,64
3407872,0,0
3473408,0,0
3538944,0,0
3604480,0,0
3670016,0,0
3735552,208,208
3801088,0,0
3866624,0,0
3932160,0,0
3997696,0,0
4063232,16,16
4128768,0,0
4194304,0,0
4325376,0,0
4456448,0,0
4587520,0,0
4718592,0,0
4849664,0,0
4980736,0,0
5111808,0,0
5242880,0,0
5373952,0,0
5505024,0,0
5636096,0,0
5767168,0,0
5898240,0,0
6029312,0,0
6160384,0,0
6291456,0,0
6422528,0,0
6553600,0,0
6684672,0,0
6815744,0,0
6946816,0,0
7077888,0,0
7208960,0,0
7340032,0,0
7471104,0,0
7602176,0,0
7733248,0,0
7864320,0,0
7995392,0,0
8126464,0,0
8257536,0,0
8388608,0,0
8650752,0,0
8912896,0,0
9175040,0,0
9437184,0,0
9699328,0,0
9961472,0,0
10223616,0,0
10485760,0,0
10747904,0,0
11010048,0,0
11272192,0,0
11534336,0,0
11796480,0,0
12058624,0,0
12320768,0,0
12582912,0,0
12845056,0,0
13107200,0,0
13369344,0,0
13631488,0,0
13893632,0,0
14155776,0,0
14417920,0,0
14680064,0,0
14942208,0,0
15204352,0,0
15466496,0,0
15728640,0,0
15990784,0,0
16252928,0,0
16515072,0,0
16777216,0,0
17301504,0,0
17825792,0,0
18350080,0,0
18874368,0,0
19398656,0,0
19922944,0,0
20447232,0,0
20971520,0,0
21495808,0,0
22020096,0,0
22544384,0,0
23068672,0,0
23592960,0,0
24117248,0,0
24641536,0,0
25165824,2644960,2644960
25690112,5451312,5451312
26214400,74080,74080
26738688,75056,75056
27262976,73984,73984
27787264,74368,74368
28311552,70160,70160
28835840,75120,75120
29360128,723840,723840
29884416,1360032,1360032
30408704,0,0
30932992,0,0
31457280,0,0
31981568,0,0
32505856,0,0
33030144,0,0
33554432,0,0
34603008,0,0
35651584,0,0
36700160,0,0
37748736,0,0
38797312,0,0
39845888,0,0
40894464,0,0
41943040,0,0
42991616,0,0
44040192,0,0
45088768,0,0
46137344,0,0
47185920,0,0
48234496,0,0
49283072,0,0
50331648,0,0
51380224,0,0
52428800,0,0
53477376,0,0
54525952,0,0
55574528,0,0
56623104,0,0
57671680,0,0
58720256,0,0
59768832,0,0
60817408,0,0
61865984,0,0
62914560,0,0
63963136,0,0
65011712,0,0
66060288,0,0
67108864,0,0
69206016,0,0
71303168,0,0
73400320,0,0
75497472,0,0
77594624,0,0
79691776,0,0
81788928,0,0
83886080,0,0
85983232,0,0
88080384,0,0
90177536,0,0
92274688,0,0
94371840,0,0
96468992,0,0
98566144,0,0
100663296,0,0
102760448,0,0
104857600,0,0
106954752,0,0
109051904,0,0
111149056,0,0
113246208,0,0
115343360,0,0
117440512,0,0
119537664,0,0
121634816,0,0
123731968,0,0
125829120,0,0
127926272,0,0
130023424,0,0
132120576,0,0
134217728,0,0
138412032,0,0
142606336,0,0
146800640,0,0
150994944,0,0
155189248,0,0
159383552,0,0
163577856,0,0
167772160,0,0
171966464,0,0
176160768,0,0
180355072,0,0
184549376,0,0
188743680,0,0
192937984,0,0
197132288,0,0
201326592,0,0
205520896,0,0
209715200,0,0
213909504,0,0
218103808,0,0
222298112,0,0
226492416,0,0
230686720,0,0
234881024,0,0
239075328,0,0
243269632,0,0
247463936,0,0
251658240,0,0
255852544,0,0
260046848,0,0
264241152,0,0
268435456,0,0
276824064,0,0
285212672,0,0
293601280,0,0
301989888,0,0
310378496,0,0
318767104,0,0
327155712,0,0
335544320,0,0
343932928,0,0
352321536,0,0
360710144,0,0
369098752,0,0
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,0,0
419430400,0,0
427819008,0,0
436207616,0,0
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
486539264,0,0
494927872,0,0
503316480,0,0
511705088,0,0
520093696,0,0
528482304,0,0
536870912,0,0
553648128,0,0
570425344,0,0
587202560,0,0
603979776,0,0
620756992,0,0
637534208,0,0
654311424,0,0
671088640,0,0
687865856,0,0
704643072,0,0
721420288,0,0
738197504,0,0
754974720,0,0
771751936,0,0
788529152,0,0
805306368,0,0
822083584,0,0
838860800,0,0
855638016,0,0
872415232,0,0
889192448,0,0
905969664,0,0
922746880,0,0
939524096,0,0
956301312,0,0
973078528,0,0
989855744,0,0
1006632960,0,0
1023410176,0,0
1040187392,0,0
1056964608,0,0
1073741824,0,0
1107296256,0,0
1140850688,0,0
1174405120,0,0
1207959552,0,0
1241513984,0,0
1275068416,0,0
1308622848,0,0
1342177280,0,0
1375731712,0,0
1409286144,0,0
1442840576,0,0
1476395008,0,0
1509949440,0,0
1543503872,0,0
1577058304,0,0
1610612736,0,0
1644167168,0,0
1677721600,0,0
1711276032,0,0
1744830464,0,0
1778384896,0,0
1811939328,0,0
1845493760,0,0
1879048192,0,0
1912602624,0,0
1946157056,0,0
1979711488,0,0
2013265920,0,0
2046820352,0,0
2080374784,0,0
2113929216,0,0
2147483648,0,0
2214592512,0,0
2281701376,0,0
2348810240,0,0
2415919104,0,0
2483027968,0,0
2550136832,0,0
2617245696,0,0
2684354560,0,0
2751463424,0,0
2818572288,0,0
2885681152,0,0
2952790016,0,0
3019898880,0,0
3087007744,0,0
3154116608,0,0
3221225472,0,0
3288334336,0,0
3355443200,0,0
3422552064,0,0
3489660928,0,0
3556769792,0,0
3623878656,0,0
3690987520,0,0
3758096384,0,0
3825205248,0,0
3892314112,0,0
3959422976,0,0
4026531840,0,0
4093640704,0,0
4160749568,0,0
4227858432,0,0
