reuse distance,histogram value,read histogram value
0,78812496,9342736
1,49587200,10642608
2,25499856,9315488
3,13894240,6991008
4,15183104,6086528
5,10808000,5544720
6,3172976,2624288
7,2604032,1933088
8,2043392,640928
9,4315296,1968752
10,2797872,2054848
11,6030944,2859872
12,2397840,1236400
13,1435840,266256
14,1200016,164256
15,744624,87728
16,592736,81104
17,682336,180032
18,1141824,691920
19,1149024,525040
20,4017920,1244304
21,1135632,141808
22,3495248,1117424
23,2801664,92304
24,3142032,1251824
25,1019040,84752
26,689232,140832
27,770992,78320
28,1575456,67712
29,1690864,122576
30,1781280,159968
31,1911056,713312
32,2342656,1410608
33,4809296,3538624
34,2664832,1061840
35,2463488,595904
36,1503040,428080
37,1432448,762880
38,879792,381584
39,664128,122608
40,605056,131552
41,605792,108144
42,678752,188800
43,855584,426960
44,1081856,587088
45,1167600,254128
46,1675280,1098112
47,1073808,251520
48,614464,116992
49,1847408,175168
50,352704,85584
51,641360,357664
52,456336,266896
53,1923216,702720
54,449328,261168
55,1062304,252544
56,682880,152624
57,1149600,581056
58,927616,193248
59,627904,82128
60,450240,110720
61,837056,56592
62,934480,52816
63,671376,69008
64,354032,110880
66,763152,633856
68,655408,546336
70,469792,321936
72,376576,109136
74,354320,86960
76,352080,185984
78,403584,204384
80,583536,424688
82,844208,646288
84,1272592,560080
86,990544,418016
88,1274352,289088
90,1414640,255696
92,2291664,1248032
94,2522560,1004016
96,1652896,444560
98,2083216,1223184
100,1605952,439040
102,878992,256512
104,381072,95968
106,385712,88048
108,276592,93920
110,326208,110976
112,225152,72528
114,235808,64768
116,268992,70944
118,249440,61376
120,213312,56704
122,165440,62688
124,170720,45952
126,157728,49440
128,249232,86464
132,179008,73968
136,167232,64576
140,154224,56704
144,144592,44064
148,104688,32304
152,112848,36000
156,119856,22928
160,137632,21312
164,97248,19712
168,78256,17136
172,169040,20384
176,1064400,27280
180,818912,16768
184,715504,11568
188,1495312,11856
192,1052256,14080
196,1758432,8784
200,1272432,7120
204,68832,7104
208,32816,7280
212,20352,6720
216,33392,8800
220,46544,9136
224,49056,11632
228,52848,13040
232,44528,12560
236,43232,10320
240,46096,10512
244,42864,12048
248,31408,10752
252,27024,11328
256,85552,29216
264,106688,26288
272,94160,31280
280,97728,29136
288,84656,28688
296,91872,36336
304,113504,30944
312,99184,34560
320,103312,33696
328,86096,33536
336,83760,36896
344,109232,32720
352,96032,33920
360,89664,31776
368,88752,32608
376,66400,30032
384,90480,27712
392,84560,24544
400,74448,24032
408,75264,25248
416,53136,21952
424,52704,17296
432,64800,15360
440,52880,15120
448,55216,15024
456,39648,12048
464,31904,10336
472,33984,8048
480,28576,7648
488,29872,7200
496,26288,6160
504,16320,5168
512,22240,6528
528,20192,5504
544,14144,4048
560,8240,3040
576,9184,2672
592,7456,2880
608,6800,2576
624,7424,2448
640,6672,2704
656,8192,2496
672,8016,2624
688,5392,1856
704,6576,1936
720,5776,2016
736,4448,1328
752,5360,1424
768,3632,1136
784,3120,912
800,3520,1024
816,2032,672
832,2128,528
848,2048,512
864,1344,416
880,1600,384
896,1104,240
912,832,208
928,880,192
944,704,160
960,592,192
976,384,64
992,352,96
1008,448,144
1024,704,304
1056,624,176
1088,544,128
1120,624,256
1152,448,160
1184,160,80
1216,304,112
1248,96,48
1280,192,80
1312,48,16
1344,64,48
1376,0,0
1408,112,64
1440,32,0
1472,32,0
1504,64,16
1536,16,0
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,0,0
1856,0,0
1888,0,0
1920,0,0
1952,0,0
1984,0,0
2016,0,0
2048,0,0
2112,0,0
2176,0,0
2240,0,0
2304,0,0
2368,0,0
2432,0,0
2496,0,0
2560,0,0
2624,0,0
2688,0,0
2752,0,0
2816,0,0
2880,0,0
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,0,0
3264,0,0
3328,0,0
3392,0,0
3456,0,0
3520,0,0
3584,0,0
3648,0,0
3712,0,0
3776,0,0
3840,0,0
3904,16,0
3968,32,0
4032,256,0
4096,167408,0
4224,35408,0
4352,29616,0
4480,35552,0
4608,4416,0
4736,4160,0
4864,4240,0
4992,4208,0
5120,4016,0
5248,4528,0
5376,4464,0
5504,4192,0
5632,5856,0
5760,6256,0
5888,8400,0
6016,12800,0
6144,18768,0
6272,27760,0
6400,38160,0
6528,52240,0
6656,73216,0
6784,93984,0
6912,125040,0
7040,174144,0
7168,213536,0
7296,268912,0
7424,349776,0
7552,432832,0
7680,523936,0
7808,642480,0
7936,737856,0
8064,858496,0
8192,2027472,0
8448,2583456,416
8704,3060032,0
8960,3394240,256
9216,3724144,0
9472,3802128,0
9728,3749808,0
9984,3530464,0
10240,3160000,0
10496,2772304,0
10752,2368512,0
11008,1909712,0
11264,1505776,0
11520,1198048,0
11776,904192,0
12032,654464,0
12288,484176,0
12544,355840,0
12800,260320,0
13056,208224,0
13312,169808,0
13568,144832,0
13824,141408,0
14080,132080,0
14336,133488,0
14592,146352,0
14848,157728,0
15104,167440,0
15360,173696,0
15616,195056,0
15872,208704,0
16128,222192,0
16384,515776,0
16896,605376,0
17408,754224,0
17920,874400,0
18432,952624,0
18944,901392,0
19456,1878576,0
19968,811936,0
20480,591472,0
20992,527232,0
21504,436912,0
22016,359280,0
22528,276960,0
23040,221600,0
23552,161824,0
24064,114752,0
24576,82032,0
25088,60016,0
25600,46496,0
26112,38560,0
26624,27872,0
27136,23728,0
27648,21296,0
28160,21056,0
28672,21408,0
29184,19056,0
29696,19472,0
30208,19600,0
30720,18704,0
31232,18496,0
31744,17440,0
32256,17760,0
32768,33600,0
33792,31104,0
34816,38256,0
35840,45072,0
36864,34240,0
37888,12464,0
38912,218096,0
39936,13584,0
40960,0,0
41984,0,0
43008,0,0
44032,0,0
45056,0,0
46080,0,0
47104,0,0
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,0,0
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,0,0
147456,0,0
151552,0,0
155648,0,0
159744,0,0
163840,0,0
167936,0,0
172032,0,0
176128,0,0
180224,0,0
184320,0,0
188416,0,0
192512,0,0
196608,0,0
200704,0,0
204800,0,0
208896,0,0
212992,0,0
217088,0,0
221184,0,0
225280,0,0
229376,0,0
233472,0,0
237568,0,0
241664,0,0
245760,0,0
249856,0,0
253952,0,0
258048,0,0
262144,0,0
270336,0,0
278528,0,0
286720,0,0
294912,0,0
303104,0,0
311296,0,0
319488,0,0
327680,0,0
335872,0,0
344064,0,0
352256,0,0
360448,0,0
368640,0,0
376832,0,0
385024,0,0
393216,0,0
401408,0,0
409600,0,0
417792,0,0
425984,0,0
434176,0,0
442368,0,0
450560,0,0
458752,0,0
466944,0,0
475136,0,0
483328,0,0
491520,0,0
499712,0,0
507904,0,0
516096,0,0
524288,0,0
540672,0,0
557056,0,0
573440,0,0
589824,0,0
606208,0,0
622592,0,0
638976,0,0
655360,0,0
671744,0,0
688128,0,0
704512,0,0
720896,0,0
737280,0,0
753664,0,0
770048,0,0
786432,0,0
802816,0,0
819200,0,0
835584,0,0
851968,0,0
868352,0,0
884736,0,0
901120,0,0
917504,0,0
933888,0,0
950272,0,0
966656,0,0
983040,0,0
999424,0,0
1015808,0,0
1032192,0,0
1048576,0,0
1081344,0,0
1114112,0,0
1146880,0,0
1179648,0,0
1212416,0,0
1245184,0,0
1277952,0,0
1310720,0,0
1343488,0,0
1376256,0,0
1409024,0,0
1441792,0,0
1474560,0,0
1507328,0,0
1540096,0,0
1572864,0,0
1605632,2400,0
1638400,58096,0
1671168,187200,0
1703936,276544,0
1736704,180672,0
1769472,210752,0
1802240,130896,0
1835008,102080,0
1867776,403088,0
1900544,2937360,0
1933312,8165408,0
1966080,12995872,0
1998848,7696864,0
2031616,3636688,0
2064384,3045744,0
2097152,2846848,0
2162688,543632,0
2228224,165056,0
2293760,195904,0
2359296,147680,0
2424832,38224,0
2490368,34912,0
2555904,38928,0
2621440,40384,0
2686976,29824,0
2752512,29680,0
2818048,27712,0
2883584,26864,0
2949120,25184,0
3014656,35680,0
3080192,25744,0
3145728,24096,0
3211264,22976,0
3276800,22160,0
3342336,21200,0
3407872,22304,0
3473408,22288,0
3538944,20256,0
3604480,44656,0
3670016,46480,0
3735552,40720,0
3801088,40800,0
3866624,730496,0
3932160,243744,0
3997696,0,0
4063232,0,0
4128768,0,0
4194304,0,0
4325376,0,0
4456448,0,0
4587520,0,0
4718592,0,0
4849664,0,0
4980736,0,0
5111808,0,0
5242880,0,0
5373952,0,0
5505024,0,0
5636096,0,0
5767168,0,0
5898240,0,0
6029312,0,0
6160384,0,0
6291456,0,0
6422528,0,0
6553600,0,0
6684672,0,0
6815744,0,0
6946816,0,0
7077888,0,0
7208960,0,0
7340032,0,0
7471104,0,0
7602176,0,0
7733248,0,0
7864320,0,0
7995392,0,0
8126464,0,0
8257536,0,0
8388608,0,0
8650752,0,0
8912896,0,0
9175040,0,0
9437184,0,0
9699328,0,0
9961472,0,0
10223616,0,0
10485760,0,0
10747904,0,0
11010048,0,0
11272192,0,0
11534336,0,0
11796480,0,0
12058624,0,0
12320768,0,0
12582912,0,0
12845056,0,0
13107200,0,0
13369344,0,0
13631488,0,0
13893632,0,0
14155776,0,0
14417920,0,0
14680064,0,0
14942208,0,0
15204352,0,0
15466496,0,0
15728640,0,0
15990784,0,0
16252928,0,0
16515072,0,0
16777216,0,0
17301504,0,0
17825792,0,0
18350080,0,0
18874368,0,0
19398656,0,0
19922944,0,0
20447232,0,0
20971520,0,0
21495808,0,0
22020096,0,0
22544384,0,0
23068672,0,0
23592960,0,0
24117248,0,0
24641536,0,0
25165824,0,0
25690112,0,0
26214400,0,0
26738688,0,0
27262976,0,0
27787264,0,0
28311552,0,0
28835840,0,0
29360128,0,0
29884416,0,0
30408704,0,0
30932992,0,0
31457280,0,0
31981568,0,0
32505856,0,0
33030144,0,0
33554432,0,0
34603008,0,0
35651584,0,0
36700160,0,0
37748736,0,0
38797312,0,0
39845888,0,0
40894464,0,0
41943040,0,0
42991616,0,0
44040192,0,0
45088768,0,0
46137344,0,0
47185920,0,0
48234496,0,0
49283072,0,0
50331648,0,0
51380224,0,0
52428800,0,0
53477376,0,0
54525952,0,0
55574528,0,0
56623104,0,0
57671680,0,0
58720256,0,0
59768832,0,0
60817408,0,0
61865984,0,0
62914560,0,0
63963136,0,0
65011712,0,0
66060288,0,0
67108864,0,0
69206016,0,0
71303168,0,0
73400320,0,0
75497472,0,0
77594624,0,0
79691776,0,0
81788928,0,0
83886080,0,0
85983232,0,0
88080384,0,0
90177536,0,0
92274688,0,0
94371840,0,0
96468992,0,0
98566144,0,0
100663296,0,0
102760448,0,0
104857600,0,0
106954752,0,0
109051904,0,0
111149056,0,0
113246208,0,0
115343360,0,0
117440512,0,0
119537664,0,0
121634816,0,0
123731968,0,0
125829120,0,0
127926272,0,0
130023424,0,0
132120576,0,0
134217728,0,0
138412032,0,0
142606336,0,0
146800640,0,0
150994944,0,0
155189248,0,0
159383552,0,0
163577856,0,0
167772160,0,0
171966464,0,0
176160768,0,0
180355072,0,0
184549376,0,0
188743680,0,0
192937984,0,0
197132288,0,0
201326592,0,0
205520896,0,0
209715200,0,0
213909504,0,0
218103808,0,0
222298112,0,0
226492416,0,0
230686720,0,0
234881024,0,0
239075328,0,0
243269632,0,0
247463936,0,0
251658240,0,0
255852544,0,0
260046848,0,0
264241152,0,0
268435456,0,0
276824064,0,0
285212672,0,0
293601280,0,0
301989888,0,0
310378496,0,0
318767104,0,0
327155712,0,0
335544320,0,0
343932928,0,0
352321536,0,0
360710144,0,0
369098752,0,0
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,0,0
419430400,0,0
427819008,0,0
436207616,0,0
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
486539264,0,0
494927872,0,0
503316480,0,0
511705088,0,0
520093696,0,0
528482304,0,0
536870912,0,0
553648128,0,0
570425344,0,0
587202560,0,0
603979776,0,0
620756992,0,0
637534208,0,0
654311424,0,0
671088640,0,0
687865856,0,0
704643072,0,0
721420288,0,0
738197504,0,0
754974720,0,0
771751936,0,0
788529152,0,0
805306368,0,0
822083584,0,0
838860800,0,0
855638016,0,0
872415232,0,0
889192448,0,0
905969664,0,0
922746880,0,0
939524096,0,0
956301312,0,0
973078528,0,0
989855744,0,0
1006632960,0,0
1023410176,0,0
1040187392,0,0
1056964608,0,0
1073741824,0,0
1107296256,0,0
1140850688,0,0
1174405120,0,0
1207959552,0,0
1241513984,0,0
1275068416,0,0
1308622848,0,0
1342177280,0,0
1375731712,0,0
1409286144,0,0
1442840576,0,0
1476395008,0,0
1509949440,0,0
1543503872,0,0
1577058304,0,0
1610612736,0,0
1644167168,0,0
1677721600,0,0
1711276032,0,0
1744830464,0,0
1778384896,0,0
1811939328,0,0
1845493760,0,0
1879048192,0,0
1912602624,0,0
1946157056,0,0
1979711488,0,0
2013265920,0,0
2046820352,0,0
2080374784,0,0
2113929216,0,0
2147483648,0,0
2214592512,0,0
2281701376,0,0
2348810240,0,0
2415919104,0,0
2483027968,0,0
2550136832,0,0
2617245696,0,0
2684354560,0,0
2751463424,0,0
2818572288,0,0
2885681152,0,0
2952790016,0,0
3019898880,0,0
3087007744,0,0
3154116608,0,0
3221225472,0,0
3288334336,0,0
3355443200,0,0
3422552064,0,0
3489660928,0,0
3556769792,0,0
3623878656,0,0
3690987520,0,0
3758096384,0,0
3825205248,0,0
3892314112,0,0
3959422976,0,0
4026531840,0,0
4093640704,0,0
4160749568,0,0
4227858432,0,0
