reuse distance,histogram value,read histogram value
0,162396368,9884816
1,42350688,14003264
2,28362960,12267856
3,24227328,12100656
4,21692864,12086784
5,19701936,10184224
6,16817120,9233008
7,16327680,8340160
8,13750128,7408176
9,13245472,7936048
10,10789952,5603024
11,10218992,6144080
12,8219168,3882784
13,6401872,3352032
14,6521952,3369280
15,6494384,3591040
16,5524768,3077472
17,5038432,2851904
18,4721152,2537264
19,4885952,2998176
20,3630816,1895792
21,3951872,1924176
22,3728624,1821504
23,3666432,2011648
24,3398864,1714976
25,3404176,1975072
26,3037216,1711344
27,2863536,1566096
28,2727696,1410000
29,2493056,1291088
30,2285728,1318368
31,2157568,1259328
32,2392624,1457440
33,2006288,1052352
34,2285520,1289376
35,1912464,928176
36,1854208,1065344
37,2165488,1350416
38,1834736,1034400
39,1723808,965904
40,1657056,904416
41,1597648,885504
42,1620864,907120
43,1632912,962288
44,1657840,953936
45,1663280,827744
46,1439936,703680
47,1321696,726496
48,1181808,630288
49,1180256,625664
50,1109424,620080
51,1106048,687824
52,898416,534736
53,952112,570464
54,1044752,625728
55,1001808,530448
56,970816,482624
57,904528,463568
58,927344,484304
59,1041024,595728
60,1099088,672224
61,1005600,610544
62,899424,471376
63,968560,492000
64,1765168,951728
66,1651920,965456
68,1770912,1173568
70,1541040,1033360
72,1429040,892880
74,1295552,854816
76,1183616,786512
78,1083328,616992
80,1211840,733504
82,1190112,747952
84,1029088,603936
86,987360,624896
88,943344,587440
90,939968,568464
92,984896,598592
94,881088,568256
96,845600,540560
98,961968,628112
100,927712,599792
102,908240,617216
104,945440,598240
106,954176,555424
108,975184,603552
110,836352,528128
112,828496,581952
114,1033680,803056
116,841264,643056
118,654032,484896
120,562320,426112
122,563168,434720
124,558816,443680
126,554192,466688
128,1112432,978256
132,920048,813968
136,835568,725168
140,910208,789552
144,867712,760000
148,898784,773424
152,849648,717536
156,729392,610624
160,652752,564848
164,737712,649264
168,638960,517280
172,598160,486672
176,610096,502672
180,722176,617056
184,802096,703232
188,724688,598480
192,653088,487376
196,569168,419712
200,562624,446352
204,571776,466320
208,597664,505728
212,705424,622592
216,878208,803264
220,895568,824912
224,887712,813072
228,821600,757200
232,721968,659424
236,670560,606704
240,718336,654176
244,667152,598864
248,661552,592224
252,672992,600144
256,1289264,1138384
264,1415664,1271712
272,1460800,1319104
280,1371600,1240928
288,1279008,1119808
296,1276384,1097200
304,1249696,1065136
312,1215296,949200
320,1035424,818800
328,1052112,822448
336,1143360,908672
344,1030464,794672
352,907632,656912
360,920304,611072
368,879728,620704
376,902048,705792
384,920640,737024
392,1026944,831296
400,1070080,860816
408,1244944,1057280
416,1329504,1154480
424,1384016,1186224
432,1490288,1218640
440,1447536,1205728
448,1424528,1183824
456,1346816,1106176
464,1216736,980048
472,1129584,902080
480,1013392,788960
488,1033536,745344
496,901216,701984
504,786256,674992
512,1601600,1472576
528,2141840,2014400
544,2987776,2775120
560,4292480,3944320
576,3985472,3736416
592,2012432,1887648
608,1943536,1831168
624,2339376,2223712
640,3022288,2901632
656,3869488,3735200
672,3847136,3695680
688,3554144,3325216
704,3390464,3192048
720,2633616,2501088
736,1803072,1722464
752,1244304,1166912
768,899504,810048
784,729264,612000
800,739792,623088
816,892768,793360
832,1039888,938992
848,1111504,1005216
864,1081984,981504
880,937632,852032
896,644288,588720
912,379936,352592
928,202960,189312
944,120480,111840
960,93280,86144
976,84864,77552
992,84448,75280
1008,89648,74384
1024,173568,144976
1056,92816,79152
1088,90400,82048
1120,141376,132944
1152,139648,132512
1184,116640,107232
1216,127968,116384
1248,206768,186512
1280,307440,279744
1312,385968,358528
1344,473040,437632
1376,566768,528656
1408,515088,476736
1440,255136,237184
1472,135968,123904
1504,113680,105184
1536,102752,96624
1568,90240,80048
1600,86416,74352
1632,90016,83616
1664,103360,97552
1696,98176,92064
1728,80736,75600
1760,63024,58544
1792,45648,41680
1824,41488,37536
1856,48480,45136
1888,64576,59680
1920,104592,98768
1952,149232,141520
1984,145440,136928
2016,130560,122896
2048,306912,288256
2112,310144,286896
2176,186576,169776
2240,147024,136816
2304,132368,123728
2368,131632,123520
2432,139824,132480
2496,151104,145152
2560,168272,160384
2624,202944,187888
2688,185168,170752
2752,220368,207664
2816,220384,209168
2880,146448,137600
2944,110912,105472
3008,102208,94768
3072,96800,90272
3136,116256,110080
3200,142432,136832
3264,175504,167312
3328,179376,169440
3392,167312,156976
3456,155824,146736
3520,145856,136320
3584,121584,113392
3648,108240,101648
3712,93104,87888
3776,81024,75824
3840,86848,82800
3904,114160,109904
3968,140608,134352
4032,144464,136464
4096,255376,239408
4224,174320,164208
4352,133984,124096
4480,156352,144416
4608,195568,183056
4736,181856,164688
4864,171120,156528
4992,124400,115104
5120,114672,107072
5248,155200,146000
5376,169760,158448
5504,152624,140480
5632,121776,111584
5760,134832,123648
5888,139664,129984
6016,160592,149792
6144,167792,155168
6272,170128,158912
6400,180272,172160
6528,269200,262880
6656,360608,353200
6784,372816,363568
6912,223568,213696
7040,124096,113872
7168,94960,87264
7296,88832,81264
7424,95168,87216
7552,100960,90784
7680,91696,81232
7808,91904,81792
7936,93168,82640
8064,93920,84160
8192,204640,186080
8448,223104,204304
8704,265312,249664
8960,219856,204672
9216,190512,180032
9472,190960,180672
9728,171936,158672
9984,164320,154736
10240,166096,155424
10496,152032,142352
10752,145424,137280
11008,139184,129792
11264,132768,124304
11520,120176,112592
11776,117648,108864
12032,113728,106800
12288,102720,95904
12544,98752,91840
12800,94480,88464
13056,88704,81184
13312,83424,76416
13568,83072,76256
13824,78112,71568
14080,73488,66768
14336,69744,63616
14592,66816,60480
14848,66144,60832
15104,62864,57312
15360,68128,61456
15616,62144,56160
15872,65872,59920
16128,61984,56992
16384,124320,113664
16896,119920,110864
17408,122784,113088
17920,126144,117152
18432,119296,111088
18944,110896,103168
19456,108848,101376
19968,104864,97152
20480,96992,90096
20992,91136,84192
21504,84928,78304
22016,86672,80272
22528,81120,74800
23040,79536,73296
23552,80656,74352
24064,75840,69232
24576,75344,69712
25088,74048,68448
25600,70736,65200
26112,68448,63264
26624,65712,60320
27136,64128,58928
27648,62352,57024
28160,59712,54384
28672,58704,53376
29184,55104,50672
29696,54912,49952
30208,51328,46560
30720,51040,46592
