reuse distance,histogram value,read histogram value
0,64533584,55432592
1,34658944,34122848
2,15565680,15008368
3,23828144,23306704
4,9802096,9511936
5,7763744,2395808
6,5748352,4007456
7,4165328,4125552
8,748800,702208
9,1894128,601680
10,4589872,434688
11,1630320,297840
12,685056,416208
13,6302384,5885472
14,3012592,2540448
15,1142496,821536
16,567648,362944
17,818320,726400
18,4529152,4489360
19,2022848,2007760
20,627936,624336
21,694752,692240
22,561728,559152
23,1840432,1838128
24,4243616,4239680
25,4712176,4706064
26,3359792,3356752
27,2538304,2532416
28,1770112,1765312
29,861744,856928
30,532640,529200
31,542576,432704
32,1745312,423104
33,3461184,513440
34,3305728,1440432
35,2196608,1764992
36,2157952,2134448
37,10205712,10193344
38,22012496,21984240
39,19973520,19911808
40,8720768,8636032
41,3031328,2907536
42,2256128,2071536
43,2121408,1919264
44,2184672,1962448
45,1843648,1653728
46,1229712,1091472
47,536384,471760
48,261280,229968
49,232800,208240
50,295856,265680
51,478560,427056
52,662688,594928
53,831296,742800
54,919456,820400
55,884576,782944
56,769040,678672
57,626304,551856
58,473888,417600
59,326064,285792
60,200640,171984
61,105824,88400
62,51664,44112
63,22400,18624
64,19664,16352
66,16864,15568
68,14656,12128
70,10800,8240
72,6656,5232
74,6000,5248
76,3936,3056
78,3312,2752
80,1952,1728
82,3664,3248
84,2112,848
86,1984,864
88,1168,544
90,2416,1616
92,3600,2208
94,1664,1424
96,848,736
98,1072,1072
100,656,656
102,304,288
104,160,160
106,416,400
108,128,80
110,640,464
112,768,336
114,1264,800
116,1936,1136
118,1472,688
120,176,96
122,1440,1360
124,400,352
126,32,32
128,288,272
132,272,272
136,496,496
140,48,48
144,64,64
148,48,48
152,128,128
156,880,880
160,1296,1296
164,720,720
168,704,704
172,1520,1520
176,976,976
180,208,208
184,160,160
188,592,592
192,480,480
196,288,288
200,272,272
204,416,416
208,640,640
212,1024,1024
216,1616,1616
220,864,864
224,368,368
228,112,112
232,80,80
236,160,160
240,336,336
244,32,32
248,32,32
252,80,80
256,192,192
264,448,448
272,224,224
280,32,32
288,32,32
296,144,144
304,176,176
312,816,816
320,1168,1168
328,1088,1072
336,1680,1680
344,1024,1024
352,1072,1072
360,3232,3232
368,2768,2768
376,2112,2112
384,1440,1440
392,2816,2816
400,2080,2080
408,1616,1600
416,1232,1232
424,1072,1072
432,736,736
440,1680,1680
448,1584,1584
456,2000,1984
464,512,304
472,832,48
480,2048,1264
488,2480,2416
496,2272,2272
504,608,608
512,2480,2480
528,1040,976
544,384,256
560,1632,320
576,224,32
592,64,16
608,32,32
624,16,16
640,32,32
656,32,32
672,32,32
688,32,16
704,32,32
720,0,0
736,0,0
752,16,0
768,32,32
784,16,0
800,496,496
816,544,544
832,2288,2288
848,1536,1536
864,304,304
880,240,240
896,256,256
912,608,608
928,960,960
944,720,720
960,624,624
976,160,160
992,64,64
1008,80,80
1024,80,64
1056,64,48
1088,48,48
1120,128,128
1152,64,64
1184,624,624
1216,1056,1056
1248,880,864
1280,432,432
1312,112,112
1344,496,480
1376,784,768
1408,464,464
1440,240,240
1472,160,144
1504,192,192
1536,64,64
1568,48,48
1600,160,160
1632,128,128
1664,48,32
1696,112,112
1728,64,64
1760,112,112
1792,560,560
1824,352,352
1856,1408,1408
1888,1056,1056
1920,256,256
1952,352,352
1984,80,80
2016,304,304
2048,720,704
2112,576,576
2176,672,672
2240,464,448
2304,288,288
2368,448,432
2432,576,576
2496,352,352
2560,464,448
2624,672,672
2688,672,640
2752,1152,1152
2816,1760,1744
2880,656,656
2944,432,432
3008,576,560
3072,1040,1024
3136,832,816
3200,720,720
3264,416,416
3328,1232,1200
3392,1504,1504
3456,464,448
3520,1760,1760
3584,704,672
3648,528,528
3712,976,976
3776,1328,1328
3840,1056,1040
3904,1280,1248
3968,864,864
4032,448,448
4096,2064,2064
4224,2544,2528
4352,1472,1472
4480,1392,1392
4608,1680,1648
4736,1984,1984
4864,2128,2080
4992,2192,2192
5120,2272,2256
5248,1584,1584
5376,1776,1776
5504,1888,1888
5632,3008,2992
5760,1552,1520
5888,3104,3088
6016,1872,1872
6144,5616,5568
6272,2016,2000
6400,2832,2800
6528,2928,2912
6656,2640,2640
6784,3760,3744
6912,5808,5808
7040,1632,1632
7168,1312,1312
7296,2256,2224
7424,1632,1600
7552,2640,2640
7680,3136,3136
7808,4256,4256
7936,2960,2944
8064,2224,2192
8192,5696,5664
8448,7216,7184
8704,3696,3632
8960,8640,8592
9216,8992,8928
9472,5008,4992
9728,8784,8768
9984,5376,5376
10240,10160,10128
10496,9408,9392
10752,7056,7008
11008,7728,7696
11264,10592,10592
11520,9008,8976
11776,7024,6976
12032,11952,11936
12288,9568,9552
12544,10624,10608
12800,9120,9104
13056,5520,5488
13312,11008,10976
13568,12080,12048
13824,10688,10656
14080,16176,16144
14336,14144,14144
14592,4176,4144
14848,7968,7936
15104,12080,12032
15360,12640,12640
15616,9616,9552
15872,8416,8384
16128,6848,6816
16384,29456,29376
16896,28352,28336
17408,23968,23936
17920,19888,19856
18432,32544,32448
18944,28752,28736
19456,28128,28064
19968,37168,37120
20480,20976,20912
20992,32544,32496
21504,38048,37984
22016,24880,24848
22528,34384,34304
23040,40176,40112
23552,39008,38960
24064,32816,32784
24576,50176,50128
25088,41232,41200
25600,22208,22176
26112,38944,38912
26624,32304,32208
27136,46000,45888
27648,41520,41520
28160,46512,46480
28672,44320,44304
29184,36864,36800
29696,29600,29584
30208,41344,41280
30720,63680,63616
31232,44080,44000
31744,51136,51072
32256,46464,46416
32768,105264,105168
33792,111968,111888
34816,112800,112736
35840,93840,93728
36864,124800,124672
37888,107328,107248
38912,94272,94208
39936,118544,118432
40960,141936,141792
41984,123104,123040
43008,97504,97360
44032,130880,130784
45056,78816,78736
46080,101408,101296
47104,125264,125200
48128,123408,123248
49152,131520,131376
50176,164032,163920
51200,166752,166608
52224,104624,104592
53248,161280,161168
54272,243600,243520
55296,149024,148848
56320,200288,200112
57344,214400,214288
58368,143040,142960
59392,133216,133168
60416,204656,204544
61440,245904,245728
62464,263584,263440
63488,348032,347808
64512,428832,428576
65536,815168,814736
67584,848704,848368
69632,667056,666704
71680,563408,563152
73728,622304,622144
75776,549216,549008
77824,731280,731088
79872,743504,743264
81920,647584,647440
83968,600400,600192
86016,620368,620208
88064,668432,668288
90112,700880,700672
92160,792560,792368
94208,620704,620496
96256,645984,645744
98304,807904,807648
100352,759776,759664
102400,847344,847088
104448,777632,777392
106496,739904,739696
108544,847696,847552
110592,833792,833616
112640,737712,737536
114688,912800,912560
116736,1162144,1162016
118784,989984,989856
120832,830384,830160
122880,927520,927376
124928,903696,903504
126976,848752,848528
129024,1060368,1060176
131072,1895040,1894688
135168,2075536,2075024
139264,1909504,1909104
143360,2171680,2171296
147456,2150032,2149568
151552,1985040,1984640
155648,936144,936080
159744,178048,178016
163840,0,0
167936,0,0
172032,32,16
176128,0,0
180224,0,0
184320,32,16
188416,16,0
192512,32,0
196608,16,0
