reuse distance,histogram value,read histogram value
0,91018048,19062496
1,40908768,26202512
2,20411696,12550912
3,17043152,11470832
4,13084816,7988976
5,9761680,7305360
6,9264480,7087248
7,13856336,9432736
8,5343856,3615472
9,4376352,2698304
10,2542368,1604736
11,1776736,1006128
12,1735488,1045536
13,1739984,1129936
14,3173072,2537488
15,2228512,1393632
16,1248096,827824
17,1498336,971136
18,1672656,1263440
19,1365216,928560
20,1581184,1240176
21,1413776,1071488
22,1441920,1069712
23,957648,740224
24,1461600,1053168
25,1137984,757328
26,776096,592080
27,784416,520272
28,615568,336848
29,413904,273744
30,486432,359072
31,454832,303056
32,361264,184320
33,479728,304208
34,697152,403760
35,687568,537392
36,560560,414080
37,414176,334448
38,458656,372320
39,474912,357776
40,449088,335648
41,493008,348736
42,431200,287408
43,414432,323840
44,486944,313360
45,418880,204912
46,452992,284880
47,348192,214032
48,342096,270128
49,421248,324672
50,372976,209328
51,306048,221232
52,310768,238128
53,314960,246032
54,263408,145856
55,213248,148480
56,275216,191744
57,241552,166592
58,310176,251392
59,223328,166880
60,222112,138112
61,249024,172656
62,209952,150032
63,210624,155024
64,443872,325568
66,400192,301792
68,417200,272000
70,378896,219936
72,551648,404384
74,444800,317856
76,391408,218736
78,292080,206128
80,245680,195552
82,496224,388336
84,253152,169392
86,213632,151488
88,180144,125872
90,413520,353872
92,290496,236240
94,255008,210464
96,367392,290080
98,364528,337072
100,293712,248848
102,234208,197472
104,323120,273808
106,289072,247984
108,266416,132896
110,246512,196560
112,256256,131184
114,182800,137200
116,314000,181312
118,197328,142320
120,144368,111520
122,373792,343328
124,336736,313760
126,278960,228448
128,437296,380160
132,328416,282976
136,385200,303200
140,365776,296896
144,526976,469776
148,308320,260912
152,275600,226432
156,389648,337776
160,323616,254528
164,378144,281680
168,381376,219440
172,267008,197360
176,303040,248064
180,202960,128848
184,241216,177856
188,196992,153520
192,211008,181040
196,209920,167344
200,194352,146096
204,153824,123648
208,191696,147824
212,170640,125488
216,142288,120848
220,268928,245488
224,143264,126736
228,141952,127312
232,407584,387952
236,313136,265248
240,313520,294752
244,328080,317504
248,1042800,1031072
252,454112,443840
256,945984,925008
264,439792,413136
272,376752,349536
280,373776,334624
288,306736,283360
296,606160,585520
304,592624,583632
312,446304,421072
320,240640,214448
328,144144,117440
336,167008,148656
344,135536,122320
352,113312,100688
360,109136,96368
368,118448,95392
376,128848,116688
384,131184,125152
392,146448,128912
400,113296,92976
408,132304,118480
416,118336,103504
424,133408,109328
432,96112,83088
440,109232,95120
448,108800,82176
456,146624,123328
464,132512,108368
472,128800,104640
480,112464,98272
488,113520,92384
496,98320,85920
504,135200,117280
512,243072,183200
528,318192,260368
544,157792,117952
560,119248,94240
576,129360,106416
592,164640,136208
608,135472,111104
624,84560,75904
640,87680,76816
656,137840,124480
672,88880,69824
688,97680,72032
704,114608,92944
720,129200,109104
736,156400,129296
752,134256,114528
768,109728,92032
784,119296,98960
800,97952,85024
816,84192,54544
832,69776,54288
848,90896,70032
864,100176,83520
880,61056,45392
896,60112,38512
912,77200,62112
928,69168,54016
944,73280,63216
960,52048,42016
976,50512,38192
992,46192,32384
1008,41120,34624
1024,88160,69472
1056,106752,84192
1088,113200,85152
1120,93520,82144
1152,108624,64656
1184,74208,52704
1216,62000,49968
1248,45216,30544
1280,66576,49600
1312,91616,76464
1344,115472,102208
1376,74048,56576
1408,150448,100736
1440,195952,181056
1472,114320,75344
1504,235408,161968
1536,154816,92960
1568,79280,49040
1600,129792,89584
1632,179360,136848
1664,116256,84480
1696,129232,109552
1728,199120,156896
1760,318560,257872
1792,137008,90608
1824,118272,74816
1856,100496,59280
1888,93168,66944
1920,90816,53568
1952,87744,59184
1984,83904,59968
2016,134720,103488
2048,156608,113072
2112,152128,115408
2176,152704,114256
2240,183968,115536
2304,286400,189296
2368,291072,196848
2432,231408,160432
2496,173600,121744
2560,193584,144864
2624,206656,141232
2688,234368,154640
2752,276736,173456
2816,190592,144448
2880,198176,147504
2944,180320,111840
3008,139872,98992
3072,164000,127984
3136,308192,229344
3200,215728,126480
3264,179680,88736
3328,173408,105040
3392,166832,113184
3456,135952,94896
3520,137056,94992
3584,194736,133744
3648,405216,297184
3712,542720,407600
3776,530064,360528
3840,146000,101536
3904,128672,88880
3968,262720,196240
4032,440112,340688
4096,592144,415088
4224,122336,96400
4352,81360,66608
4480,108256,94816
4608,69216,57472
