reuse distance,histogram value,read histogram value
0,62758848,31327648
1,41628992,19830208
2,34071968,21058240
3,27558512,21761680
4,19260848,16127216
5,14491072,12452288
6,12137792,10288816
7,8141600,6938752
8,7247440,6218256
9,6765248,5870912
10,6972176,5988992
11,5653440,5107696
12,5167536,4624336
13,4161392,3745408
14,3993200,3598464
15,3623392,3296208
16,2283200,2012544
17,1817232,1552688
18,1528048,1273168
19,1451120,1211008
20,1306720,1132944
21,1350208,1173776
22,1062560,900352
23,830304,691200
24,744576,631568
25,598544,495744
26,549872,445568
27,895536,767664
28,610944,507168
29,689920,595568
30,481648,398208
31,409760,328080
32,353168,257984
33,361552,259168
34,474800,388704
35,359056,251984
36,343760,252448
37,266736,179616
38,4852224,2630848
39,318432,192112
40,312432,169728
41,474352,245856
42,940528,478944
43,480288,290464
44,265824,157056
45,170016,100336
46,160848,92272
47,155296,96784
48,150752,100160
49,136864,90912
50,128176,80464
51,192912,139056
52,138960,96592
53,135584,95520
54,143072,99616
55,125696,75456
56,117168,63280
57,104736,66272
58,90768,60560
59,91264,59952
60,95024,68624
61,96144,68960
62,126288,92928
63,104128,65744
64,202320,131664
66,163664,86384
68,132288,60752
70,109344,70848
72,96912,76320
74,82224,58672
76,89504,47040
78,58768,33328
80,53568,31696
82,48528,30688
84,48272,28768
86,43424,28176
88,43904,30240
90,48464,30928
92,49664,29952
94,35808,26960
96,38272,29920
98,31824,26448
100,31136,27344
102,28944,25440
104,23472,19744
106,16000,13008
108,18000,14960
110,15520,11760
112,13856,10400
114,14096,11808
116,14976,12688
118,14080,11312
120,15472,14416
122,14896,12944
124,19584,18256
126,20256,18768
128,35520,32288
132,96912,94080
136,64384,61616
140,54416,51168
144,54384,50592
148,66400,59536
152,51536,48416
156,93184,85856
160,56672,49632
164,125840,121424
168,128144,123488
172,53456,50336
176,62320,58096
180,44400,40592
184,49632,46960
188,73184,68384
192,49856,43728
196,57408,51040
200,76416,71904
204,69120,64256
208,132848,127792
212,60416,54704
216,48576,41504
220,45024,38352
224,46432,39904
228,71632,66768
232,119488,113936
236,76944,72640
240,69456,63936
244,74560,67520
248,73200,67728
252,71296,65312
256,156304,142688
264,192096,179872
272,151552,141792
280,155888,142304
288,170448,159808
296,223680,208768
304,247760,234432
312,258736,243856
320,282032,270592
328,326496,312864
336,305664,291280
344,265728,250624
352,257584,241824
360,216608,205440
368,196864,181024
376,382944,367760
384,252512,219488
392,231216,214256
400,210800,193232
408,241264,224336
416,219488,200640
424,183376,163856
432,171168,148768
440,185520,165520
448,187616,164288
456,168928,147376
464,179296,156496
472,174544,147744
480,153920,132032
488,159632,131616
496,157952,126752
504,147600,117584
512,351664,296448
528,326128,273040
544,336752,224640
560,343920,278720
576,339312,288160
592,265088,219424
608,270480,228192
624,281936,214528
640,300512,236512
656,306784,236256
672,282992,221328
688,292736,230304
704,288784,242848
720,321200,272080
736,326256,282416
752,290496,250688
768,289936,248864
784,293808,244144
800,326464,278208
816,262880,221360
832,242096,204416
848,209216,171616
864,218896,180608
880,209552,177136
896,173696,137408
912,157904,126400
928,147600,117152
944,185536,133536
960,155440,126368
976,158336,133008
992,167056,144864
1008,155328,130864
1024,306592,250784
1056,369712,303888
1088,348928,307312
1120,312192,274880
1152,302016,267456
1184,307072,274896
1216,289680,261232
1248,314112,286800
1280,357696,328560
1312,311504,279984
1344,299616,269136
1376,380000,353808
1408,303728,275760
1440,281680,250912
1472,253216,224480
1504,278400,247088
1536,321904,286528
1568,275856,237056
1600,280368,243424
1632,319248,280816
1664,334176,292976
1696,292080,240928
1728,271808,210800
1760,267264,211296
1792,249632,198048
1824,373136,307520
1856,308560,266864
1888,296352,251600
1920,418752,383600
1952,263296,225360
1984,181120,145776
2016,235648,201296
2048,490304,423952
2112,377856,310416
2176,358320,276608
2240,338224,268720
2304,346016,275072
2368,396880,322688
2432,471920,404832
2496,398256,336000
2560,285408,227696
2624,219728,168400
2688,252624,174496
2752,411536,354464
2816,295872,230480
2880,260272,197296
2944,234224,175952
3008,243744,180224
3072,286576,223904
3136,385904,314080
3200,249952,186672
3264,178208,118672
3328,157024,94656
3392,152608,97552
3456,150272,96400
3520,135168,82512
3584,123264,66528
3648,164832,105616
3712,138512,82784
3776,158864,102864
3840,191408,135984
3904,149856,94464
3968,138768,76176
4032,125136,57936
4096,291648,146768
4224,292816,174224
4352,311824,211328
4480,411120,315072
4608,453936,353920
4736,359888,266592
4864,338704,236272
4992,394128,217456
5120,191632,82288
5248,202688,99440
5376,314400,206416
5504,317792,227408
5632,272768,216624
5760,254704,200560
5888,149664,91008
6016,153408,85248
6144,136672,72240
6272,184736,131408
6400,129008,78384
6528,198960,115552
6656,164256,105840
6784,132736,69040
6912,139840,76240
7040,108928,67024
7168,77152,48560
7296,99632,54816
7424,100752,76896
7552,130160,90304
7680,150304,117136
7808,219280,187152
7936,270720,235520
8064,299552,253936
8192,344848,257216
8448,219792,133808
8704,488624,409248
8960,569552,488512
9216,234736,170448
9472,181616,106656
9728,159488,83936
9984,180160,121952
10240,202064,160416
10496,262928,221984
10752,271072,237760
11008,187216,153008
11264,318048,279200
11520,134896,108352
11776,125104,97552
12032,112336,76000
12288,130880,93504
12544,142736,109824
12800,115280,86800
13056,193984,164960
13312,203696,175568
13568,102976,71616
13824,79536,46656
14080,102896,69184
14336,155248,112368
14592,121840,91360
14848,64976,35312
15104,69472,38416
15360,73536,32528
15616,97616,39024
15872,88208,45376
16128,80944,44096
16384,162272,95232
16896,194384,97680
17408,241168,166848
17920,238704,166512
18432,138080,52544
18944,129744,57136
19456,89856,49664
19968,106624,75392
20480,141376,92224
20992,119792,70288
21504,70272,39312
