reuse distance,histogram value,read histogram value
0,107908400,16412112
1,42018704,15896112
2,33264416,14526208
3,26456704,13663488
4,22052608,12799680
5,16672768,10046608
6,15531968,9722336
7,12254640,7970032
8,10239648,6318592
9,8996736,5751792
10,7849312,5119712
11,7470352,5035552
12,7198944,4950064
13,6507008,4488896
14,6222928,4373504
15,5585376,3932384
16,6187600,4371600
17,5712816,4168256
18,4385488,3091280
19,3854384,2708752
20,3527328,2438000
21,3209280,2259680
22,3119600,2209328
23,3109552,2233120
24,3011376,2137744
25,2790592,1938048
26,2718336,1978624
27,2482016,1786240
28,2295760,1644464
29,2205520,1550704
30,2154720,1514784
31,1981984,1439360
32,1901328,1409536
33,1814336,1363056
34,1694976,1231536
35,1596656,1194816
36,1452576,1100592
37,1380672,1041344
38,1347232,1014096
39,1224576,921248
40,1151104,870688
41,1185488,884912
42,1200128,919056
43,1104608,842192
44,1129744,870496
45,1075536,824224
46,1035152,784720
47,1020544,769776
48,974192,722064
49,956240,700240
50,916960,666288
51,911200,683936
52,866176,642464
53,833120,612576
54,782192,577968
55,775136,584096
56,757200,581376
57,742736,573536
58,711936,543920
59,669232,503424
60,666304,503072
61,651376,480416
62,631056,472208
63,606992,442560
64,1149712,837312
66,1128080,834432
68,1136976,846496
70,1115104,828672
72,1152640,874464
74,1144416,869632
76,1141008,867664
78,1123392,864896
80,1067856,831568
82,1034560,808752
84,1035984,827584
86,1000912,817168
88,981616,810224
90,951984,791824
92,920896,777216
94,862384,731792
96,820496,700800
98,773008,658272
100,753104,649456
102,741824,644560
104,736400,645888
106,721392,637856
108,698112,623648
110,661328,590368
112,601552,532832
114,582448,513952
116,553104,485024
118,515872,450352
120,501456,432784
122,474896,408256
124,469136,400112
126,477824,403888
128,970272,829760
132,890416,764304
136,969008,849696
140,915664,789504
144,796960,661024
148,800640,662672
152,798016,669600
156,761088,635376
160,676512,563600
164,572240,476832
168,488448,410656
172,435376,371216
176,404544,346048
180,407776,349344
184,397728,332992
188,359872,294480
192,346656,281984
196,348528,282960
200,359808,296704
204,366016,310496
208,357344,308768
