reuse distance,histogram value,read histogram value
0,56455408,14048704
1,42010832,36636496
2,50099472,47667504
3,49958352,48335792
4,56458512,55584144
5,41916080,41108672
6,31641008,31419680
7,11839056,11811248
8,6970768,6895392
9,2822448,2706128
10,1763664,1746752
11,1472048,1466400
12,847088,824576
13,1567936,1555040
14,1298640,1259328
15,1998672,1977488
16,414128,410240
17,382272,338992
18,126704,77360
19,30544,18352
20,29344,16704
21,15536,9904
22,9632,8704
23,21552,10336
24,11760,4192
25,12448,10832
26,52416,36992
27,55552,11440
28,57184,31232
29,155056,2192
30,283984,1984
31,580832,27840
32,188720,12064
33,12560,8512
34,7200,7072
35,11120,11056
36,4400,4224
37,13952,13808
38,18512,18464
39,143728,143536
40,142496,142464
41,18736,14560
42,131536,126096
43,11440,10704
44,24288,23360
45,165984,165040
46,292992,291328
47,483008,475088
48,728864,726064
49,478736,477680
50,213088,206976
51,91424,64896
52,599856,567264
53,204544,145072
54,453776,322928
55,279568,199904
56,278944,237584
57,236720,228048
58,136704,135040
59,40656,36384
60,31040,30848
61,17072,13296
62,32048,8592
63,9072,5104
64,4080,3376
66,1280,656
68,544,320
70,1056,384
72,1088,592
74,1104,448
76,784,432
78,752,480
80,912,528
82,688,528
84,608,512
86,672,624
88,960,880
90,656,624
92,608,528
94,704,704
96,1024,992
98,960,672
100,864,544
102,1248,960
104,1424,960
106,1088,608
108,1184,640
110,960,432
112,1696,928
114,2480,1616
116,4240,3456
118,6112,5040
120,4000,3168
122,2224,1680
124,1472,480
126,1648,1216
128,3936,2192
132,3344,1616
136,3184,1968
140,3056,1520
144,24448,23280
148,15712,14128
152,42736,40944
156,3696,1680
160,3792,2432
164,257600,256112
168,1257824,1255840
172,818592,817264
176,61216,59856
180,2688,1520
184,2192,1056
188,1168,464
192,1680,864
196,1824,1536
200,512,336
204,352,224
208,176,112
212,80,80
216,32,32
220,32,32
224,0,0
228,64,64
232,992,992
236,3536,3536
240,60624,60624
244,160944,160944
248,265968,265968
252,221584,221584
256,108448,108448
264,16,16
272,16,16
280,16,16
288,0,0
296,0,0
304,0,0
312,0,0
320,0,0
328,0,0
336,0,0
344,0,0
352,0,0
360,0,0
368,0,0
376,0,0
384,0,0
392,0,0
400,0,0
408,0,0
416,0,0
424,0,0
432,0,0
440,0,0
448,0,0
456,0,0
464,0,0
472,0,0
480,0,0
488,0,0
496,0,0
504,0,0
512,0,0
528,0,0
544,0,0
560,0,0
576,0,0
592,0,0
608,0,0
624,0,0
640,0,0
656,0,0
672,0,0
688,0,0
704,0,0
720,0,0
736,0,0
752,0,0
768,0,0
784,0,0
800,0,0
816,0,0
832,0,0
848,0,0
864,0,0
880,0,0
896,0,0
912,0,0
928,0,0
944,0,0
960,0,0
976,0,0
992,0,0
1008,0,0
1024,0,0
1056,0,0
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,16,16
1440,16,16
1472,0,0
1504,0,0
1536,16,16
1568,0,0
1600,0,0
1632,0,0
1664,0,0
1696,74720,74720
1728,132784,132784
1760,136288,136288
1792,193504,193504
1824,195824,129248
1856,75104,35504
1888,103248,34928
1920,75440,39120
1952,129872,94240
1984,93120,58160
2016,150336,91040
2048,229088,151312
2112,204240,85920
2176,208896,117664
2240,197648,87056
2304,171008,89120
2368,211360,111216
2432,178192,93568
2496,213984,91232
2560,168928,86000
2624,177264,86736
2688,203184,118560
2752,193824,90064
2816,190976,89232
2880,173536,85696
2944,240784,116672
3008,177456,92544
3072,202896,115936
3136,178960,89312
3200,174320,88832
3264,239520,118480
3328,175088,88576
3392,178352,89504
3456,213008,105312
3520,197408,99232
3584,181328,85712
3648,162256,87856
3712,231792,106768
3776,182112,97648
3840,213840,90544
3904,148784,95040
3968,225872,107472
4032,171888,87296
4096,351040,177520
4224,414832,207792
4352,411520,203472
4480,356448,177664
4608,419104,202896
4736,368240,177792
4864,414080,202224
4992,354496,180992
5120,411168,202608
5248,381104,205200
5376,388224,181328
5504,349920,175536
5632,414144,209152
5760,369088,193056
5888,479664,269920
6016,487856,203296
