reuse distance,histogram value,read histogram value
0,118578560,20007440
1,63735760,26748624
2,30503616,13325072
3,24476720,15147648
4,19687056,11696064
5,15997360,10351824
6,14567152,10056048
7,12849008,8431136
8,11418128,7593664
9,10348320,7684512
10,9411280,7140784
11,8365216,5987088
12,8181488,6157712
13,7277232,5565344
14,6337184,4852880
15,6290432,4449008
16,6099440,4446864
17,5090784,3836336
18,4689344,3617088
19,4024816,3010592
20,3826400,2940480
21,3335440,2653184
22,2905216,2364176
23,2865760,2177696
24,2794000,2113584
25,2619440,2157936
26,2325088,1849040
27,2078848,1610400
28,1876784,1455616
29,1764848,1378320
30,1750064,1398432
31,1760496,1395136
32,1730272,1317664
33,1889632,1351776
34,1749136,1322368
35,1508032,1147200
36,1395328,1019376
37,1363728,971904
38,1266960,893472
39,1172688,836096
40,1182624,852832
41,1155152,831808
42,1359184,854608
43,1130944,812816
44,1121168,806976
45,1034864,779248
46,1012816,799424
47,982576,767120
48,958512,762192
49,928768,732208
50,885568,701376
51,884448,698416
52,906160,708688
53,906080,732688
54,905984,737216
55,902608,728432
56,926784,773296
57,905088,751056
58,865520,721136
59,829888,699776
60,837808,714720
61,822016,691120
62,843344,712000
63,842304,704736
64,1648992,1395280
66,1638240,1371904
68,1547056,1281328
70,1504752,1251552
72,1483232,1223184
74,1383808,1126784
76,1286256,1036576
78,1206784,960736
80,1178112,938352
82,1116832,891152
84,1058160,842208
86,1020608,798480
88,981008,753680
90,982480,744576
92,924400,700464
94,884592,675376
96,822464,636640
98,779472,619856
100,741232,586160
102,688080,549264
104,680192,546672
106,616800,505728
108,581632,480640
110,558048,475120
112,524208,451968
114,520992,447952
116,509808,449296
118,494048,436000
120,450448,397760
122,454368,400560
124,435952,388128
126,415072,369024
128,805024,712304
132,758240,678704
136,719824,651168
140,689632,625024
144,677904,615360
148,651968,591760
152,619280,561408
156,587136,531552
160,573232,514640
164,539392,488064
168,512000,463728
172,491808,437888
176,465712,413632
180,448144,389280
184,426400,372736
188,447056,393040
192,419920,360464
196,412448,348736
200,410656,342000
204,397808,334032
208,400304,344400
212,360000,311520
216,364016,320128
220,334960,296160
224,360288,316880
228,422512,379024
232,432064,362784
236,380144,315456
240,344848,291952
244,409088,344096
248,362128,300544
252,364800,286160
256,649840,547936
264,577136,475600
272,600224,513536
280,573360,498112
288,531968,449248
296,435968,360160
304,399936,337168
312,406544,338224
320,404544,340848
328,355808,293040
336,437776,365824
344,320928,237328
352,268208,219648
360,259856,218320
368,260928,219520
376,257168,211632
384,255264,210896
392,247808,208320
400,252096,207328
408,227104,190528
416,217440,185680
424,213040,181152
432,225520,186112
440,218576,181504
448,214672,177600
456,222400,188256
464,198784,166512
472,198192,168160
480,192464,159472
488,207264,167104
496,188880,158912
504,184800,155168
512,345696,281664
528,354800,289776
544,346992,277968
560,343392,275584
576,372224,302416
592,353392,285312
608,328368,266448
624,316144,257600
640,311312,252400
656,299408,237680
672,292816,230000
688,279232,216688
704,271984,205312
720,261152,202064
736,251344,194000
752,232272,180240
768,212528,168016
784,202752,163584
800,188576,149504
816,193840,151152
832,180656,144576
848,175472,140752
864,156560,125328
880,147232,119504
896,137312,111296
912,136864,112720
928,126960,104832
944,120464,99776
960,122432,102960
976,112512,91776
992,108352,89344
1008,102352,86128
1024,191840,162000
1056,177632,148608
1088,169264,138624
1120,144848,116800
1152,132480,109472
1184,124272,102432
1216,121520,100832
