reuse distance,histogram value,read histogram value
0,78327216,1498800
1,40212384,22116672
2,33088144,31025984
3,19855312,14998688
4,11587376,3206128
5,20698320,3630304
6,18901792,12040656
7,19374800,14212208
8,12825600,6493392
9,8263024,5893760
10,11120848,8879152
11,19404480,16365536
12,13308160,9927152
13,3287104,1487808
14,9459632,4999504
15,1386464,1132624
16,7868352,1648080
17,11038416,8175808
18,5630016,5446992
19,2900768,2233952
20,5893824,4747040
21,9180144,6002144
22,4778960,1839040
23,2656528,1696704
24,7499664,5352160
25,3131552,2401280
26,7908976,6844864
27,7498064,6899008
28,674976,360400
29,2536896,1124128
30,7367328,5300944
31,810384,107056
32,2921296,2595120
33,1962512,1190432
34,1964928,662032
35,3563040,2858464
36,3490736,40752
37,968560,10144
38,588384,73872
39,3430624,900096
40,6964176,733376
41,2214880,722128
42,1674400,520976
43,885104,869792
44,3819584,3811888
45,6410048,6406976
46,549888,546304
47,623472,619760
48,34352,29712
49,210080,207680
50,2906416,2905104
51,967040,964752
52,100784,98176
53,6320,3360
54,313776,3360
55,475792,6752
56,504160,6432
57,118640,16896
58,103168,100944
59,208752,207552
60,167232,165664
61,794192,791136
62,592976,589424
63,680736,677664
64,3951952,3909632
66,804912,414576
68,910512,76880
70,696000,102352
72,851200,244816
74,4180048,3742480
76,785296,573024
78,4532880,1452960
80,4863488,3815696
82,515824,507488
84,4691744,4685888
86,4252688,4243616
88,1152880,1145904
90,427552,425632
92,900992,865632
94,2165296,1812288
96,4603200,3311360
98,2148288,1119024
100,1829488,1808464
102,13432304,13431680
104,12940464,12940144
106,2653840,2653600
108,5395600,5395536
110,2277888,2277680
112,3275424,3274912
114,35751328,35749840
116,19742928,19741120
118,1767280,1766560
120,179760,179664
122,164368,164352
124,40208,40192
126,23264,23136
128,75392,75248
132,211616,211600
136,5488,5424
140,9232,9168
144,1360,1312
148,2848,2848
152,2912,2912
156,2128,2128
160,2160,2160
164,2096,2096
168,2768,2768
172,4288,4288
176,3152,3152
180,3648,3648
184,2832,2832
188,6384,6384
192,2336,2336
196,1264,1264
200,5216,5216
204,70816,70816
208,486720,486720
212,5056,5056
216,5968,5968
220,2784,2784
224,25584,25584
228,907376,907376
232,795536,795536
236,22592,22592
240,48,48
244,0,0
248,48,48
252,224,224
256,816,816
264,128,128
272,416,416
280,560,560
288,1536,1536
296,672,672
304,31456,31456
312,224496,224496
320,624,624
328,3312,3312
336,15040,15040
344,677968,677968
352,14496,14496
360,1248,1248
368,464,464
376,240,240
384,784,784
392,896,896
400,976,976
408,15216,15216
416,112448,112448
424,2528,2528
432,5024,5024
440,1104,1104
448,1408,1408
456,117840,117840
464,261056,261056
472,160,144
480,448,448
488,1904,1872
496,1248,1232
504,544,544
512,80848,80848
528,6256,6256
544,832,816
560,7328,7328
576,245984,245968
592,2384,2336
608,9072,9072
624,100720,100720
640,2032,1984
656,864,800
672,1616,1616
688,291840,291840
704,1488,1488
720,74064,74064
736,14256,14256
752,1152,1152
768,1040,1040
784,1520,1520
800,224112,224112
816,12640,12640
832,97088,97088
848,2160,2160
864,848,848
880,1152,1152
896,1472,1472
912,47472,47472
928,267552,267552
944,16128,16112
960,1632,1616
976,1136,1136
992,1456,1456
1008,816,816
1024,207696,207664
1056,2960,2960
1088,2544,2544
1120,34400,34368
1152,173376,173376
1184,2656,2656
1216,2560,2560
1248,189152,189152
1280,32432,32432
1312,2496,2480
1344,37568,37568
1376,168000,168000
1408,2784,2752
1440,43568,43552
1472,7904,7888
1504,108160,108160
1536,20976,20976
1568,35520,35520
1600,132496,132496
1632,4080,4064
1664,51360,51360
1696,1968,1968
1728,152112,152112
1760,47408,47408
1792,2512,2512
1824,11776,11776
1856,177936,177936
1888,14448,14448
1920,2000,2000
1952,129760,129760
1984,61872,61872
2016,1936,1936
2048,141728,141728
2112,4400,4400
2176,238944,238944
2240,25584,25584
2304,124208,124208
2368,24656,24656
2432,104592,104576
2496,117312,117312
2560,33120,33104
2624,74192,74192
2688,26304,26304
2752,81136,81136
2816,24096,24080
2880,86144,86112
2944,6768,6736
3008,86448,86448
3072,25680,25680
3136,63248,63248
3200,82768,82768
3264,5504,5504
3328,82192,82192
3392,15424,15424
3456,71952,71952
3520,21248,21216
3584,61328,61328
3648,21952,21952
3712,72464,72464
3776,65200,65200
3840,24992,24992
3904,58736,58736
3968,21616,21616
4032,70672,70672
4096,79760,79760
4224,76240,76240
4352,76304,76304
4480,85056,85056
4608,80192,80192
4736,75760,75712
4864,75040,75008
4992,121616,121616
5120,79792,79792
5248,75328,75328
5376,70656,70656
5504,69024,68992
5632,74624,74624
5760,72112,72112
5888,69424,69424
6016,65584,65584
6144,71840,71840
6272,107248,107248
6400,69728,69728
6528,63296,63248
6656,62400,62352
6784,71120,71120
6912,64384,64384
7040,63392,63376
7168,61328,61312
7296,64256,64256
7424,65680,65680
7552,96144,96112
7680,59392,59376
7808,57616,57616
7936,61536,61520
8064,59184,59168
8192,113216,113216
8448,112672,112624
8704,139136,139104
8960,111888,111856
9216,105536,105536
9472,106544,106528
9728,100656,100592
9984,127376,127376
10240,101152,101024
10496,96976,96960
10752,94624,94560
11008,92528,92480
11264,114688,114640
11520,88608,88576
11776,90416,90384
12032,85392,85344
12288,86016,86000
12544,103968,103904
12800,82288,82224
13056,83040,82976
13312,80880,80848
13568,79888,79872
13824,92560,92528
14080,76544,76528
14336,74576,74512
14592,72928,72896
14848,70976,70896
15104,83104,83056
15360,71504,71488
15616,67472,67408
15872,66576,66528
16128,66656,66560
16384,143952,143808
16896,127120,127040
17408,133296,133168
17920,118976,118864
18432,112736,112672
18944,121952,121872
19456,107504,107264
19968,110992,110960
20480,103168,103104
20992,100256,100176
21504,102752,102656
22016,90528,90432
22528,94080,94016
23040,82384,82288
23552,77920,77824
24064,82176,82160
24576,73312,73248
25088,77520,77440
25600,72224,72160
26112,70608,70528
26624,71712,71584
27136,65424,65264
27648,69824,69760
28160,65904,65760
28672,63664,63568
29184,66592,66496
29696,66720,66592
30208,67824,67712
30720,62624,62496
31232,62864,62784
31744,69728,69616
32256,63744,63680
32768,129824,129600
33792,123856,123600
34816,115024,114800
35840,105568,105424
36864,107584,107520
37888,106512,106432
38912,109520,109296
39936,97824,97696
40960,90688,90608
41984,88896,88752
43008,89104,89024
44032,82096,82000
45056,78368,78176
46080,78944,78848
47104,73360,73184
48128,80800,80592
49152,72000,71920
50176,76864,76704
51200,77568,77456
52224,80112,79968
53248,80880,80656
54272,88224,88144
55296,91824,91728
56320,88304,88256
57344,91424,91232
58368,92912,92736
59392,87184,86992
60416,85920,85744
61440,84080,83968
62464,71984,71792
63488,70784,70592
64512,73248,73104
65536,164176,163888
67584,169440,169200
69632,192416,192272
71680,178592,178256
73728,177856,177488
75776,177888,177760
77824,184880,184688
79872,184368,184112
81920,202736,202336
83968,194624,194320
86016,183856,183616
88064,173744,173520
90112,181312,181072
92160,177392,177232
94208,172368,172176
96256,164256,163984
98304,178800,178512
100352,182112,182032
102400,167088,166912
104448,154400,154160
106496,141824,141696
108544,131232,131072
110592,143472,143344
112640,127968,127840
114688,103984,103920
116736,86672,86640
118784,65104,65040
120832,52432,52416
122880,44960,44896
124928,36160,36112
126976,25760,25760
129024,27456,27408
131072,57168,57136
135168,45904,45808
139264,38304,38288
143360,37440,37424
147456,41488,41472
151552,18256,18256
155648,12304,12304
159744,12496,12496
163840,11056,11040
167936,6800,6800
172032,7552,7552
176128,9456,9456
180224,3872,3872
184320,3792,3792
188416,3600,3584
192512,3648,3648
196608,3344,3344
200704,2688,2688
204800,3248,3248
208896,3136,3136
212992,3104,3104
217088,2720,2720
221184,3712,3712
225280,3024,3024
229376,2208,2208
233472,2576,2576
237568,1648,1632
241664,1632,1632
245760,1504,1472
249856,1760,1760
253952,1760,1760
258048,1184,1184
262144,3184,3168
270336,3584,3584
278528,2496,2496
286720,2528,2528
