reuse distance,histogram value,read histogram value
0,154776720,36001248
1,65930080,20478848
2,37967520,13984896
3,30734240,11381104
4,19600496,6953792
5,17858048,7541808
6,10669568,4640000
7,8309376,3939168
8,7314944,3834752
9,5737760,3743856
10,4536240,3290720
11,5182192,3722800
12,5951824,3893488
13,5962576,4618672
14,5493680,3301680
15,3001152,1780864
16,3565904,3103344
17,2066320,1395440
18,2278384,1850896
19,2268912,1735664
20,1862672,1599904
21,1487136,1077792
22,1808016,1432208
23,1764656,1407568
24,1745360,1427040
25,1734944,1171376
26,1270304,1067904
27,1206128,935568
28,1017856,843232
29,991536,867232
30,1693056,1202704
31,1394912,1134240
32,1096720,857728
33,985104,788656
34,1370400,1205456
35,1025872,867312
36,928016,820848
37,726720,635280
38,956288,832944
39,872640,737696
40,891056,754416
41,871280,747696
42,723280,597232
43,982592,833216
44,1063152,914816
45,938384,783920
46,997680,815120
47,822896,646160
48,1161008,835120
49,901648,744912
50,1293072,1124496
51,1334704,1166944
52,961488,795648
53,789024,642384
54,1027248,847488
55,938096,774048
56,1157792,975424
57,1015536,822352
58,962512,752848
59,1192288,894592
60,819296,638800
61,798464,614432
62,749360,553184
63,1103024,939456
64,1728704,1292784
66,1318176,977856
68,1040592,613760
70,1316224,901568
72,1160288,719520
74,922128,526496
76,947040,549056
78,1030336,641408
80,784224,422080
82,845360,488800
84,773952,401984
86,899600,540144
88,814384,455440
90,778720,385904
92,1087040,664192
94,1154736,701248
96,1032608,638160
98,880416,526336
100,1146784,773808
102,995360,646448
104,976976,633168
106,925024,621488
108,1117904,794624
110,937824,645904
112,862544,578384
114,784768,524928
116,661104,400416
118,672240,413744
120,561792,371104
122,516624,334736
124,443328,300160
126,499520,386752
128,866848,719408
132,874464,806384
136,872240,806432
140,786752,733904
144,784704,723456
148,744944,690288
152,706432,643520
156,736624,670848
160,896944,812624
164,846608,742912
168,654688,571744
172,737856,673616
176,691072,609776
180,623936,541376
184,697040,596208
188,834304,711824
192,803024,679776
196,832304,682800
200,761632,643584
204,732816,635216
208,737552,638976
212,805440,709408
216,703136,605952
220,758640,653712
224,691408,613904
228,678368,619760
232,698576,633872
236,668800,608192
240,568528,525824
244,559488,519984
248,657360,616928
252,620704,583808
256,1138528,1047024
264,1104240,1001040
272,1206672,1096112
280,1298912,1199984
288,1148128,1043440
296,938288,828112
304,937424,826128
312,943520,818864
320,941184,841584
328,732016,668208
336,793984,737760
344,722240,669824
352,686528,593376
360,680576,575120
368,785760,683536
376,732672,647120
384,717632,634240
392,750976,674192
400,581520,506320
408,589488,502912
416,584928,495280
424,549664,460000
432,582544,493936
440,532512,439552
448,433904,359328
456,423056,355232
464,435376,359344
472,488688,410272
480,487120,408528
488,449776,377888
496,430896,356752
504,395920,326704
512,700224,590992
528,717456,590848
544,755120,604288
560,546144,434336
576,508496,393248
592,528304,403808
608,479840,377184
624,412416,331824
640,478624,373920
656,427792,331552
672,423264,324448
688,416512,303584
704,410496,303600
720,346752,272672
736,368576,298896
752,388480,302272
768,308432,227664
784,323040,231520
800,336176,249632
816,319600,240896
832,299120,231184
848,322112,247584
864,265712,194912
880,238208,170656
896,252720,180000
912,222784,159744
928,217184,162208
944,216784,168896
960,226560,176832
976,174864,132320
992,186448,138368
1008,169392,124768
1024,332656,259952
1056,330256,258304
1088,305952,223760
1120,277184,206016
1152,259152,191600
1184,222832,158112
1216,213584,152576
1248,185008,132960
1280,183184,127136
1312,175152,121248
1344,156128,109232
1376,162480,119728
1408,146528,99856
1440,151712,108416
1472,130416,95712
1504,134720,94192
1536,118224,80688
1568,105968,76832
1600,106704,72560
1632,99088,71648
1664,101632,75344
1696,102640,72320
1728,95936,65696
1760,87760,63712
1792,88896,63120
1824,88832,60960
1856,90176,63664
1888,89504,64144
1920,86992,57232
1952,82912,56320
1984,77536,56688
2016,73072,52096
2048,151280,111584
2112,134224,95760
2176,129280,95328
2240,133184,97568
2304,120592,89824
2368,121456,90224
2432,114544,84592
2496,101264,77472
2560,102096,79904
2624,89488,68576
2688,86032,66992
2752,92352,72208
2816,77120,61200
2880,71872,57520
2944,69664,54816
3008,68272,54544
3072,63056,50176
3136,62048,49200
3200,56272,43488
3264,53632,41584
3328,53600,43520
3392,52832,42368
3456,44048,34544
3520,45744,37040
3584,42944,34912
3648,39776,32544
3712,35824,28688
3776,33936,26528
3840,34224,26832
3904,33280,26176
3968,34928,27392
4032,31632,26192
4096,58336,46272
4224,56208,45152
4352,45840,35888
4480,48272,37472
4608,39904,31360
4736,38240,29616
4864,33328,25280
4992,30432,22832
5120,29280,22256
5248,26912,19904
5376,26176,19504
5504,24928,18976
5632,20576,15344
5760,20272,14896
5888,19456,14176
6016,17600,13008
6144,18592,13488
6272,17952,12736
6400,17936,12240
6528,17184,11008
6656,15744,10432
6784,15312,10528
6912,13248,9280
7040,14576,9616
7168,13264,8240
7296,13376,8384
7424,11376,7600
7552,12208,8096
7680,11920,7184
7808,10768,6400
7936,9936,5840
8064,10144,6048
8192,18848,11440
8448,17184,10224
8704,13984,7520
8960,12784,7568
9216,12080,7392
9472,11088,7424
9728,10032,6144
9984,9344,5488
10240,8832,5616
10496,7120,4576
10752,7216,4128
11008,6976,4016
11264,6032,3568
11520,5040,3232
11776,5792,2640
12032,4736,2192
12288,4032,1904
12544,3312,1600
12800,3072,1760
13056,2784,1712
13312,2752,1648
13568,3248,1712
13824,2784,1712
14080,2496,1280
14336,2720,1408
14592,2144,1232
14848,2576,1104
15104,2800,1536
15360,2560,1344
15616,2688,1584
15872,2784,1376
16128,2928,1520
16384,4944,2256
16896,5856,3056
17408,6816,4272
17920,5760,3824
18432,4864,2976
18944,4624,2832
19456,5440,3904
19968,5120,3632
20480,4432,2768
20992,4784,3088
21504,4096,2672
22016,3680,2336
22528,3392,2192
23040,4000,2608
23552,3888,2528
24064,3632,2560
24576,3856,2672
25088,3936,2752
25600,3344,2624
26112,3616,2800
26624,3424,2704
27136,3584,2752
27648,3568,2736
28160,3264,2544
28672,3536,2544
29184,3280,2432
29696,3536,2640
30208,3216,2752
30720,2832,2160
31232,3232,2624
31744,3408,2624
32256,3664,3152
32768,6496,5184
33792,8032,7040
34816,7504,6384
35840,5376,4096
36864,6144,4928
37888,5936,4800
38912,4704,3968
39936,3984,2768
40960,3296,2304
41984,3680,2688
43008,2992,2128
44032,2400,1760
45056,2624,1584
46080,2624,1552
47104,2816,1600
48128,2128,1296
49152,2048,1168
50176,2416,1664
51200,2336,1328
52224,1888,1200
53248,2288,1616
54272,2352,1456
55296,1968,1200
56320,2080,1296
57344,1680,1024
58368,1728,1152
59392,2240,1712
60416,1936,1216
61440,2496,1712
62464,1984,1200
63488,1936,1216
64512,2368,1440
65536,3648,2368
67584,3520,2224
69632,3888,2576
71680,3344,2224
73728,3104,1904
75776,3360,2400
77824,2800,1904
79872,2960,1824
81920,2816,2000
83968,2880,1984
86016,2480,1552
88064,2816,2272
90112,2720,1872
92160,2256,1504
94208,1952,1280
96256,2128,1584
98304,1568,880
100352,1792,1200
102400,2016,1056
104448,1744,1136
106496,2112,1600
108544,1616,1056
110592,1840,1248
112640,1600,1216
114688,1808,1392
116736,1328,832
118784,1024,720
120832,1056,672
122880,1168,768
124928,1232,832
126976,1120,736
129024,1104,656
131072,1952,1328
135168,1984,1360
139264,1616,1024
143360,1344,784
147456,1344,944
151552,1552,1008
155648,1008,672
159744,1104,656
163840,1232,624
167936,1024,416
172032,1424,704
176128,1264,544
180224,704,448
184320,832,544
188416,720,496
192512,576,272
196608,448,288
200704,880,384
204800,656,352
208896,752,448
212992,528,336
217088,480,272
221184,896,240
225280,400,224
229376,640,288
233472,512,352
237568,480,224
241664,336,240
245760,432,352
249856,512,352
253952,272,160
258048,352,256
262144,912,464
270336,640,336
278528,640,400
286720,576,352
294912,1072,304
303104,1120,400
311296,832,288
319488,352,224
327680,832,592
335872,832,352
344064,1120,272
352256,1696,288
360448,1248,208
368640,720,256
376832,336,48
385024,464,176
393216,624,128
401408,544,208
409600,400,48
417792,512,176
425984,272,48
434176,736,64
442368,528,96
450560,528,160
458752,304,144
466944,176,112
475136,544,144
483328,480,128
491520,192,80
499712,272,96
507904,320,128
516096,352,160
524288,688,240
540672,1056,400
557056,512,224
573440,928,272
589824,400,192
606208,576,176
622592,480,240
638976,144,64
655360,576,224
671744,160,48
688128,224,96
704512,224,144
720896,352,96
737280,304,96
753664,192,96
770048,224,96
786432,320,96
802816,288,64
819200,432,224
835584,128,48
851968,304,112
868352,384,112
884736,176,64
901120,96,16
917504,64,16
933888,208,80
950272,240,48
966656,224,144
983040,208,96
999424,128,48
1015808,96,16
1032192,192,112
1048576,176,144
1081344,240,96
1114112,352,160
1146880,208,96
1179648,352,240
1212416,336,176
1245184,80,80
1277952,64,48
1310720,208,128
1343488,160,48
1376256,112,64
1409024,224,48
1441792,32,32
1474560,0,0
1507328,32,32
1540096,80,48
1572864,176,112
1605632,64,48
1638400,16,16
1671168,0,0
1703936,192,112
1736704,160,80
1769472,144,96
1802240,48,16
1835008,16,0
1867776,32,16
1900544,16,16
1933312,48,48
1966080,96,96
1998848,16,0
2031616,112,64
2064384,112,48
2097152,256,144
2162688,128,80
2228224,112,48
2293760,112,80
2359296,160,128
2424832,288,32
2490368,96,32
2555904,0,0
2621440,16,16
2686976,0,0
2752512,0,0
2818048,32,32
2883584,16,16
2949120,0,0
3014656,0,0
3080192,96,48
3145728,0,0
3211264,16,16
3276800,160,48
3342336,128,80
3407872,64,48
3473408,32,16
3538944,16,16
3604480,32,32
3670016,160,96
3735552,0,0
3801088,64,0
3866624,0,0
3932160,48,16
3997696,0,0
4063232,32,0
4128768,0,0
4194304,0,0
4325376,80,48
4456448,32,16
4587520,144,32
4718592,0,0
4849664,64,16
4980736,144,64
5111808,80,32
5242880,96,32
5373952,32,0
5505024,0,0
5636096,16,0
5767168,96,16
5898240,64,0
6029312,0,0
6160384,0,0
6291456,16,16
6422528,0,0
6553600,0,0
6684672,0,0
6815744,0,0
6946816,0,0
7077888,0,0
7208960,96,32
7340032,0,0
7471104,0,0
7602176,48,16
7733248,0,0
7864320,0,0
7995392,0,0
8126464,0,0
8257536,0,0
8388608,0,0
8650752,16,16
8912896,0,0
9175040,0,0
9437184,0,0
9699328,0,0
9961472,32,0
10223616,16,0
10485760,48,16
10747904,0,0
11010048,96,0
11272192,48,32
11534336,0,0
11796480,96,16
12058624,0,0
12320768,0,0
12582912,0,0
12845056,64,48
13107200,48,48
13369344,0,0
13631488,0,0
13893632,0,0
14155776,0,0
14417920,48,0
14680064,0,0
14942208,0,0
15204352,16,16
15466496,16,16
15728640,0,0
15990784,0,0
16252928,0,0
16515072,0,0
16777216,0,0
17301504,0,0
17825792,0,0
18350080,64,0
18874368,16,0
19398656,80,0
19922944,0,0
20447232,32,0
20971520,0,0
21495808,0,0
22020096,0,0
22544384,0,0
23068672,0,0
23592960,0,0
24117248,0,0
24641536,0,0
25165824,0,0
25690112,0,0
26214400,32,16
26738688,112,16
27262976,0,0
27787264,0,0
28311552,32,32
28835840,32,16
29360128,0,0
29884416,0,0
30408704,0,0
30932992,0,0
31457280,0,0
31981568,0,0
32505856,0,0
33030144,0,0
33554432,0,0
34603008,0,0
35651584,0,0
36700160,0,0
37748736,16,0
38797312,0,0
39845888,0,0
40894464,16,0
41943040,0,0
42991616,0,0
44040192,0,0
45088768,0,0
46137344,0,0
47185920,16,16
48234496,96,80
49283072,32,0
50331648,0,0
51380224,0,0
52428800,0,0
53477376,112,16
54525952,112,48
55574528,32,0
56623104,0,0
57671680,0,0
58720256,16,0
59768832,112,48
60817408,0,0
61865984,0,0
62914560,32,0
63963136,0,0
65011712,0,0
66060288,0,0
67108864,0,0
69206016,0,0
71303168,0,0
73400320,0,0
75497472,0,0
77594624,0,0
79691776,0,0
81788928,16,0
83886080,0,0
85983232,0,0
88080384,0,0
90177536,0,0
92274688,0,0
94371840,128,32
96468992,0,0
98566144,0,0
100663296,0,0
102760448,0,0
104857600,0,0
106954752,0,0
109051904,0,0
111149056,0,0
113246208,0,0
115343360,0,0
117440512,0,0
119537664,0,0
121634816,0,0
123731968,0,0
125829120,0,0
127926272,0,0
130023424,0,0
132120576,0,0
134217728,0,0
138412032,0,0
142606336,0,0
146800640,0,0
150994944,0,0
155189248,0,0
159383552,0,0
163577856,0,0
167772160,0,0
171966464,0,0
176160768,0,0
180355072,0,0
184549376,0,0
188743680,0,0
192937984,0,0
197132288,0,0
201326592,0,0
205520896,0,0
209715200,0,0
213909504,0,0
218103808,0,0
222298112,0,0
226492416,0,0
230686720,0,0
234881024,16,16
239075328,0,0
243269632,0,0
247463936,0,0
251658240,0,0
255852544,0,0
260046848,0,0
264241152,0,0
268435456,0,0
276824064,0,0
285212672,0,0
293601280,0,0
301989888,0,0
310378496,0,0
318767104,0,0
327155712,0,0
335544320,0,0
343932928,0,0
352321536,0,0
360710144,0,0
369098752,0,0
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,0,0
419430400,0,0
427819008,0,0
436207616,0,0
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
486539264,0,0
494927872,0,0
503316480,0,0
511705088,0,0
520093696,0,0
528482304,0,0
536870912,0,0
553648128,0,0
570425344,0,0
587202560,0,0
603979776,0,0
620756992,0,0
637534208,0,0
654311424,0,0
671088640,0,0
687865856,0,0
704643072,0,0
721420288,0,0
738197504,0,0
754974720,0,0
771751936,0,0
788529152,0,0
805306368,0,0
822083584,0,0
838860800,0,0
855638016,0,0
872415232,0,0
889192448,0,0
905969664,0,0
922746880,0,0
939524096,0,0
956301312,0,0
973078528,0,0
989855744,0,0
1006632960,0,0
1023410176,0,0
1040187392,0,0
1056964608,0,0
1073741824,0,0
1107296256,0,0
1140850688,0,0
1174405120,0,0
1207959552,0,0
1241513984,0,0
1275068416,0,0
1308622848,0,0
1342177280,0,0
1375731712,0,0
1409286144,0,0
1442840576,0,0
1476395008,0,0
1509949440,0,0
1543503872,0,0
1577058304,0,0
1610612736,0,0
1644167168,0,0
1677721600,0,0
1711276032,0,0
1744830464,0,0
1778384896,0,0
1811939328,0,0
1845493760,0,0
1879048192,0,0
1912602624,0,0
1946157056,0,0
1979711488,0,0
2013265920,0,0
2046820352,0,0
2080374784,0,0
2113929216,0,0
2147483648,0,0
2214592512,0,0
2281701376,0,0
2348810240,0,0
2415919104,0,0
2483027968,0,0
2550136832,0,0
2617245696,0,0
2684354560,0,0
2751463424,0,0
2818572288,0,0
2885681152,0,0
2952790016,0,0
3019898880,0,0
3087007744,0,0
3154116608,0,0
3221225472,0,0
3288334336,0,0
3355443200,0,0
3422552064,0,0
3489660928,0,0
3556769792,0,0
3623878656,0,0
3690987520,0,0
3758096384,0,0
3825205248,0,0
3892314112,0,0
3959422976,0,0
4026531840,0,0
4093640704,0,0
4160749568,0,0
4227858432,0,0
