reuse distance,histogram value,read histogram value
0,160457120,7840144
1,48185792,8123504
2,32616624,15884272
3,20622256,10166304
4,11172080,5451664
5,8038992,2559984
6,8859712,3995968
7,11010944,6360864
8,7864784,5377216
9,6133136,3620592
10,6401680,2380192
11,3331168,2456224
12,3397088,2179184
13,3985360,3324496
14,6070816,5160848
15,1505568,819104
16,2254992,1163440
17,3112704,1780768
18,5971584,1899344
19,1722928,1461872
20,2077280,1417936
21,2327392,1432576
22,1768880,1046736
23,3250192,3157712
24,1269360,983184
25,4438848,3137440
26,1916272,833392
27,2098960,1507936
28,2221840,1817264
29,1285760,543024
30,1165024,627712
31,871744,398000
32,547248,335440
33,1580416,903392
34,398672,149920
35,657440,186624
36,701152,163584
37,514752,148512
38,621152,215312
39,612320,27568
40,390256,149712
41,1099200,807536
42,85712,31264
43,1686560,803040
44,909408,521328
45,313392,180288
46,1215632,845664
47,1793488,982864
48,632976,138976
49,1273440,453936
50,175264,54352
51,1370736,46304
52,956400,461696
53,1241408,482544
54,694672,228144
55,611424,199072
56,1084896,226016
57,251904,123088
58,697760,230240
59,136368,18704
60,163888,6784
61,1179904,137888
62,258512,16608
63,88128,464
64,475712,54544
66,1258128,10224
68,652912,464512
70,932624,144352
72,2330400,1130672
74,1269456,653968
76,934320,621600
78,744944,312160
80,1602864,1021312
82,2589808,1126112
84,2827904,2692768
86,1857920,900800
88,1601040,825776
90,1996976,983808
92,2546624,1626992
94,758160,70624
96,602336,349696
98,358912,275824
100,922272,191696
102,856112,242080
104,891488,244912
106,1297856,662416
108,1660816,1030128
110,1306096,711888
112,2786880,2648960
114,871520,731264
116,1122928,540640
118,2251232,777488
120,1326640,769408
122,369872,91984
124,397072,32880
126,358720,80656
128,1195408,399216
132,1663744,814544
136,2421072,1846528
140,2716336,1704768
144,1540448,436832
148,1376880,988528
152,1390368,1211504
156,1419120,1055488
160,2028384,1280320
164,1172464,582176
168,1486864,1223072
172,528576,442064
176,628320,391040
180,1501520,1293568
184,1677872,1654688
188,724864,608848
192,750272,501872
196,692144,520352
200,743344,687120
204,1072272,619040
208,564544,502688
212,1471136,1417520
216,658064,586480
220,894032,844624
224,2308912,2263136
228,1579536,1515760
232,3095952,2985552
236,1145424,861824
240,1182400,744144
244,842544,381088
248,328704,28528
252,829984,163248
256,4034048,2073056
264,5248320,3912576
272,1300656,1257088
280,1058592,953136
288,1014576,516896
296,964304,383680
304,419600,736
312,784496,121056
320,785488,331136
328,260976,259488
336,352672,51824
344,108384,656
352,9920,80
360,71040,576
368,214128,151248
376,205856,140336
384,375904,246736
392,482128,135440
400,524160,28272
408,663360,86640
416,260384,249088
424,148000,138304
432,195280,194368
440,1242912,1242384
448,1164880,1164880
456,674560,674560
464,74560,74560
472,22096,22096
480,25136,25136
488,55600,55600
496,101760,101760
504,5584,5584
512,47248,47248
528,768,768
544,0,0
560,0,0
576,103968,103968
592,14240,14240
608,1392,1392
624,16,16
640,477984,477984
656,24704,24704
672,403440,403440
688,2432,2432
704,56880,56880
720,496,496
736,1056,1056
752,16,16
768,0,0
784,38928,38512
800,106448,81872
816,2288,256
832,101680,101680
848,4704,4384
864,42320,17920
880,116736,116608
896,855648,630080
912,1442064,1213248
928,1300320,1105392
944,4592912,3468928
960,213504,158080
976,131168,98192
992,137808,100384
1008,574576,455728
1024,16000,13024
1056,48,32
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,0,0
1248,0,0
1280,0,0
1312,0,0
1344,0,0
1376,0,0
1408,0,0
1440,0,0
1472,0,0
1504,0,0
1536,18304,0
1568,50624,48
1600,704,0
1632,272,256
1664,240,240
1696,0,0
1728,0,0
1760,0,0
1792,0,0
1824,0,0
1856,16,16
1888,16,16
1920,0,0
1952,0,0
1984,0,0
2016,0,0
2048,0,0
2112,0,0
2176,0,0
2240,0,0
2304,0,0
2368,0,0
2432,0,0
2496,0,0
2560,0,0
2624,0,0
2688,0,0
2752,0,0
2816,0,0
2880,0,0
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,0,0
3264,0,0
3328,0,0
3392,0,0
3456,0,0
3520,0,0
3584,0,0
3648,0,0
3712,0,0
3776,0,0
3840,0,0
3904,0,0
3968,0,0
4032,0,0
4096,0,0
4224,0,0
4352,0,0
4480,0,0
4608,0,0
4736,0,0
4864,0,0
4992,0,0
5120,0,0
5248,0,0
5376,0,0
5504,0,0
5632,0,0
5760,0,0
5888,0,0
6016,0,0
6144,0,0
6272,0,0
6400,52800,52800
6528,512,512
6656,151120,151120
6784,400,400
6912,2496,2496
7040,0,0
7168,16960,16960
7296,65664,65664
7424,400,400
7552,235680,235680
7680,2304,2304
7808,880,880
7936,3520,3520
8064,0,0
8192,0,0
8448,0,0
8704,0,0
8960,0,0
9216,0,0
9472,0,0
9728,0,0
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,0,0
11264,0,0
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,0,0
18432,0,0
18944,0,0
19456,0,0
19968,0,0
20480,0,0
20992,0,0
21504,0,0
22016,0,0
22528,0,0
23040,0,0
23552,0,0
24064,0,0
24576,0,0
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,0,0
27648,0,0
28160,0,0
28672,0,0
29184,0,0
29696,0,0
30208,0,0
30720,0,0
31232,0,0
31744,0,0
32256,0,0
32768,0,0
33792,0,0
34816,0,0
35840,0,0
36864,0,0
37888,0,0
38912,0,0
39936,0,0
40960,0,0
41984,0,0
43008,528,528
44032,0,0
45056,2176,2176
46080,0,0
47104,1840,1840
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,0,0
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,0,0
147456,0,0
151552,0,0
155648,0,0
159744,0,0
163840,0,0
167936,0,0
172032,0,0
176128,896,896
180224,2160,2160
184320,1520,1520
188416,0,0
192512,0,0
196608,0,0
200704,0,0
204800,0,0
208896,0,0
212992,0,0
217088,544,544
221184,32,32
225280,0,0
229376,1712,1712
233472,0,0
237568,0,0
241664,0,0
245760,0,0
249856,0,0
253952,0,0
258048,0,0
262144,0,0
270336,0,0
278528,0,0
286720,0,0
294912,0,0
303104,0,0
311296,0,0
319488,0,0
327680,0,0
335872,0,0
344064,0,0
352256,0,0
360448,0,0
368640,0,0
376832,0,0
385024,0,0
393216,0,0
401408,0,0
409600,0,0
417792,0,0
425984,0,0
434176,0,0
442368,0,0
450560,0,0
458752,0,0
466944,0,0
475136,0,0
483328,0,0
491520,0,0
499712,0,0
507904,0,0
516096,0,0
524288,0,0
540672,0,0
557056,0,0
573440,0,0
589824,0,0
606208,0,0
622592,0,0
638976,0,0
655360,0,0
671744,0,0
688128,0,0
704512,0,0
720896,0,0
737280,19456,19456
753664,1136,1136
770048,59264,59264
786432,4208,4208
802816,0,0
819200,0,0
835584,0,0
851968,0,0
868352,0,0
884736,0,0
901120,0,0
917504,0,0
933888,0,0
950272,0,0
966656,0,0
983040,0,0
999424,0,0
1015808,0,0
1032192,0,0
1048576,0,0
1081344,0,0
1114112,0,0
1146880,0,0
1179648,0,0
1212416,0,0
1245184,0,0
1277952,0,0
1310720,0,0
1343488,0,0
1376256,0,0
1409024,0,0
1441792,0,0
1474560,0,0
1507328,0,0
1540096,0,0
1572864,0,0
1605632,0,0
1638400,0,0
1671168,0,0
1703936,0,0
1736704,0,0
1769472,0,0
1802240,0,0
1835008,0,0
1867776,0,0
1900544,0,0
1933312,0,0
1966080,0,0
1998848,0,0
2031616,0,0
2064384,0,0
2097152,0,0
2162688,0,0
2228224,0,0
2293760,0,0
2359296,0,0
2424832,0,0
2490368,0,0
2555904,0,0
2621440,0,0
2686976,0,0
2752512,0,0
2818048,0,0
2883584,0,0
2949120,0,0
3014656,0,0
3080192,0,0
3145728,0,0
3211264,0,0
3276800,0,0
3342336,0,0
3407872,0,0
3473408,0,0
3538944,0,0
3604480,16,16
3670016,0,0
3735552,0,0
3801088,0,0
3866624,0,0
3932160,0,0
3997696,0,0
4063232,0,0
4128768,0,0
4194304,0,0
4325376,0,0
4456448,0,0
4587520,0,0
4718592,0,0
4849664,0,0
4980736,0,0
5111808,0,0
5242880,0,0
5373952,0,0
5505024,0,0
5636096,0,0
5767168,0,0
5898240,0,0
6029312,0,0
6160384,0,0
6291456,0,0
6422528,0,0
6553600,0,0
6684672,0,0
6815744,0,0
6946816,0,0
7077888,0,0
7208960,0,0
7340032,0,0
7471104,0,0
7602176,0,0
7733248,0,0
7864320,0,0
7995392,0,0
8126464,0,0
8257536,0,0
8388608,0,0
8650752,0,0
8912896,0,0
9175040,0,0
9437184,0,0
9699328,0,0
9961472,0,0
10223616,0,0
10485760,0,0
10747904,0,0
11010048,0,0
11272192,0,0
11534336,0,0
11796480,0,0
12058624,0,0
12320768,0,0
12582912,0,0
12845056,0,0
13107200,0,0
13369344,0,0
13631488,0,0
13893632,0,0
14155776,0,0
14417920,0,0
14680064,0,0
14942208,0,0
15204352,0,0
15466496,0,0
15728640,0,0
15990784,0,0
16252928,0,0
16515072,0,0
16777216,0,0
17301504,0,0
17825792,0,0
18350080,0,0
18874368,0,0
19398656,0,0
19922944,0,0
20447232,0,0
20971520,0,0
21495808,0,0
22020096,0,0
22544384,0,0
23068672,0,0
23592960,0,0
24117248,0,0
24641536,0,0
25165824,0,0
25690112,0,0
26214400,0,0
26738688,0,0
27262976,0,0
27787264,0,0
28311552,0,0
28835840,0,0
29360128,0,0
29884416,0,0
30408704,0,0
30932992,0,0
31457280,0,0
31981568,0,0
32505856,0,0
33030144,0,0
33554432,0,0
34603008,0,0
35651584,0,0
36700160,0,0
37748736,0,0
38797312,0,0
39845888,0,0
40894464,0,0
41943040,0,0
42991616,0,0
44040192,0,0
45088768,0,0
46137344,0,0
47185920,0,0
48234496,0,0
49283072,0,0
50331648,0,0
51380224,0,0
52428800,928,16
53477376,336,0
54525952,4720,16
55574528,0,0
56623104,0,0
57671680,0,0
58720256,0,0
59768832,0,0
60817408,0,0
61865984,0,0
62914560,0,0
63963136,0,0
65011712,0,0
66060288,0,0
67108864,0,0
69206016,0,0
71303168,0,0
73400320,0,0
75497472,0,0
77594624,0,0
79691776,0,0
81788928,0,0
83886080,0,0
85983232,0,0
88080384,0,0
90177536,0,0
92274688,0,0
94371840,0,0
96468992,0,0
98566144,0,0
100663296,0,0
102760448,0,0
104857600,0,0
106954752,0,0
109051904,0,0
111149056,0,0
113246208,0,0
115343360,0,0
117440512,0,0
119537664,0,0
121634816,0,0
123731968,0,0
125829120,0,0
127926272,0,0
130023424,0,0
132120576,0,0
134217728,0,0
138412032,0,0
142606336,0,0
146800640,0,0
150994944,0,0
155189248,0,0
159383552,0,0
163577856,0,0
167772160,0,0
171966464,0,0
176160768,0,0
180355072,0,0
184549376,0,0
188743680,0,0
192937984,0,0
197132288,0,0
201326592,0,0
205520896,0,0
209715200,0,0
213909504,0,0
218103808,0,0
222298112,0,0
226492416,0,0
230686720,0,0
234881024,0,0
239075328,0,0
243269632,0,0
247463936,0,0
251658240,0,0
255852544,0,0
260046848,0,0
264241152,0,0
268435456,0,0
276824064,0,0
285212672,0,0
293601280,0,0
301989888,0,0
310378496,0,0
318767104,0,0
327155712,0,0
335544320,0,0
343932928,0,0
352321536,0,0
360710144,0,0
369098752,0,0
377487360,0,0
385875968,0,0
394264576,0,0
402653184,0,0
411041792,0,0
419430400,0,0
427819008,0,0
436207616,0,0
444596224,0,0
452984832,0,0
461373440,0,0
469762048,0,0
478150656,0,0
