reuse distance,histogram value,read histogram value
0,20767120,16855856
1,23875552,20918368
2,32285248,29405168
3,38597744,34740768
4,25823248,23107232
5,23548480,21080960
6,21449328,19628016
7,19626128,18572208
8,14231072,13356016
9,12978704,12006064
10,11039504,10565392
11,9383264,8297520
12,7202928,6952336
13,7070768,6677552
14,7174240,6764880
15,7141264,6453360
16,9898224,8960752
17,10720624,10094656
18,9758752,9252080
19,8737392,8520896
20,10946816,10711808
21,12451936,12062656
22,11777168,11518304
23,5737888,5395248
24,1723440,1514944
25,1606352,1521872
26,1365264,981696
27,1135584,897392
28,837744,713888
29,773264,694256
30,693520,673216
31,591104,518624
32,365872,325936
33,278160,256016
34,288288,262512
35,285296,279344
36,255952,247584
37,139024,136400
38,171360,168976
39,189824,187072
40,82672,81152
41,110688,108864
42,66192,64240
43,67072,65120
44,391264,389168
45,97232,94512
46,106736,103568
47,128896,125424
48,156096,151744
49,94768,90848
50,84896,81920
51,108608,105520
52,93568,90512
53,53792,50544
54,99216,96624
55,75328,73344
56,31632,29376
57,59648,57728
58,55728,54000
59,70800,68464
60,145456,142624
61,106992,104512
62,76528,73696
63,16592,14656
64,35120,32352
66,185696,182880
68,49216,47616
70,18496,17104
72,205824,204224
74,32752,31648
76,48416,47648
78,30496,29968
80,9696,9328
82,89232,88896
84,9312,9120
86,11168,10992
88,105888,105792
90,60016,59984
92,45376,45264
94,35872,35872
96,62128,62096
98,10288,10288
100,2864,2864
102,336,336
104,384,368
106,0,0
108,16,16
110,0,0
112,0,0
114,16,0
116,0,0
118,0,0
120,0,0
122,0,0
124,32,0
126,0,0
128,80,0
132,64,0
136,0,0
140,32,32
144,1344,1344
148,1920,1920
152,176,176
156,0,0
160,0,0
164,0,0
168,0,0
172,0,0
176,0,0
180,0,0
184,0,0
188,0,0
192,0,0
196,0,0
200,0,0
204,0,0
208,16,16
212,0,0
216,0,0
220,0,0
224,0,0
228,0,0
232,0,0
236,0,0
240,0,0
244,0,0
248,0,0
252,0,0
256,0,0
264,0,0
272,0,0
280,0,0
288,0,0
296,0,0
304,0,0
312,16,16
320,32,32
328,480,480
336,624,624
344,944,928
352,1120,1120
360,1376,1376
368,1600,1600
376,2688,2688
384,3120,3120
392,3760,3760
400,4368,4368
408,5296,5280
416,4160,4160
424,4544,4544
432,3904,3904
440,4096,4096
448,2880,2880
456,2720,2720
464,2736,2736
472,2512,2512
480,2160,2160
488,3216,3216
496,5312,5312
504,11632,11632
512,267792,267792
528,603424,603424
544,609952,609952
560,346320,346320
576,84480,84480
592,11232,11232
608,1120,1120
624,64,64
640,16,16
656,0,0
672,0,0
688,0,0
704,0,0
720,0,0
736,0,0
752,0,0
768,0,0
784,0,0
800,0,0
816,0,0
832,0,0
848,0,0
864,0,0
880,0,0
896,0,0
912,0,0
928,0,0
944,0,0
960,0,0
976,0,0
992,0,0
1008,0,0
1024,0,0
1056,0,0
1088,0,0
1120,0,0
1152,0,0
1184,0,0
1216,48,48
1248,192,192
1280,1696,1696
1312,5856,5856
1344,13840,13840
1376,21600,21600
1408,19808,19808
1440,12832,12832
1472,6480,6480
1504,2832,2832
1536,1360,1360
1568,544,544
1600,384,384
1632,304,304
1664,208,208
1696,304,304
1728,272,272
1760,1280,1280
1792,14704,14704
1824,109168,109168
1856,308656,308656
1888,365408,365408
1920,301248,301248
1952,220336,220320
1984,151328,151328
2016,92496,92496
2048,119664,119664
2112,94288,94272
2176,134896,134880
2240,1814304,1814288
2304,118864,118864
2368,156848,156848
2432,639248,639248
2496,50672,50672
2560,16,16
2624,0,0
2688,0,0
2752,0,0
2816,0,0
2880,0,0
2944,0,0
3008,0,0
3072,0,0
3136,0,0
3200,256,256
3264,17264,17264
3328,225344,225344
3392,280944,280944
3456,395072,395072
3520,253952,253952
3584,183520,183520
3648,274672,274672
3712,234992,234992
3776,642864,642864
3840,2816,2816
3904,110304,110304
3968,804704,804704
4032,601616,601616
4096,194432,194432
4224,0,0
4352,0,0
4480,0,0
4608,0,0
4736,0,0
4864,0,0
4992,0,0
5120,0,0
5248,0,0
5376,0,0
5504,0,0
5632,16,16
5760,1680,1680
5888,3088,3088
6016,2624,2624
6144,7840,7840
6272,25952,25952
6400,384160,384160
6528,1524896,1524896
6656,993200,993200
6784,1051984,1051984
6912,500624,500624
7040,1102576,1102576
7168,114928,114928
7296,20880,20880
7424,64,64
7552,48,48
7680,0,0
7808,16,16
7936,16,16
8064,32,32
8192,64,64
8448,32,32
8704,0,0
8960,48,48
9216,864,864
9472,33472,33472
9728,128,128
9984,0,0
10240,0,0
10496,0,0
10752,0,0
11008,2255616,2255616
11264,118912,118912
11520,0,0
11776,0,0
12032,0,0
12288,0,0
12544,0,0
12800,0,0
13056,0,0
13312,0,0
13568,0,0
13824,0,0
14080,0,0
14336,0,0
14592,0,0
14848,0,0
15104,0,0
15360,0,0
15616,0,0
15872,0,0
16128,0,0
16384,0,0
16896,0,0
17408,0,0
17920,0,0
18432,0,0
18944,0,0
19456,0,0
19968,0,0
20480,0,0
20992,0,0
21504,0,0
22016,0,0
22528,0,0
23040,0,0
23552,0,0
24064,0,0
24576,0,0
25088,0,0
25600,0,0
26112,0,0
26624,0,0
27136,0,0
27648,0,0
28160,0,0
28672,0,0
29184,0,0
29696,0,0
30208,0,0
30720,0,0
31232,0,0
31744,0,0
32256,0,0
32768,0,0
33792,0,0
34816,0,0
35840,0,0
36864,0,0
37888,0,0
38912,0,0
39936,0,0
40960,0,0
41984,0,0
43008,0,0
44032,0,0
45056,0,0
46080,0,0
47104,0,0
48128,0,0
49152,0,0
50176,0,0
51200,0,0
52224,0,0
53248,0,0
54272,0,0
55296,0,0
56320,0,0
57344,0,0
58368,0,0
59392,0,0
60416,0,0
61440,0,0
62464,0,0
63488,0,0
64512,0,0
65536,0,0
67584,0,0
69632,0,0
71680,0,0
73728,0,0
75776,16,16
77824,0,0
79872,0,0
81920,0,0
83968,0,0
86016,0,0
88064,0,0
90112,0,0
92160,0,0
94208,0,0
96256,0,0
98304,0,0
100352,0,0
102400,0,0
104448,0,0
106496,0,0
108544,0,0
110592,0,0
112640,0,0
114688,0,0
116736,0,0
118784,0,0
120832,0,0
122880,0,0
124928,0,0
126976,0,0
129024,0,0
131072,0,0
135168,0,0
139264,0,0
143360,0,0
147456,0,0
151552,0,0
155648,0,0
159744,0,0
163840,0,0
167936,0,0
172032,0,0
176128,0,0
180224,0,0
184320,0,0
188416,0,0
192512,0,0
196608,432,432
200704,1264,1264
204800,1632,1632
208896,2000,2000
212992,2192,2192
217088,3264,3264
221184,3328,3328
225280,3200,3200
229376,3648,3648
233472,5104,5104
237568,5280,5280
241664,5216,5216
245760,5200,5200
249856,5440,5440
253952,5472,5472
258048,4912,4912
262144,10784,10784
270336,12528,12528
278528,21712,21712
286720,31296,31296
294912,27200,27200
303104,25120,25120
311296,25616,25616
319488,25488,25488
327680,23664,23664
335872,26736,26736
344064,27072,27072
352256,26352,26352
360448,27968,27968
368640,27392,27392
376832,23552,23552
385024,27376,27376
393216,23584,23584
401408,28672,28672
409600,27072,27072
417792,29184,29184
425984,25200,25200
434176,27008,27008
442368,27264,27264
450560,26368,26368
458752,26592,26592
466944,28384,28384
475136,25600,25600
483328,27792,27792
491520,26000,26000
499712,27120,27120
507904,27936,27936
516096,27600,27600
524288,52784,52784
540672,51728,51728
557056,54928,54928
573440,53152,53152
589824,55312,55312
606208,52704,52704
622592,53968,53968
638976,55344,55344
655360,53904,53904
671744,55008,55008
688128,54640,54640
704512,65168,65168
720896,98784,98784
737280,109952,109920
753664,125968,125760
770048,129952,129712
786432,130896,130656
802816,128016,127840
819200,130800,130592
835584,130320,130064
851968,130688,130416
868352,134320,134048
884736,132096,131840
901120,131488,131280
917504,133168,133008
933888,133920,133744
950272,130032,129776
966656,114000,113824
983040,91232,91040
999424,74752,74528
1015808,63888,63696
1032192,53376,53184
1048576,97440,97008
1081344,95632,95248
1114112,90336,89808
1146880,98032,97744
1179648,82560,82096
1212416,67568,67152
1245184,73360,73056
1277952,106096,105776
1310720,101056,100720
1343488,98896,98496
1376256,106528,106256
1409024,105856,105440
1441792,110544,107168
1474560,154304,124880
1507328,147552,120496
1540096,152656,126016
1572864,150032,124000
1605632,153488,126992
1638400,151792,124448
1671168,197168,169920
1703936,220944,194448
1736704,274240,243280
1769472,278048,244736
1802240,354848,318784
1835008,361760,322176
1867776,351984,310944
1900544,401760,357456
1933312,423680,378112
1966080,387728,340832
1998848,383856,338624
2031616,373456,328704
2064384,254512,208192
2097152,315920,222432
2162688,299680,209072
2228224,302832,211536
2293760,300016,208672
2359296,300000,208480
2424832,300048,209136
2490368,305104,214400
2555904,302768,211392
2621440,308912,217360
2686976,311168,214352
2752512,331536,219680
2818048,333200,210064
2883584,340928,205552
2949120,345584,202320
3014656,335488,192672
3080192,344096,196864
3145728,336384,191952
3211264,337136,200160
3276800,326080,187008
3342336,307552,166944
3407872,295888,155632
3473408,281680,143392
3538944,271728,137328
3604480,268416,127408
3670016,281632,124016
3735552,292800,119424
3801088,293552,119872
3866624,299440,125776
3932160,301536,129584
3997696,305184,134560
4063232,300016,135008
4128768,301280,133040
4194304,609648,272128
