filename,accesses,hits
400.perlbench-41B,431300598,427203924
400.perlbench-50B,420979406,417780287
401.bzip2-226B,404303230,384554369
401.bzip2-277B,348779472,336684193
401.bzip2-38B,389189183,372003052
401.bzip2-7B,384383891,365240256
403.gcc-16B,420353086,394605206
403.gcc-17B,460244479,448333171
403.gcc-48B,451415018,449497488
410.bwaves-1963B,544262654,515007587
410.bwaves-2097B,534451668,505199589
410.bwaves-945B,223840401,223784637
416.gamess-875B,494806212,492798346
429.mcf-184B,352811388,152623819
429.mcf-192B,314624794,96941142
429.mcf-217B,593847204,516747784
429.mcf-22B,578210235,532020285
429.mcf-51B,406952209,252885062
433.milc-127B,322589263,294765250
433.milc-274B,184093717,159905271
433.milc-337B,154068845,118818073
434.zeusmp-10B,329522301,303517030
435.gromacs-111B,355252043,346741140
435.gromacs-134B,348867963,340550820
435.gromacs-226B,351752834,341058810
435.gromacs-228B,376075674,362413367
436.cactusADM-1804B,673333006,661721971
437.leslie3d-134B,394360473,379426444
437.leslie3d-149B,397622248,382673590
437.leslie3d-232B,400596624,386059651
437.leslie3d-265B,398326534,383970827
437.leslie3d-271B,398459429,383632515
437.leslie3d-273B,396585834,382279085
444.namd-120B,266258078,263484297
444.namd-166B,322865573,318093593
444.namd-23B,337079671,331664131
444.namd-321B,339177211,333234105
444.namd-33B,303035813,298485523
444.namd-426B,339142275,332970032
444.namd-44B,361625881,353454956
445.gobmk-17B,433301873,428745303
445.gobmk-2B,449304692,446281137
445.gobmk-30B,420637062,415390675
445.gobmk-36B,397747121,391642661
447.dealII-3B,426283819,419096964
450.soplex-247B,292064873,215341842
450.soplex-92B,277264100,222603277
453.povray-252B,444990500,435346848
453.povray-576B,439966579,431288264
453.povray-800B,449158302,441988738
453.povray-887B,447270355,438936051
454.calculix-104B,359286366,359260508
454.calculix-460B,227905219,209325931
456.hmmer-191B,516548928,510393161
456.hmmer-327B,510894615,504759819
456.hmmer-88B,509033947,502908222
458.sjeng-1088B,382851436,381945952
